"",BBNZ1.Q.DE.Y.G.0108.A,BBNZ1.Q.DE.Y.G.0108.A_FLAGS,BBNZ1.Q.DE.Y.G.0103.A,BBNZ1.Q.DE.Y.G.0103.A_FLAGS,BBNZ1.Q.DE.S.G.0106.A,BBNZ1.Q.DE.S.G.0106.A_FLAGS,BBNZ1.Q.DE.Y.G.0152.A,BBNZ1.Q.DE.Y.G.0152.A_FLAGS,BBNZ1.Q.DE.Y.G.0155.A,BBNZ1.Q.DE.Y.G.0155.A_FLAGS,BBNZ1.Q.DE.Y.G.0161.A,BBNZ1.Q.DE.Y.G.0161.A_FLAGS,BBNZ1.Q.DE.Y.G.0112.A,BBNZ1.Q.DE.Y.G.0112.A_FLAGS,BBNZ1.Q.DE.Y.G.0110.A,BBNZ1.Q.DE.Y.G.0110.A_FLAGS,BBNZ1.Q.DE.Y.G.0111.A,BBNZ1.Q.DE.Y.G.0111.A_FLAGS,BBNZ1.Q.DE.Y.G.0151.A,BBNZ1.Q.DE.Y.G.0151.A_FLAGS,BBNZ1.Q.DE.Y.G.0156.A,BBNZ1.Q.DE.Y.G.0156.A_FLAGS,BBNZ1.Q.DE.Y.G.0157.A,BBNZ1.Q.DE.Y.G.0157.A_FLAGS,BBNZ1.Q.DE.Y.G.0158.A,BBNZ1.Q.DE.Y.G.0158.A_FLAGS,BBNZ1.Q.DE.Y.G.0165.A,BBNZ1.Q.DE.Y.G.0165.A_FLAGS,BBNZ1.Q.DE.Y.G.0166.A,BBNZ1.Q.DE.Y.G.0166.A_FLAGS,BBNZ1.Q.DE.Y.G.0167.A,BBNZ1.Q.DE.Y.G.0167.A_FLAGS,BBNZ1.Q.DE.Y.G.0168.A,BBNZ1.Q.DE.Y.G.0168.A_FLAGS,BBNZ1.Q.DE.Y.G.0169.A,BBNZ1.Q.DE.Y.G.0169.A_FLAGS,BBNZ1.Q.DE.Y.G.0170.A,BBNZ1.Q.DE.Y.G.0170.A_FLAGS,BBNZ1.Q.DE.Y.G.0172.A,BBNZ1.Q.DE.Y.G.0172.A_FLAGS,BBNZ1.Q.DE.Y.G.0173.A,BBNZ1.Q.DE.Y.G.0173.A_FLAGS,BBNZ1.Q.DE.Y.G.0174.A,BBNZ1.Q.DE.Y.G.0174.A_FLAGS,BBNZ1.Q.DE.Y.G.0175.A,BBNZ1.Q.DE.Y.G.0175.A_FLAGS,BBNZ1.Q.DE.Y.G.0176.A,BBNZ1.Q.DE.Y.G.0176.A_FLAGS,BBNZ1.Q.DE.Y.G.0177.A,BBNZ1.Q.DE.Y.G.0177.A_FLAGS,BBNZ1.Q.DE.Y.G.0178.A,BBNZ1.Q.DE.Y.G.0178.A_FLAGS
2000-10,530.105,,298.093,,100.642,,46.440,,59.161,,9.420,,-2.429,,174.236,,176.665,,121.950,,34.210,,24.951,,16.349,,12.519,,1.911,,8.187,,0.179,,8.008,,2.421,,109.431,,44.529,,50.974,,34.031,,16.943,,13.928,,75.400,
2001-01,535.838,,305.556,,102.411,,46.126,,59.009,,5.874,,5.695,,172.805,,167.110,,121.997,,33.681,,25.328,,16.862,,12.535,,2.055,,8.105,,0.183,,7.922,,2.375,,109.462,,44.071,,50.904,,33.498,,17.406,,14.487,,75.964,
2001-04,535.262,,305.992,,102.013,,44.009,,58.399,,7.813,,6.058,,173.812,,167.754,,119.444,,33.409,,24.990,,17.036,,12.094,,1.825,,7.860,,0.181,,7.679,,2.409,,107.350,,42.184,,50.539,,33.228,,17.311,,14.627,,74.122,
2001-07,534.487,,307.584,,102.414,,42.590,,57.719,,7.076,,9.711,,173.406,,163.695,,117.413,,33.108,,24.611,,17.104,,12.065,,1.798,,7.855,,0.178,,7.677,,2.412,,105.348,,40.792,,49.864,,32.930,,16.934,,14.692,,72.418,
2001-10,533.535,,308.418,,104.835,,41.386,,57.386,,4.282,,14.633,,174.536,,159.903,,116.000,,32.862,,24.524,,17.228,,12.653,,1.851,,8.290,,0.177,,8.113,,2.512,,103.347,,39.535,,49.096,,32.685,,16.411,,14.716,,70.662,
2002-01,525.485,,305.960,,104.737,,39.843,,56.202,,1.756,,20.752,,173.716,,152.964,,113.032,,32.118,,24.084,,16.987,,12.816,,1.865,,8.468,,0.173,,8.295,,2.483,,100.216,,37.978,,47.734,,31.945,,15.789,,14.504,,68.271,
2002-04,524.620,,304.081,,104.948,,40.034,,54.249,,4.264,,22.099,,178.953,,156.854,,111.327,,31.045,,23.204,,17.044,,11.812,,1.954,,7.363,,0.168,,7.195,,2.495,,99.515,,38.080,,46.886,,30.877,,16.009,,14.549,,68.638,
2002-07,528.090,,307.027,,105.616,,38.926,,54.024,,5.401,,26.302,,181.725,,155.423,,110.046,,30.962,,23.062,,17.096,,11.963,,1.856,,7.617,,0.166,,7.451,,2.490,,98.083,,37.070,,46.407,,30.796,,15.611,,14.606,,67.287,
2002-10,529.165,,309.564,,107.432,,38.977,,53.294,,2.695,,25.082,,184.894,,159.812,,109.474,,30.772,,22.522,,17.203,,11.753,,1.752,,7.513,,0.165,,7.348,,2.488,,97.721,,37.225,,45.781,,30.607,,15.174,,14.715,,67.114,
2003-01,532.556,,312.037,,106.009,,38.830,,52.962,,5.959,,16.515,,179.487,,162.972,,108.551,,30.430,,22.532,,16.759,,11.533,,1.710,,7.224,,0.160,,7.064,,2.599,,97.018,,37.120,,45.738,,30.270,,15.468,,14.160,,66.748,
