実質原系列,,,,,,,,,,,,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円)
"Real, Original Series",,,,,,,,,,,,,,,,,,,,,,,,(Billions of Chained (2015) Yen)
,家計最終消費支出（再掲）,,,,,,,,,形態別総固定資本形成,,,,,総資本形成,,,財貨・サービス,,,,,,
4- 6.,"68,911.8 ",574.8 ,121.2 ,"68,500.8 ","4,615.3 ","3,418.6 ","19,926.6 ","40,605.9 ",,"4,521.0 ","7,365.6 ","1,212.6 ","6,886.5 ","6,225.5 ","27,736.5 ","1,466.9 ",,-480.7 ,"19,249.5 ","16,307.5 ","2,930.0 ","19,730.2 ","16,009.7 ","3,666.0 "
7- 9.,"71,684.9 ",793.4 ,180.0 ,"71,177.1 ","5,261.9 ","3,650.0 ","20,412.6 ","41,852.9 ",,"5,039.6 ","8,176.0 ","1,534.7 ","8,054.1 ","6,698.2 ","29,986.3 ",422.0 ,,545.8 ,"21,301.0 ","18,337.9 ","2,941.6 ","20,755.2 ","16,871.1 ","3,823.4 "
10-12.,"73,001.8 ",734.3 ,201.6 ,"72,552.5 ","5,694.7 ","3,819.5 ","21,000.5 ","42,028.2 ",,"5,096.0 ","9,770.7 ","1,707.5 ","7,962.2 ","6,555.0 ","32,599.0 ","1,443.0 ",,-486.5 ,"20,916.5 ","18,004.7 ","2,890.2 ","21,403.0 ","17,454.0 ","3,884.3 "
2012/ 1- 3.,"72,152.6 ",738.7 ,220.5 ,"71,720.4 ","5,688.4 ","3,781.8 ","20,344.9 ","41,883.5 ",,"4,798.7 ","10,530.8 ","2,079.3 ","9,422.4 ","7,419.2 ","32,549.2 ","-1,638.5 ",,-201.2 ,"21,167.5 ","17,800.5 ","3,361.0 ","21,368.7 ","17,392.3 ","3,911.9 "
4- 6.,"70,775.6 ",695.7 ,261.5 ,"70,414.8 ","5,136.1 ","3,453.1 ","20,352.8 ","41,480.4 ",,"4,661.1 ","7,282.0 ","1,741.1 ","7,383.7 ","6,385.7 ","28,940.2 ","1,403.2 ",,-511.4 ,"21,025.6 ","18,095.6 ","2,905.9 ","21,537.0 ","17,282.8 ","4,207.9 "
7- 9.,"72,339.4 ",836.7 ,257.6 ,"71,877.3 ","5,656.1 ","3,609.5 ","20,360.4 ","42,229.6 ",,"5,095.1 ","8,237.7 ","1,734.4 ","8,327.8 ","6,859.9 ","30,650.1 ",352.6 ,,"-1,467.8 ","20,401.5 ","17,592.8 ","2,783.4 ","21,869.3 ","17,620.5 ","4,195.3 "
10-12.,"73,604.9 ",680.6 ,225.1 ,"73,212.5 ","5,397.8 ","3,839.3 ","21,684.0 ","42,336.4 ",,"5,380.1 ","9,871.8 ","1,650.8 ","7,825.0 ","6,617.4 ","32,520.1 ","1,101.4 ",,"-1,749.2 ","19,867.7 ","16,983.8 ","2,865.3 ","21,617.0 ","17,363.9 ","4,205.0 "
2013/ 1- 3.,"73,564.7 ",601.1 ,256.8 ,"73,256.6 ","5,903.8 ","4,202.9 ","20,668.3 ","42,491.4 ",,"5,179.7 ","10,516.5 ","1,899.6 ","9,181.8 ","7,509.2 ","31,772.5 ","-2,437.8 ",,"-1,204.1 ","20,209.9 ","16,798.5 ","3,406.3 ","21,414.0 ","17,230.3 ","4,134.3 "
4- 6.,"72,704.4 ",481.0 ,324.4 ,"72,545.6 ","5,254.3 ","3,946.2 ","20,922.0 ","42,433.9 ",,"4,973.8 ","7,777.4 ","1,547.6 ","7,260.6 ","6,635.5 ","29,023.1 ",792.2 ,,-778.2 ,"20,903.0 ","17,561.1 ","3,331.6 ","21,681.2 ","17,411.4 ","4,224.5 "
7- 9.,"74,580.7 ",587.2 ,335.8 ,"74,358.5 ","5,912.2 ","4,177.1 ","20,909.0 ","43,354.8 ",,"5,556.3 ","9,324.2 ","1,794.2 ","8,346.7 ","7,054.8 ","31,960.4 ",-126.2 ,,"-1,555.6 ","20,921.3 ","17,713.1 ","3,194.4 ","22,476.9 ","18,258.4 ","4,148.7 "
10-12.,"75,602.0 ",516.7 ,343.1 ,"75,434.4 ","6,269.7 ","4,338.8 ","21,581.9 ","43,261.6 ",,"5,954.8 ","10,990.8 ","1,862.3 ","8,129.7 ","6,894.2 ","35,014.3 ","1,105.3 ",,"-2,461.3 ","21,096.4 ","17,897.8 ","3,183.9 ","23,557.6 ","19,085.4 ","4,404.4 "
2014/ 1- 3.,"76,063.5 ",488.3 ,350.4 ,"75,929.9 ","7,026.1 ","4,632.1 ","20,955.7 ","43,345.9 ",,"5,742.1 ","11,004.5 ","2,273.6 ","10,519.9 ","7,777.3 ","34,083.8 ","-3,032.8 ",,"-2,603.4 ","22,165.5 ","18,071.6 ","4,093.4 ","24,769.0 ","19,972.3 ","4,736.5 "
4- 6.,"70,894.7 ",423.4 ,438.1 ,"70,909.4 ","5,147.4 ","3,788.5 ","19,692.7 ","42,258.2 ",,"5,001.9 ","7,610.3 ","1,730.0 ","7,612.5 ","6,759.5 ","30,961.1 ","2,096.3 ",,-845.7 ,"22,315.6 ","18,181.7 ","4,134.0 ","23,161.3 ","18,193.2 ","4,973.0 "
7- 9.,"72,938.9 ",513.9 ,437.1 ,"72,874.9 ","5,471.1 ","4,141.0 ","20,127.0 ","43,122.4 ",,"5,117.9 ","9,094.0 ","1,786.0 ","8,638.0 ","7,253.6 ","31,946.5 ",29.5 ,,"-1,218.8 ","22,658.3 ","18,677.8 ","3,976.6 ","23,877.1 ","18,966.7 ","4,888.5 "
10-12.,"74,242.1 ",426.3 ,510.8 ,"74,326.5 ","5,839.0 ","4,446.7 ","20,974.8 ","43,076.1 ",,"5,298.3 ","10,842.8 ","1,818.2 ","8,163.9 ","7,186.4 ","34,106.7 ",685.3 ,,-807.2 ,"23,757.1 ","19,511.4 ","4,243.4 ","24,564.2 ","19,529.0 ","5,011.3 "
2015/ 1- 3.,"73,463.4 ",407.6 ,588.2 ,"73,643.6 ","5,843.2 ","4,632.5 ","20,302.3 ","42,875.9 ",,"5,163.4 ","11,180.6 ","2,287.3 ","10,577.2 ","8,206.4 ","34,778.2 ","-2,490.9 ",,-556.4 ,"23,912.4 ","19,361.3 ","4,550.2 ","24,468.7 ","19,371.1 ","5,084.7 "
4- 6.,"72,082.9 ",362.1 ,697.3 ,"72,415.4 ","4,993.5 ","4,036.1 ","20,198.0 ","43,181.0 ",,"4,987.2 ","7,760.3 ","1,736.0 ","8,058.5 ","7,043.5 ","31,769.1 ","2,095.0 ",,-498.4 ,"22,799.4 ","18,182.0 ","4,618.0 ","23,297.9 ","18,071.9 ","5,258.6 "
7- 9.,"73,476.2 ",448.4 ,721.2 ,"73,751.6 ","5,557.9 ","4,389.7 ","20,188.6 ","43,615.3 ",,"5,396.4 ","9,393.1 ","1,900.9 ","8,938.6 ","7,390.0 ","33,214.9 ",202.7 ,,-829.1 ,"23,374.8 ","18,768.5 ","4,606.3 ","24,203.9 ","19,296.7 ","4,876.5 "
10-12.,"74,184.9 ",415.5 ,711.8 ,"74,481.6 ","5,286.9 ","4,449.6 ","20,986.3 ","43,755.4 ",,"5,558.3 ","10,891.3 ","1,862.7 ","8,641.5 ","7,381.4 ","35,684.3 ","1,247.4 ",,"-1,096.1 ","23,728.8 ","18,962.3 ","4,766.7 ","24,825.0 ","19,420.7 ","5,415.2 "
2016/ 1- 3.,"73,209.1 ",432.6 ,771.2 ,"73,547.8 ","5,689.6 ","4,388.4 ","20,073.3 ","43,394.7 ",,"5,283.2 ","11,710.4 ","2,199.9 ","10,251.4 ","8,194.8 ","35,343.9 ","-2,306.9 ",,-459.1 ,"23,713.7 ","18,541.4 ","5,172.1 ","24,172.7 ","19,265.1 ","4,915.0 "
4- 6.,"71,381.3 ",425.5 ,742.0 ,"71,697.7 ","4,956.4 ","3,634.9 ","20,053.7 ","43,052.2 ",,"5,159.1 ","8,316.0 ","1,712.2 ","7,880.2 ","7,056.7 ","32,319.7 ","2,221.2 ",,-177.3 ,"23,060.4 ","18,165.5 ","4,894.6 ","23,237.7 ","17,950.9 ","5,289.7 "
7- 9.,"72,715.6 ",558.5 ,810.1 ,"72,967.1 ","5,567.9 ","3,846.6 ","20,130.5 ","43,422.9 ",,"5,649.5 ","9,804.8 ","1,876.0 ","8,707.9 ","7,257.2 ","33,238.6 ",-50.4 ,,84.6 ,"23,613.5 ","18,928.4 ","4,685.1 ","23,528.9 ","18,519.1 ","5,007.8 "
10-12.,"74,145.5 ",488.4 ,732.0 ,"74,389.1 ","5,678.2 ","4,041.1 ","21,126.3 ","43,545.1 ",,"5,810.9 ","11,323.8 ","1,901.2 ","8,612.9 ","7,182.3 ","35,521.4 ",647.1 ,,227.6 ,"24,946.1 ","19,946.5 ","5,000.1 ","24,718.5 ","19,122.4 ","5,587.9 "
2017/ 1- 3.,"73,426.4 ",475.8 ,813.1 ,"73,763.0 ","6,046.5 ","4,311.9 ","19,929.1 ","43,473.0 ",,"5,470.1 ","11,757.7 ","2,346.2 ","10,577.6 ","7,893.1 ","35,349.8 ","-2,780.4 ",,642.7 ,"25,211.6 ","19,919.0 ","5,292.0 ","24,568.9 ","19,314.1 ","5,263.7 "
4- 6.,"72,678.8 ",415.0 ,868.7 ,"73,126.1 ","5,355.5 ","3,697.8 ","20,325.2 ","43,750.9 ",,"5,243.0 ","8,637.1 ","1,766.2 ","8,224.5 ","7,069.3 ","32,379.4 ","1,518.5 ",,312.9 ,"24,587.1 ","19,338.4 ","5,246.7 ","24,274.2 ","18,751.4 ","5,500.8 "
7- 9.,"73,331.5 ",502.3 ,905.2 ,"73,737.2 ","5,606.6 ","4,018.0 ","20,315.5 ","43,796.4 ",,"5,603.8 ","9,908.3 ","1,914.4 ","9,149.9 ","7,265.0 ","34,402.3 ",583.0 ,,"1,097.5 ","25,258.0 ","20,229.7 ","5,031.1 ","24,160.5 ","19,053.1 ","5,120.8 "
10-12.,"75,007.8 ",440.4 ,920.0 ,"75,482.7 ","6,054.1 ","4,274.1 ","21,176.0 ","43,978.8 ",,"5,545.8 ","11,340.4 ","1,974.8 ","9,174.4 ","7,227.7 ","37,171.7 ","1,922.9 ",,769.7 ,"26,587.1 ","21,190.9 ","5,397.2 ","25,817.4 ","20,322.6 ","5,504.6 "
2018/ 1- 3.,"73,716.5 ",455.4 ,"1,010.6 ","74,269.8 ","6,042.7 ","4,362.6 ","20,147.9 ","43,720.4 ",,"5,151.5 ","12,344.7 ","2,272.6 ","10,858.3 ","7,927.1 ","36,470.1 ","-2,056.2 ",,"1,096.7 ","26,532.7 ","20,916.1 ","5,617.0 ","25,436.1 ","20,136.2 ","5,311.7 "
4- 6.,"72,950.4 ",426.9 ,"1,093.7 ","73,614.4 ","5,412.4 ","3,803.7 ","20,259.2 ","44,136.3 ",,"4,793.8 ","8,884.6 ","1,885.2 ","8,769.2 ","7,018.1 ","33,060.0 ","1,779.1 ",,"1,013.5 ","26,084.9 ","20,699.9 ","5,385.2 ","25,071.4 ","19,238.8 ","5,821.0 "
7- 9.,"73,820.2 ",529.8 ,992.1 ,"74,284.5 ","5,750.2 ","4,102.9 ","20,334.8 ","44,097.7 ",,"5,178.9 ","9,841.8 ","1,862.8 ","9,287.8 ","7,228.5 ","33,872.1 ",495.7 ,,834.0 ,"25,790.7 ","20,755.2 ","5,035.4 ","24,956.8 ","19,884.9 ","5,086.2 "
10-12.,"75,216.1 ",496.4 ,"1,098.2 ","75,818.0 ","6,223.1 ","4,513.4 ","20,545.1 ","44,543.3 ",,"5,333.1 ","10,916.1 ","2,080.4 ","9,707.7 ","7,327.5 ","37,229.5 ","1,858.6 ",,-68.5 ,"27,056.9 ","21,800.8 ","5,256.2 ","27,125.4 ","21,564.9 ","5,572.3 "
2019/ 1- 3.,"73,687.6 ",504.2 ,"1,070.8 ","74,254.7 ","6,093.1 ","4,373.3 ","19,730.0 ","44,080.1 ",,"5,209.6 ","12,259.9 ","2,298.3 ","11,098.1 ","7,949.2 ","36,774.7 ","-1,977.9 ",,521.3 ,"26,066.9 ","20,320.9 ","5,741.3 ","25,545.6 ","19,799.7 ","5,750.3 "
4- 6.,"72,898.4 ",478.3 ,"1,206.4 ","73,627.7 ","5,677.7 ","3,775.7 ","20,073.5 ","44,104.6 ",,"5,053.6 ","8,777.8 ","1,951.6 ","8,716.9 ","7,002.1 ","33,529.6 ","2,066.3 ",,2.9 ,"25,591.9 ","19,855.7 ","5,731.1 ","25,589.0 ","19,456.2 ","6,134.7 "
7- 9.,"74,178.5 ",584.0 ,"1,058.6 ","74,656.4 ","6,154.5 ","4,169.5 ","20,058.2 ","44,294.1 ",,"5,478.7 ","10,036.5 ","2,063.5 ","9,945.2 ","7,391.4 ","34,918.4 ",45.1 ,,-347.5 ,"25,726.2 ","20,465.9 ","5,260.0 ","26,073.7 ","20,258.6 ","5,820.0 "
10-12.,"73,010.8 ",525.8 ,"1,134.9 ","73,622.1 ","5,496.6 ","4,191.7 ","20,027.7 ","43,902.1 ",,"5,460.3 ","11,206.9 ","1,920.2 ","9,045.8 ","7,112.1 ","36,124.8 ","1,266.1 ",,146.8 ,"26,542.0 ","20,997.0 ","5,544.8 ","26,395.2 ","20,532.2 ","5,868.2 "
2020/ 1- 3.,"71,811.2 ",346.8 ,632.3 ,"72,081.7 ","5,698.5 ","4,143.4 ","19,667.1 ","42,574.0 ",,"4,962.4 ","12,335.1 ","2,141.8 ","10,656.7 ","7,923.7 ","36,011.5 ","-2,062.2 ",,-23.7 ,"24,817.4 ","19,762.5 ","5,061.9 ","24,841.1 ","19,077.6 ","5,756.5 "
4- 6.,"64,591.2 ",69.1 ,126.7 ,"64,613.1 ","4,701.9 ","3,550.9 ","19,076.7 ","37,228.4 ",,"4,767.8 ","8,862.7 ","1,331.7 ","7,732.0 ","6,829.2 ","31,405.7 ","1,859.8 ",,"-4,370.7 ","20,009.6 ","15,782.8 ","4,226.9 ","24,380.3 ","18,646.1 ","5,725.7 "
7- 9.,"68,668.3 ",74.4 ,127.7 ,"68,683.7 ","5,318.6 ","3,789.3 ","19,498.5 ","40,051.3 ",,"4,876.3 ","10,094.5 ","1,576.0 ","8,335.7 ","6,969.8 ","32,036.5 ",99.2 ,,-653.1 ,"21,791.4 ","18,111.1 ","3,723.6 ","22,444.5 ","17,627.2 ","4,836.0 "
10-12.,"71,490.1 ",75.8 ,129.8 ,"71,504.4 ","6,039.4 ","4,110.6 ","19,905.2 ","41,441.9 ",,"4,945.2 ","11,324.4 ","1,742.8 ","9,000.6 ","6,864.1 ","34,721.1 ",717.4 ,,556.2 ,"25,048.0 ","21,012.8 ","4,095.9 ","24,491.8 ","19,417.5 ","5,109.7 "
2021/ 1- 3.,"69,116.0 ",72.7 ,117.0 ,"69,121.9 ","6,070.8 ","4,009.4 ","19,304.5 ","39,725.3 ",,"4,755.4 ","12,049.8 ","1,872.3 ","10,508.2 ","7,604.0 ","34,653.3 ","-2,297.6 ",,418.8 ,"25,068.8 ","20,640.8 ","4,468.8 ","24,650.0 ","19,485.3 ","5,201.9 "
4- 6.,"68,986.8 ",70.2 ,119.5 ,"68,997.6 ","5,445.7 ","3,547.4 ","19,572.3 ","40,417.0 ",,"4,625.9 ","8,574.6 ","1,440.2 ","8,446.1 ","6,886.6 ","31,049.8 ","1,156.7 ",,-240.7 ,"25,406.4 ","21,021.3 ","4,433.9 ","25,647.1 ","19,606.3 ","6,013.8 "
7- 9.,"68,952.9 ",77.7 ,130.2 ,"68,967.7 ","4,966.5 ","3,611.0 ","19,821.4 ","40,539.1 ",,"4,860.3 ","9,470.0 ","1,383.9 ","8,977.9 ","7,032.3 ","31,915.9 ",176.5 ,,252.6 ,"25,336.7 ","21,220.1 ","4,181.0 ","25,084.2 ","19,944.3 ","5,200.2 "
10-12.,"72,545.6 ",72.3 ,119.5 ,"72,552.3 ","5,487.0 ","4,269.9 ","20,184.1 ","42,590.0 ",,"4,890.7 ","10,287.5 ","1,535.7 ","9,160.2 ","7,074.2 ","33,761.5 ",789.4 ,,780.7 ,"26,524.2 ","22,293.1 ","4,303.5 ","25,743.5 ","20,473.0 ","5,334.9 "
＊財貨・サービスの純輸出は連鎖方式での計算ができないため、財貨・サービスの輸出－財貨・サービスの輸入により求めている。このため寄与度とは符号が一致しない場合がある。,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
