Date;433 - Broad National Consumer Price Index (IPCA) - Monthly % var.;4449 - Broad National Consumer Price Index (IPCA) - Administred prices - Monthly % var.;11428 - Broad national consumer price index (IPCA) - non monitored prices - Monthly % var.;13522 - National consumer price index (IPCA) - in 12 months - %
03/2012;0.21 ;0.18 ;0.22 ;5.24
04/2012;0.64 ;0.47 ;0.69 ;5.10
05/2012;0.36 ;0.32 ;0.37 ;4.99
06/2012;0.08 ;0.15 ;0.06 ;4.92
07/2012;0.43 ;0.19 ;0.51 ;5.20
08/2012;0.41 ;0.13 ;0.50 ;5.24
09/2012;0.57 ;0.30 ;0.66 ;5.28
10/2012;0.59 ;0.25 ;0.70 ;5.45
11/2012;0.60 ;0.54 ;0.62 ;5.53
12/2012;0.79 ;0.33 ;0.94 ;5.84
01/2013;0.86 ;-0.22 ;1.20 ;6.15
02/2013;0.60 ;-1.11 ;1.13 ;6.31
03/2013;0.47 ;0.26 ;0.53 ;6.59
04/2013;0.55 ;0.41 ;0.59 ;6.49
05/2013;0.37 ;0.31 ;0.39 ;6.50
06/2013;0.26 ;0.38 ;0.22 ;6.70
07/2013;0.03 ;-0.27 ;0.12 ;6.27
08/2013;0.24 ;0.09 ;0.29 ;6.09
09/2013;0.35 ;0.16 ;0.41 ;5.86
10/2013;0.57 ;0.14 ;0.70 ;5.84
11/2013;0.54 ;0.48 ;0.56 ;5.77
12/2013;0.92 ;0.91 ;0.92 ;5.91
01/2014;0.55 ;0.38 ;0.60 ;5.59
02/2014;0.69 ;0.40 ;0.78 ;5.68
03/2014;0.92 ;-0.02 ;1.20 ;6.15
04/2014;0.67 ;0.77 ;0.64 ;6.28
05/2014;0.46 ;0.59 ;0.42 ;6.37
06/2014;0.40 ;0.25 ;0.44 ;6.52
07/2014;0.01 ;0.39 ;-0.10 ;6.50
08/2014;0.25 ;0.51 ;0.17 ;6.51
09/2014;0.57 ;0.40 ;0.62 ;6.75
10/2014;0.42 ;0.38 ;0.43 ;6.59
11/2014;0.51 ;0.72 ;0.45 ;6.56
12/2014;0.78 ;0.43 ;0.88 ;6.41
01/2015;1.24 ;2.50 ;0.87 ;7.14
02/2015;1.22 ;2.37 ;0.88 ;7.70
03/2015;1.32 ;3.36 ;0.70 ;8.13
04/2015;0.71 ;0.78 ;0.69 ;8.17
05/2015;0.74 ;1.22 ;0.59 ;8.47
06/2015;0.79 ;1.12 ;0.69 ;8.89
07/2015;0.62 ;1.17 ;0.45 ;9.56
08/2015;0.22 ;0.32 ;0.19 ;9.53
09/2015;0.54 ;0.92 ;0.42 ;9.49
10/2015;0.82 ;1.39 ;0.64 ;9.93
11/2015;1.01 ;1.09 ;0.98 ;10.48
12/2015;0.96 ;0.53 ;1.10 ;10.67
01/2016;1.27 ;1.75 ;1.12 ;10.71
02/2016;0.90 ;0.39 ;1.06 ;10.36
03/2016;0.43 ;-0.36 ;0.68 ;9.39
04/2016;0.61 ;0.69 ;0.58 ;9.28
05/2016;0.78 ;1.40 ;0.58 ;9.32
06/2016;0.35 ;0.24 ;0.39 ;8.84
07/2016;0.52 ;-0.10 ;0.72 ;8.74
08/2016;0.44 ;0.26 ;0.50 ;8.97
09/2016;0.08 ;0.37 ;-0.01 ;8.48
10/2016;0.26 ;0.54 ;0.17 ;7.87
11/2016;0.18 ;0.22 ;0.17 ;6.99
12/2016;0.30 ;-0.01 ;0.40 ;6.29
01/2017;0.38 ;0.80 ;0.25 ;5.35
02/2017;0.33 ;0.58 ;0.25 ;4.76
03/2017;0.25 ;0.48 ;0.18 ;4.57
04/2017;0.14 ;-0.60 ;0.38 ;4.08
05/2017;0.31 ;1.56 ;-0.09 ;3.60
