"",BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.A.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S122.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X100.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.A150.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISP.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.MFISX.B.X401.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S13.B.A.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.A.R.A.A._Z._Z.A_FLAGS,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A,BBSIS.M.I.UMR.RD.EUR.S1312.B.A.A.R.A.A._Z._Z.A_FLAGS
1973-03,8.7,,8.7,,8.8,,8.7,,8.6,,8.8,,8.7,,8.5,,8.50,,,
1973-04,8.9,,8.9,,8.9,,8.9,,8.9,,9.0,,9.0,,8.8,,8.80,,,
1973-05,9.4,,9.4,,9.4,,9.4,,9.3,,9.6,,9.8,,9.3,,9.20,,,
1973-06,10.2,,10.3,,10.2,,10.3,,10.1,,10.4,,10.5,,9.9,,9.80,,,
1973-07,10.3,,10.4,,10.4,,10.4,,10.2,,10.6,,10.6,,10.0,,9.90,,,
1973-08,10.1,,10.3,,10.3,,10.3,,10.2,,10.3,,10.5,,9.9,,9.70,,,
1973-09,9.8,,9.9,,10.0,,9.9,,9.8,,9.9,,10.1,,9.6,,9.60,,,
1973-10,9.9,,10.0,,10.1,,10.0,,9.9,,10.0,,10.2,,9.7,,9.60,,,
1973-11,9.6,,9.7,,9.8,,9.7,,9.6,,9.7,,9.9,,9.5,,9.40,,,
1973-12,9.7,,9.6,,9.7,,9.6,,9.6,,9.7,,10.1,,9.6,,9.60,,,
1974-01,9.7,,9.7,,9.7,,9.6,,9.6,,9.7,,10.1,,9.6,,9.60,,,
1974-02,10.0,,10.0,,10.0,,9.9,,10.0,,10.0,,10.5,,9.9,,9.90,,,
1974-03,10.7,,10.7,,10.8,,10.7,,10.7,,10.7,,11.4,,10.4,,10.40,,,
1974-04,10.8,,10.9,,11.0,,10.9,,10.9,,10.9,,11.4,,10.4,,10.30,,,
1974-05,10.8,,10.9,,11.0,,10.9,,10.9,,11.0,,11.4,,10.6,,10.50,,,
1974-06,10.9,,10.9,,11.1,,10.9,,10.9,,11.0,,11.4,,10.7,,10.60,,,
1974-07,10.9,,11.0,,11.1,,11.0,,10.9,,11.0,,11.4,,10.7,,10.70,,,
1974-08,10.9,,10.9,,11.0,,10.9,,10.9,,10.9,,11.3,,10.7,,10.60,,,
1974-09,10.8,,10.9,,11.0,,10.8,,10.8,,10.9,,11.4,,10.7,,10.70,,,
1974-10,10.9,,10.9,,11.0,,10.9,,10.8,,10.9,,11.4,,10.7,,10.60,,,
1974-11,10.6,,10.7,,10.8,,10.6,,10.6,,10.6,,11.1,,10.4,,10.30,,,
1974-12,9.9,,9.9,,10.0,,9.9,,9.9,,9.9,,10.5,,9.8,,9.70,,,
1975-01,9.4,,9.5,,9.6,,9.5,,9.5,,9.5,,9.9,,9.3,,9.20,,,
1975-02,9.0,,9.1,,9.2,,9.0,,9.0,,9.0,,9.4,,8.8,,8.70,,,
1975-03,8.9,,9.0,,9.1,,8.9,,8.9,,8.9,,9.3,,8.7,,8.70,,,
1975-04,8.8,,8.9,,9.0,,8.8,,8.8,,8.8,,9.2,,8.6,,8.50,,,
1975-05,8.5,,8.6,,8.8,,8.6,,8.6,,8.5,,8.9,,8.3,,8.20,,,
1975-06,8.4,,8.5,,8.6,,8.4,,8.4,,8.4,,8.7,,8.2,,8.10,,,
1975-07,8.4,,8.5,,8.7,,8.5,,8.4,,8.5,,8.9,,8.2,,8.10,,,
1975-08,8.6,,8.7,,8.9,,8.7,,8.6,,8.6,,9.1,,8.3,,8.10,,,
1975-09,8.7,,8.9,,9.1,,8.9,,8.8,,8.8,,9.2,,8.3,,8.10,,,
1975-10,8.7,,8.9,,9.1,,8.9,,8.8,,8.8,,9.1,,8.4,,8.20,,,
1975-11,8.7,,8.9,,9.1,,8.9,,8.8,,8.8,,9.0,,8.4,,8.30,,,
1975-12,8.6,,8.7,,8.8,,8.7,,8.6,,8.6,,8.9,,8.3,,8.30,,,
1976-01,8.4,,8.5,,8.7,,8.5,,8.4,,8.4,,8.6,,8.1,,8.00,,,
1976-02,8.2,,8.3,,8.5,,8.3,,8.2,,8.2,,8.3,,7.9,,7.80,,,
1976-03,7.8,,7.9,,8.1,,7.9,,7.8,,7.9,,7.9,,7.6,,7.50,,,
1976-04,7.8,,7.9,,8.0,,7.9,,7.8,,7.8,,7.9,,7.6,,7.60,,,
1976-05,8.0,,8.1,,8.2,,8.1,,8.0,,8.1,,8.2,,7.8,,7.80,,,
1976-06,8.3,,8.4,,8.5,,8.4,,8.2,,8.3,,8.4,,8.0,,8.00,,,
1976-07,8.4,,8.5,,8.6,,8.5,,8.4,,8.5,,8.5,,8.1,,8.10,,,
1976-08,8.3,,8.5,,8.6,,8.5,,8.4,,8.4,,8.4,,8.1,,8.10,,,
1976-09,8.1,,8.2,,8.3,,8.2,,8.1,,8.1,,8.2,,7.9,,7.90,,,
1976-10,8.0,,8.0,,8.1,,8.0,,8.0,,8.0,,8.1,,7.8,,7.80,,,
1976-11,7.6,,7.7,,7.8,,7.7,,7.7,,7.6,,7.7,,7.4,,7.40,,,
1976-12,7.4,,7.5,,7.5,,7.4,,7.4,,7.4,,7.6,,7.3,,7.20,,,
1977-01,7.2,,7.3,,7.3,comment,7.3,,7.2,,7.2,,7.4,,7.0,,7.00,,,
1977-02,7.1,,7.2,,7.3,,7.2,,7.2,,7.2,,7.3,,7.0,,6.90,,,
1977-03,7.0,,7.1,,7.2,,7.1,,7.0,,7.1,,7.2,,6.8,,6.70,,,
1977-04,6.6,,6.7,,6.8,,6.7,,6.6,,6.6,,6.8,,6.3,,6.30,,,
1977-05,6.4,,6.5,,6.6,,6.5,,6.4,,6.5,,6.8,,6.2,,6.10,,,
1977-06,6.4,,6.6,,6.6,,6.6,,6.4,,6.5,,6.7,,6.1,,6.10,,,
1977-07,6.3,,6.5,,6.5,,6.5,,6.3,,6.4,,6.6,,6.0,,6.00,,,
1977-08,6.1,,6.2,,6.3,,6.2,,6.0,,6.1,,6.5,,5.7,,5.70,,,
1977-09,6.0,,6.1,,6.2,,6.1,,5.9,,6.0,,6.5,,5.7,,5.70,,,
1977-10,6.0,,6.1,,6.2,,6.1,,5.9,,6.0,,6.5,,5.7,,5.70,,,
1977-11,6.0,,6.1,,6.2,,6.1,,5.9,,6.0,,6.5,,5.7,,5.70,,,
1977-12,6.0,,6.1,,6.2,,6.1,,6.0,,6.0,,6.4,,5.7,,5.70,,,
1978-01,5.8,,5.9,,6.1,,5.9,,5.8,,5.8,,6.3,,5.5,,5.45,,,
1978-02,5.7,,5.8,,6.0,,5.9,,5.7,,5.7,,6.3,,5.4,,5.35,,,
1978-03,5.6,,5.7,,5.9,,5.8,,5.6,,5.6,,6.4,,5.2,,5.20,,,
1978-04,5.6,,5.8,,5.9,,5.8,,5.6,,5.6,,6.5,,5.2,,5.21,,,
1978-05,5.8,,5.9,,6.1,,6.0,,5.7,,5.8,,6.6,,5.4,,5.34,,,
1978-06,6.0,,6.2,,6.3,,6.2,,5.9,,6.0,,6.6,,5.6,,5.48,,,
1978-07,6.3,,6.5,,6.6,,6.5,,6.2,,6.3,,6.7,,5.9,,5.80,,,
1978-08,6.6,,6.7,,6.8,,6.8,,6.5,,6.6,,6.8,,6.1,,6.04,,,
1978-09,6.4,,6.5,,6.6,,6.5,,6.4,,6.4,,6.7,,6.0,,5.98,,,
1978-10,6.3,,6.4,,6.5,,6.5,,6.2,,6.2,,6.7,,6.0,,5.98,,,
1978-11,6.6,,6.7,,6.8,,6.7,,6.4,,6.5,,6.8,,6.2,,6.16,,,
1978-12,6.6,,6.7,,6.8,,6.7,,6.5,,6.5,,6.8,,6.3,,6.29,,,
1979-01,6.7,,6.8,,6.8,,6.8,,6.6,,6.6,,6.8,,6.4,,6.42,,,
1979-02,7.0,,7.0,,7.1,,7.1,,6.8,,6.9,,7.0,,6.8,,6.74,,,
1979-03,7.1,,7.1,,7.2,,7.2,,7.0,,7.0,,7.0,,6.9,,6.85,,,
1979-04,7.2,,7.3,,7.3,,7.3,,7.2,,7.2,,7.3,,7.0,,7.02,,,
1979-05,7.6,,7.7,,7.7,,7.7,,7.5,,7.5,,7.7,,7.6,,7.62,,,
1979-06,8.0,,8.0,,8.0,,8.0,,7.9,,7.9,,8.0,,7.8,,7.84,,,
1979-07,7.9,,8.0,,8.0,,8.0,,7.9,,7.8,,8.0,,7.8,,7.76,,,
1979-08,7.7,,7.8,,7.8,,7.8,,7.7,,7.7,,7.8,,7.5,,7.50,,,
1979-09,7.8,,7.8,,7.9,,7.9,,7.7,,7.7,,7.8,,7.5,,7.52,,,
1979-10,7.9,,8.0,,8.0,,8.0,,7.9,,7.9,,8.0,,7.8,,7.74,,,
1979-11,8.3,,8.3,,8.3,,8.3,,8.3,,8.2,,8.4,,8.1,,8.06,,,
1979-12,8.0,,8.0,,8.0,,8.0,,8.0,,7.9,,8.2,,7.9,,7.89,,,
1980-01,8.1,,8.1,,8.2,,8.2,,8.1,,8.0,,8.3,,8.1,,8.09,,,
1980-02,8.5,,8.5,,8.6,,8.5,,8.5,,8.4,,8.5,,8.5,,8.48,,,
1980-03,9.5,,9.6,,9.6,,9.6,,9.6,,9.3,,9.6,,9.4,,9.46,,,
1980-04,9.6,,9.6,,9.6,,9.6,,9.6,,9.3,,10.0,,9.4,,9.36,,,
1980-05,8.8,,8.8,,8.9,,8.9,,8.9,,8.7,,9.4,,8.7,,8.64,,,
1980-06,8.3,,8.3,,8.3,,8.3,,8.4,,8.3,,8.9,,8.2,,8.14,,,
1980-07,8.0,,8.1,,8.1,,8.1,,8.1,,8.0,,8.4,,7.9,,7.90,,,
1980-08,7.9,,7.9,,8.0,,8.0,,7.9,,7.9,,8.1,,7.8,,7.81,,,
1980-09,8.3,,8.3,,8.3,,8.3,,8.3,,8.2,,8.5,,8.1,,8.11,,,
1980-10,8.5,,8.6,,8.6,,8.6,,8.6,,8.5,,8.8,,8.3,,8.32,,,
1980-11,9.0,,9.0,,9.1,,9.1,,9.0,,8.9,,9.3,,8.7,,8.70,,,
1980-12,9.1,,9.2,,9.2,,9.2,,9.2,,9.0,,9.5,,8.9,,8.92,,,
1981-01,9.2,,9.2,,9.2,,9.2,,9.2,,9.0,,9.5,,9.1,,9.04,,,
1981-02,9.9,,9.9,,10.0,,10.0,,10.0,,9.7,,10.0,,9.9,,9.88,,,
1981-03,10.4,,10.5,,10.5,,10.5,,10.5,,10.2,,11.0,,10.3,,10.21,,,
1981-04,10.4,,10.4,,10.5,,10.5,,10.5,,10.2,,10.9,,10.2,,10.21,,,
1981-05,11.0,,11.0,,11.1,,11.1,,11.1,,10.8,,11.5,,10.8,,10.85,,,
1981-06,11.1,,11.2,,11.2,,11.2,,11.2,,11.0,,11.7,,10.9,,10.94,,,
1981-07,11.2,,11.3,,11.3,,11.3,,11.2,,11.1,,11.7,,11.0,,11.00,,,
1981-08,11.5,,11.6,,11.6,,11.6,,11.5,,11.4,,11.8,,11.2,,11.24,,,
1981-09,11.3,,11.4,,11.4,,11.4,,11.5,,11.3,,11.9,,11.1,,11.12,,,
1981-10,10.6,,10.7,,10.7,,10.7,,10.7,,10.6,,11.3,,10.4,,10.37,,,
1981-11,10.2,,10.2,,10.2,,10.2,,10.3,,10.2,,11.0,,10.0,,9.94,,,
1981-12,9.9,,9.9,,9.9,,9.9,,9.9,,9.9,,10.5,,9.7,,9.74,,,
1982-01,10.0,,10.0,,10.0,,10.0,,10.1,,10.0,,10.4,,9.9,,9.88,,,
1982-02,9.9,,10.0,,10.0,,10.0,,10.1,,10.0,,10.2,,9.8,,9.82,,,
1982-03,9.6,,9.6,,9.6,,9.6,,9.7,,9.6,,9.9,,9.5,,9.43,,,
1982-04,9.1,,9.1,,9.1,,9.1,,9.2,,9.1,,9.4,,9.0,,8.94,,,
1982-05,8.9,,8.9,,8.9,,8.9,,8.9,,8.9,,9.1,,8.8,,8.79,,,
1982-06,9.2,,9.3,,9.3,,9.3,,9.3,,9.3,,9.3,,9.1,,9.17,,,
1982-07,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.5,,9.3,,9.31,,,
1982-08,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.5,,9.0,,9.03,,,
1982-09,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,,9.3,,8.7,,8.66,,,
1982-10,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.9,,8.3,,8.27,,,
1982-11,8.2,,8.3,,8.3,,8.3,,8.2,,8.2,,8.5,,8.1,,8.15,,,
1982-12,8.0,,8.0,,8.0,,8.0,,8.0,,7.9,,8.2,,7.9,,7.87,,,
1983-01,7.7,,7.8,,7.8,,7.8,,7.8,,7.7,,7.9,,7.6,,7.62,,,
1983-02,7.7,,7.8,,7.8,,7.8,,7.8,,7.7,,7.7,,7.6,,7.67,,,
1983-03,7.4,,7.4,,7.4,,7.4,,7.4,,7.3,,7.5,,7.4,,7.35,,,
1983-04,7.4,,7.4,,7.4,,7.5,,7.4,,7.3,,7.3,,7.4,,7.41,,,
1983-05,7.7,,7.7,,7.7,,7.8,,7.7,,7.7,,7.4,,7.6,,7.62,,,
1983-06,8.1,,8.2,,8.2,,8.2,,8.2,,8.1,,7.9,,8.0,,8.04,,,
1983-07,8.2,,8.2,,8.2,,8.2,,8.1,,8.1,,8.0,,8.1,,8.10,,,
1983-08,8.3,,8.3,,8.3,,8.3,,8.3,,8.3,,8.1,,8.3,,8.29,,,
1983-09,8.4,,8.4,,8.4,,8.4,,8.4,,8.4,,8.3,,8.3,,8.34,,,
1983-10,8.2,,8.2,,8.2,,8.2,,8.2,,8.2,,8.3,,8.1,,8.12,,,
1983-11,8.2,,8.2,,8.2,,8.2,,8.1,,8.1,,8.3,,8.1,,8.09,,,
1983-12,8.3,,8.3,,8.3,,8.3,,8.2,,8.3,,8.3,,8.2,,8.26,,,
1984-01,8.2,,8.3,,8.3,,8.3,,8.2,,8.2,,8.3,,8.2,,8.22,,,
1984-02,8.1,,8.1,,8.1,,8.1,,8.1,,8.0,,8.0,,8.0,,8.01,,,
1984-03,7.9,,7.9,,7.9,,7.9,,7.9,,7.9,,8.0,,7.9,,7.84,,,
1984-04,7.9,,8.0,,8.0,,8.0,,7.9,,7.9,,8.0,,7.9,,7.90,,,
1984-05,8.0,,8.0,,8.0,,8.1,,8.0,,8.0,,8.0,,8.0,,8.04,,,
1984-06,8.1,,8.1,,8.1,,8.1,,8.0,,8.0,,8.0,,8.1,,8.03,,,
1984-07,8.1,,8.1,,8.1,,8.1,,8.1,,8.0,,8.0,,8.1,,8.06,,,
1984-08,7.9,,7.9,,7.9,,8.0,,8.0,,7.9,,8.0,,7.9,,7.87,,,
1984-09,7.7,,7.7,,7.7,,7.7,,7.7,,7.6,,7.7,,7.6,,7.63,,,
1984-10,7.4,,7.4,,7.4,,7.4,,7.4,,7.3,,7.5,,7.4,,7.35,,,
1984-11,7.2,,7.2,,7.2,,7.2,,7.2,,7.1,,7.3,,7.2,,7.15,,,
1984-12,7.0,,7.0,,7.0,,7.0,,7.0,,6.9,,7.2,,7.0,,6.97,,,
1985-01,7.1,,7.1,,7.1,,7.1,,7.1,,7.0,,7.2,,7.1,,7.11,,,
1985-02,7.5,,7.5,,7.5,,7.5,,7.5,,7.4,,7.2,,7.4,,7.47,,,
1985-03,7.7,,7.7,,7.7,,7.7,,7.7,,7.6,,7.3,,7.6,,7.57,,,
1985-04,7.3,,7.4,,7.4,,7.4,,7.4,,7.3,,7.3,,7.3,,7.24,,,
1985-05,7.1,,7.1,,7.2,,7.2,,7.2,,7.1,,7.1,,7.1,,7.06,,,
1985-06,7.0,,7.0,,7.0,,7.0,,7.0,,6.9,,7.1,,6.9,,6.91,,,
1985-07,6.8,,6.8,,6.8,,6.8,,6.9,,6.7,,7.1,,6.7,,6.66,,,
1985-08,6.5,,6.5,,6.6,,6.5,,6.6,,6.4,,6.9,,6.4,,6.40,,,
1985-09,6.4,,6.4,,6.5,,6.4,,6.5,,6.3,,6.8,,6.3,,6.30,,,
1985-10,6.6,,6.7,,6.7,,6.7,,6.7,,6.6,,6.9,,6.5,,6.52,,,
1985-11,6.7,,6.8,,6.8,,6.8,,6.8,,6.7,,7.0,,6.6,,6.53,,,
1985-12,6.6,,6.7,,6.7,,6.7,,6.7,,6.6,,6.9,,6.5,,6.43,,,
1986-01,6.4,,6.5,,6.6,,6.5,,6.6,,6.4,,6.8,,6.3,,6.29,,,
1986-02,6.3,,6.3,,6.4,,6.3,,6.4,,6.2,,6.8,,6.2,,6.14,,,
1986-03,6.0,,6.0,,6.1,,6.0,,6.1,,5.9,,6.7,,5.9,,5.81,,,
1986-04,5.6,,5.7,,5.8,,5.7,,5.8,,5.6,,6.6,,5.5,,5.47,,,
1986-05,5.9,,5.9,,6.0,,5.9,,5.9,,5.8,,6.4,,5.8,,5.80,,,
1986-06,6.0,,6.1,,6.2,,6.1,,6.1,,6.0,,6.5,,5.9,,5.88,,,
1986-07,6.0,,6.0,,6.1,,6.0,,6.1,,5.9,,6.6,,5.9,,5.80,,6.4,
1986-08,5.8,,5.8,,5.9,,5.8,,5.9,,5.7,,6.4,,5.7,,5.62,,6.2,
1986-09,5.8,,5.9,,6.0,,5.8,,5.9,,5.7,,6.3,,5.8,,5.71,,6.3,
1986-10,6.0,,6.1,,6.2,,6.1,,6.1,,5.9,,6.4,,6.0,,5.94,,6.4,
1986-11,6.1,,6.2,,6.3,,6.1,,6.2,,6.0,,6.6,,6.1,,6.02,,6.5,
1986-12,6.0,,6.0,,6.1,,6.0,,6.1,,5.8,,6.5,,5.9,,5.87,,6.3,
1987-01,5.9,,5.9,,6.0,,5.9,,6.0,,5.7,,6.5,,5.8,,5.78,,6.2,
1987-02,5.7,,5.7,,5.9,,5.7,,5.8,,5.6,,6.4,,5.7,,5.66,,6.2,
1987-03,5.6,,5.6,,5.8,,5.6,,5.7,,5.4,,6.6,,5.6,,5.56,,6.1,
1987-04,5.5,,5.5,,5.6,,5.4,,5.6,,5.3,,6.5,,5.5,,5.41,,5.9,
1987-05,5.4,,5.4,,5.5,,5.4,,5.4,,5.2,,6.4,,5.4,,5.29,,5.9,
1987-06,5.5,,5.5,,5.6,,5.5,,5.5,,5.2,,6.5,,5.6,,5.51,,6.1,
1987-07,5.8,,5.7,,5.9,,5.7,,5.8,,5.5,,6.6,,5.8,,5.78,,6.2,
1987-08,6.0,,6.0,,6.1,,6.0,,6.0,,5.8,,6.7,,6.0,,6.00,,6.4,
1987-09,6.2,,6.1,,6.2,,6.1,,6.1,,5.9,,6.8,,6.2,,6.20,,6.5,
1987-10,6.5,,6.4,,6.5,,6.4,,6.4,,6.2,,7.1,,6.5,,6.48,,6.8,
1987-11,6.0,,6.0,,6.1,,5.9,,6.0,,5.8,,6.8,,6.0,,6.00,,6.4,
1987-12,5.8,,5.7,,5.9,,5.7,,5.8,,5.5,,6.7,,6.0,,5.93,,6.2,
1988-01,5.9,,5.8,,5.9,,5.7,,5.8,,5.5,,6.7,,6.0,,5.94,,6.2,
1988-02,5.7,,5.6,,5.7,,5.5,,5.7,,5.3,,6.7,,5.8,,5.73,,6.0,
1988-03,5.6,,5.5,,5.6,,5.4,,5.6,,5.3,,6.6,,5.7,,5.64,,5.9,
1988-04,5.7,,5.6,,5.7,,5.5,,5.6,,5.4,,6.6,,5.8,,5.75,,6.0,
1988-05,6.0,,5.9,,6.0,,5.9,,6.0,,5.7,,6.8,,6.1,,6.09,,6.3,
1988-06,6.0,,5.9,,6.0,,5.9,,6.0,,5.7,,6.8,,6.1,,6.10,,6.3,
1988-07,6.3,,6.2,,6.3,,6.2,,6.3,,6.1,,6.8,,6.4,,6.37,,6.5,
1988-08,6.5,,6.5,,6.5,,6.5,,6.5,,6.4,,7.0,,6.5,,6.53,,6.7,
1988-09,6.3,,6.4,,6.4,,6.3,,6.4,,6.3,,6.9,,6.3,,6.32,,6.5,
1988-10,6.2,,6.1,,6.2,,6.1,,6.2,,6.1,,6.7,,6.2,,6.14,,6.3,
1988-11,6.0,,6.0,,6.1,,6.0,,6.1,,5.9,,6.6,,6.1,,6.07,,6.2,
1988-12,6.2,,6.2,,6.2,,6.2,,6.2,,6.2,,6.8,,6.3,,6.30,,6.4,
1989-01,6.5,,6.4,,6.5,,6.4,,6.4,,6.4,,6.8,,6.5,,6.49,,6.5,
1989-02,6.9,,6.9,,6.9,,6.9,,6.9,,6.9,,6.9,,6.9,,6.85,,6.9,
1989-03,7.0,,7.1,,7.1,,7.1,,7.0,,7.1,,7.1,,6.9,,6.94,,7.0,
1989-04,7.0,,7.0,,7.0,,7.0,,7.0,,7.0,,7.1,,6.9,,6.90,,7.0,
1989-05,7.1,,7.2,,7.2,,7.2,,7.2,,7.2,,7.2,,7.1,,7.06,,7.2,
1989-06,7.1,,7.2,,7.2,,7.2,,7.2,,7.2,,7.3,,6.9,,6.92,,7.1,
1989-07,6.9,,7.1,,7.1,,7.1,,7.0,,7.1,,7.1,,6.8,,6.79,,6.9,
1989-08,6.9,,7.0,,7.0,,7.0,,7.0,,7.0,,6.9,,6.8,,6.81,,6.9,
1989-09,7.1,,7.2,,7.2,,7.2,,7.2,,7.2,,7.0,,7.1,,7.05,,7.1,
1989-10,7.4,,7.5,,7.6,,7.6,,7.5,,7.5,,7.6,,7.3,,7.26,,7.5,
1989-11,7.8,,7.9,,7.9,,7.9,,7.9,,7.9,,7.8,,7.6,,7.59,,7.8,
1989-12,7.8,,7.9,,7.9,,7.9,,7.9,,7.9,,7.9,,7.6,,7.59,,7.8,
1990-01,8.0,,8.1,,8.1,,8.1,,8.1,,8.1,,7.9,,7.9,,7.93,,8.0,
1990-02,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.5,,8.7,,8.69,,8.7,
1990-03,9.0,,9.1,,9.1,,9.1,,9.0,,9.1,,9.2,,8.9,,8.94,,9.0,
1990-04,8.9,,9.0,,9.0,,9.0,,8.9,,9.0,,9.1,,8.9,,8.87,,8.9,
1990-05,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.2,,8.9,,8.92,,9.0,
1990-06,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.1,,9.0,,8.95,,9.0,
1990-07,8.8,,8.9,,8.9,,8.9,,8.9,,8.9,,9.1,,8.7,,8.71,,8.8,
1990-08,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.1,,9.0,,8.97,,9.0,
1990-09,9.1,,9.1,,9.1,,9.1,,9.1,,9.1,,9.2,,9.1,,9.12,,9.1,
1990-10,9.2,,9.2,,9.2,,9.2,,9.2,,9.2,,9.3,,9.1,,9.11,,9.2,
1990-11,9.1,,9.2,,9.2,,9.2,,9.2,,9.2,,9.3,,9.0,,9.04,,9.1,
1990-12,9.0,,9.1,,9.1,,9.1,,9.1,,9.1,,9.2,,9.0,,8.95,,9.0,
1991-01,9.1,,9.2,,9.2,,9.2,,9.2,,9.2,,9.4,,9.1,,9.06,,9.2,
1991-02,8.7,,8.8,,8.8,,8.8,,8.8,,8.9,,9.1,,8.6,,8.58,,8.7,
1991-03,8.6,,8.7,,8.7,,8.7,,8.6,,8.7,,8.7,,8.5,,8.52,,8.6,
1991-04,8.6,,8.7,,8.7,,8.7,,8.6,,8.7,,8.7,,8.5,,8.51,,8.6,
1991-05,8.6,,8.7,,8.7,,8.7,,8.7,,8.7,,8.7,,8.5,,8.52,,8.6,
1991-06,8.6,,8.7,,8.7,,8.7,,8.6,,8.7,,8.6,,8.5,,8.50,,8.6,
1991-07,8.9,,9.0,,9.0,,9.0,,8.9,,9.0,,9.3,,8.8,,8.78,,8.9,
1991-08,8.9,,9.1,,9.1,,9.1,,9.0,,9.1,,9.0,,8.8,,8.76,,9.0,
1991-09,8.8,,8.9,,9.0,,9.0,,8.9,,9.0,,8.9,,8.7,,8.64,,8.9,
1991-10,8.7,,8.9,,8.9,,8.9,,8.8,,8.9,,8.9,,8.6,,8.56,,8.8,
1991-11,8.7,,8.9,,8.9,,8.9,,8.8,,8.9,,8.9,,8.6,,8.57,,8.8,
1991-12,8.7,,8.8,,8.9,,8.8,,8.7,,8.9,,8.9,,8.5,,8.51,,8.7,
1992-01,8.3,,8.5,,8.5,,8.5,,8.4,,8.6,,8.8,,8.1,,8.14,,8.3,
1992-02,8.2,,8.3,,8.3,,8.3,,8.2,,8.4,,8.6,,8.1,,8.08,,8.2,
1992-03,8.2,,8.3,,8.4,,8.4,,8.3,,8.4,,8.6,,8.1,,8.14,,8.3,
1992-04,8.3,,8.5,,8.5,,8.5,,8.4,,8.6,,8.7,,8.2,,8.20,,8.4,
1992-05,8.4,,8.6,,8.6,,8.6,,8.5,,8.6,,8.9,,8.3,,8.26,,8.5,
1992-06,8.4,,8.6,,8.6,,8.6,,8.5,,8.7,,9.1,,8.3,,8.28,,8.5,
1992-07,8.5,,8.7,,8.7,,8.7,,8.6,,8.8,,9.3,,8.3,,8.34,,8.6,
1992-08,8.6,,8.8,,8.8,,8.8,,8.7,,8.9,,9.3,,8.4,,8.38,,8.7,
1992-09,8.2,,8.4,,8.5,,8.4,,8.3,,8.5,,9.0,,8.0,,8.01,,8.3,
1992-10,7.6,,7.8,,7.8,,7.8,,7.8,,7.9,,8.5,,7.4,,7.43,,7.5,
1992-11,7.4,,7.6,,7.6,,7.6,,7.5,,7.6,,8.3,,7.3,,7.29,,7.3,
1992-12,7.4,,7.5,,7.5,,7.5,,7.5,,7.6,,7.9,,7.3,,7.25,,7.2,
1993-01,7.1,,7.2,,7.2,,7.2,,7.2,,7.3,,7.5,,7.0,,6.98,,7.0,
1993-02,6.9,,7.0,,7.0,,7.0,,7.0,,7.0,,7.4,,6.8,,6.77,,6.7,
1993-03,6.5,,6.6,,6.6,,6.6,,6.6,,6.7,,7.0,,6.4,,6.43,,6.4,
1993-04,6.6,,6.7,,6.7,,6.7,,6.7,,6.7,,7.0,,6.5,,6.49,,6.4,
1993-05,6.7,,6.8,,6.8,,6.8,,6.8,,6.8,,7.1,,6.6,,6.59,,6.5,
1993-06,6.7,,6.8,,6.8,,6.8,,6.8,,6.9,,7.2,,6.6,,6.62,,6.6,
1993-07,6.5,,6.6,,6.6,,6.6,,6.6,,6.7,,7.1,,6.4,,6.42,,6.4,
