"",BBK01.SUD021,BBK01.SUD021_FLAGS,BBK01.SUD022,BBK01.SUD022_FLAGS,BBK01.SUD023,BBK01.SUD023_FLAGS,BBK01.SUD024,BBK01.SUD024_FLAGS,BBK01.SUD026,BBK01.SUD026_FLAGS,BBK01.SUD027,BBK01.SUD027_FLAGS,BBK01.SUD028,BBK01.SUD028_FLAGS,BBK01.SUD029,BBK01.SUD029_FLAGS,BBK01.SUD030,BBK01.SUD030_FLAGS,BBK01.SUD031,BBK01.SUD031_FLAGS,BBK01.SUD032,BBK01.SUD032_FLAGS,BBK01.SUD033,BBK01.SUD033_FLAGS,BBK01.SUD034,BBK01.SUD034_FLAGS,BBK01.SUD201,BBK01.SUD201_FLAGS,BBK01.SUD202,BBK01.SUD202_FLAGS,BBK01.SUD203,BBK01.SUD203_FLAGS,BBK01.SUD204,BBK01.SUD204_FLAGS,BBK01.SUD205,BBK01.SUD205_FLAGS,BBK01.SUD206,BBK01.SUD206_FLAGS,BBK01.SUD207,BBK01.SUD207_FLAGS,BBK01.SUD208,BBK01.SUD208_FLAGS,BBK01.SUD209,BBK01.SUD209_FLAGS,BBK01.SUD210,BBK01.SUD210_FLAGS,BBK01.SUD212,BBK01.SUD212_FLAGS,BBK01.SUD213,BBK01.SUD213_FLAGS,BBK01.SUD214,BBK01.SUD214_FLAGS,BBK01.SUD215,BBK01.SUD215_FLAGS,BBK01.SUD216,BBK01.SUD216_FLAGS,BBK01.SUD217,BBK01.SUD217_FLAGS,BBK01.SUD218,BBK01.SUD218_FLAGS,BBK01.SUD219,BBK01.SUD219_FLAGS,BBK01.SUD220,BBK01.SUD220_FLAGS,BBK01.SUD221,BBK01.SUD221_FLAGS,BBK01.SUD222,BBK01.SUD222_FLAGS,BBK01.SUD223,BBK01.SUD223_FLAGS,BBK01.SUD224,BBK01.SUD224_FLAGS,BBK01.SUD225,BBK01.SUD225_FLAGS,BBK01.SUD226,BBK01.SUD226_FLAGS,BBK01.SUD227,BBK01.SUD227_FLAGS,BBK01.SUD228,BBK01.SUD228_FLAGS,BBK01.SUD229,BBK01.SUD229_FLAGS
2007-05,172864,,189352,,96130,,22042,,5944,,28091,,926362,,68717,,66152,,316785,,159851,,97131,,502695,,472490,,40887,,1934,,1169,,465973,,104138,,173628,,54833,,290,,265,,44228,,916,,4881,,3252,,2012,,2167,,6281,,5236,,13774,,1743,,2492,,65747,,7749,,1065,,2515,,41431,,5479,,6565,
2007-06,178758,,188711,,95736,,22252,,6342,,27850,,926997,,70229,,66530,,316282,,162329,,96852,,502496,,479163,,44261,,3006,,1582,,461997,,104744,,174943,,54211,,781,,719,,45364,,1179,,4703,,3157,,2372,,2128,,6144,,5466,,15090,,2009,,2899,,69428,,8714,,1407,,2293,,52140,,4054,,9513,
2007-07,184931,,187763,,99560,,22518,,5642,,27779,,926469,,69907,,66992,,316373,,162143,,96872,,504294,,475744,,49733,,2928,,1619,,456327,,105360,,174104,,61305,,742,,1864,,44782,,1352,,5248,,3332,,2745,,2484,,6855,,5229,,18606,,1697,,3442,,68935,,8903,,1555,,3056,,44655,,3937,,7317,
2007-08,194424,,187298,,106493,,22603,,5676,,27650,,927325,,67454,,67239,,316770,,161907,,99236,,508383,,479145,,53951,,2424,,2175,,452446,,105719,,174373,,67761,,808,,728,,43748,,1003,,4003,,3376,,2220,,2207,,5578,,4883,,23231,,1346,,2895,,64559,,8510,,1110,,2393,,44384,,3737,,7867,
2007-09,202538,,187402,,109580,,22699,,5759,,27517,,928329,,69298,,66892,,316021,,167482,,100751,,509447,,478416,,55900,,2811,,1422,,448931,,106318,,173245,,66416,,532,,607,,44980,,832,,4399,,2772,,2240,,1967,,4717,,4242,,24079,,1477,,2287,,69525,,10087,,1130,,1989,,49458,,3763,,6111,
2007-10,210844,,186438,,112487,,22705,,5610,,27337,,927812,,68806,,66286,,315854,,165833,,99854,,511951,,473877,,56757,,4426,,2616,,444222,,107459,,175018,,66241,,849,,988,,45952,,1359,,3527,,3132,,2458,,2380,,5796,,4619,,20162,,1456,,2996,,65820,,9719,,1154,,2254,,49735,,4437,,6766,
2007-11,218591,,185967,,110367,,22552,,5580,,27097,,928254,,67112,,66286,,315734,,169340,,101880,,514677,,485275,,46651,,4358,,2594,,440239,,108404,,181448,,56793,,615,,606,,44575,,1229,,3131,,2348,,1933,,2248,,4964,,4478,,18337,,1296,,2356,,67908,,8483,,1380,,1975,,49167,,3453,,6819,
2007-12,233913,,187966,,114005,,22016,,5714,,26823,,927008,,69968,,66286,,313790,,176369,,108197,,518166,,487616,,51117,,4997,,2517,,446616,,109427,,182148,,58222,,661,,724,,47501,,1472,,2585,,2039,,2127,,2094,,4842,,4025,,19696,,2239,,2926,,71200,,9614,,1289,,2274,,73727,,7580,,9629,
2008-01,245906,,186950,,112840,,21881,,5547,,26525,,924797,,67107,,66121,,313345,,177137,,111191,,520124,,479559,,67098,,5178,,2096,,441880,,109322,,175501,,60058,,437,,696,,46057,,1683,,3199,,2631,,2759,,2776,,5863,,4813,,17306,,1745,,2866,,70142,,9604,,1248,,2693,,59934,,5274,,6876,
2008-02,250408,,185966,,123009,,22040,,5523,,26172,,924259,,66873,,64856,,313641,,181731,,113368,,523842,,480976,,51891,,2051,,1201,,439835,,108445,,173993,,59230,,202,,550,,44772,,864,,2394,,2143,,1926,,2085,,4520,,3734,,10092,,1102,,1752,,75934,,7819,,1138,,1250,,57309,,3873,,4127,
2008-03,255183,,185527,,116191,,21716,,5643,,26003,,922836,,68848,,64919,,312380,,185558,,115188,,523954,,483442,,49509,,1308,,1033,,438185,,106376,,173778,,66136,,161,,181,,46975,,1005,,2523,,2167,,1647,,2181,,4701,,3915,,11416,,1041,,1838,,80965,,9491,,1079,,1354,,67678,,3106,,4907,
2008-04,263482,,184344,,121637,,21730,,5624,,25744,,922735,,66957,,65356,,313127,,184217,,117758,,527368,,485248,,59292,,1456,,1226,,435524,,105021,,172497,,55504,,306,,404,,45118,,1087,,2933,,2657,,2388,,2966,,6576,,4787,,8433,,1274,,2565,,80182,,9762,,1297,,1673,,68988,,3842,,6057,
2008-05,271299,,183531,,122362,,21803,,5397,,25588,,923319,,66242,,65270,,313407,,184853,,118967,,531308,,485688,,50180,,1359,,845,,433505,,103615,,171111,,46331,,288,,234,,44544,,843,,2634,,2237,,1946,,2510,,5480,,4197,,6766,,1081,,1850,,80154,,9173,,1051,,1444,,66639,,3571,,4224,
2008-06,277318,,182724,,118160,,21713,,5493,,25544,,923200,,68787,,65601,,313460,,189376,,121041,,532337,,481446,,52717,,2511,,1019,,431428,,102836,,173952,,50477,,304,,336,,47209,,974,,2841,,2412,,2173,,2634,,6229,,4703,,6864,,1165,,2628,,85801,,10794,,1280,,1734,,80148,,3254,,6699,
2008-07,287196,,181642,,121536,,21919,,5519,,25309,,924218,,66681,,65202,,313986,,185255,,122954,,534604,,480219,,62011,,3507,,1324,,426345,,102337,,172252,,53057,,267,,382,,44887,,1090,,2864,,2616,,2701,,2829,,6747,,5113,,10020,,1227,,2802,,82949,,10066,,1313,,1837,,90571,,3511,,6703,
2008-08,296615,,181577,,121183,,21860,,5476,,25164,,924678,,65476,,65215,,314361,,184587,,126090,,538063,,480303,,50968,,2914,,1292,,423199,,101222,,175575,,46256,,460,,201,,44184,,1218,,2322,,2141,,1998,,1932,,4920,,4213,,6914,,883,,2164,,82270,,8096,,995,,1298,,73515,,2956,,3836,
2008-09,301246,,178637,,123174,,23230,,5535,,24990,,924483,,69350,,64219,,313141,,188491,,127871,,539245,,476817,,53916,,2022,,1391,,419923,,100148,,183927,,52263,,899,,290,,48076,,1064,,2555,,2219,,2129,,1979,,5610,,4418,,6795,,994,,1934,,85079,,10688,,1091,,1557,,87137,,3353,,4378,
2008-10,324343,,177619,,123846,,23132,,5428,,24655,,923326,,68233,,64179,,313760,,186625,,131495,,541947,,491911,,74919,,2624,,1760,,418584,,103108,,193441,,60137,,205,,396,,46486,,1181,,2656,,2285,,2488,,2431,,6336,,4437,,7576,,1337,,2171,,83629,,10578,,1131,,1487,,87732,,3297,,4254,
2008-11,326660,,177052,,123000,,23011,,5430,,24457,,923930,,66343,,64133,,313806,,187864,,133091,,543105,,510118,,50889,,2623,,1873,,417459,,106825,,193041,,54007,,433,,271,,43669,,922,,2289,,2049,,1995,,2363,,5064,,4024,,5288,,972,,1420,,85604,,8719,,989,,1435,,65292,,2289,,3060,
2008-12,326679,,179319,,118097,,22976,,5528,,24239,,921200,,70480,,64753,,312375,,189735,,135627,,545487,,508140,,52012,,2583,,2291,,425527,,110599,,194621,,65240,,480,,470,,47477,,1217,,2086,,1947,,2476,,2918,,5566,,4200,,7051,,1360,,1966,,84891,,10536,,1438,,1828,,80446,,4972,,6563,
2009-01,307958,,179112,,116231,,23192,,5418,,23858,,918511,,68429,,64237,,311933,,187325,,137626,,546237,,529633,,48906,,3415,,2143,,429238,,110567,,202948,,69444,,843,,463,,45056,,1202,,2204,,2101,,3251,,3343,,6197,,3970,,7060,,1475,,2145,,83490,,9429,,1151,,1351,,78532,,3051,,3788,
2009-02,292932,,179096,,113302,,23084,,5385,,23699,,917860,,68714,,64060,,312259,,184185,,138424,,546787,,550800,,29935,,2015,,1968,,434504,,110493,,197847,,43602,,367,,421,,44553,,878,,2649,,2173,,2370,,2749,,5336,,3395,,5204,,1155,,1538,,84220,,9245,,1036,,1105,,63830,,1959,,3225,
2009-03,278398,,179828,,109282,,23274,,5628,,25122,,914732,,69922,,65239,,310898,,185413,,137257,,544740,,558216,,30369,,1746,,2911,,437140,,111178,,203071,,50263,,480,,1149,,45902,,1171,,3180,,2765,,2787,,3343,,6831,,4609,,6416,,1467,,2192,,84903,,12529,,1198,,1333,,73340,,2283,,3512,
2009-04,261337,,180758,,110298,,23265,,5583,,25146,,915850,,68003,,66029,,313251,,179972,,139607,,541776,,576843,,27496,,1611,,3059,,439565,,112039,,209654,,50849,,358,,538,,43989,,1510,,3112,,2485,,3150,,3521,,7455,,4272,,7353,,1773,,2329,,82312,,11605,,1204,,1488,,67171,,2706,,3480,
2009-05,251435,,182163,,107732,,23269,,5586,,25160,,916298,,67804,,66447,,313652,,178976,,140150,,542690,,587516,,25817,,1663,,2893,,441968,,113497,,211660,,43357,,412,,395,,43269,,904,,2915,,2247,,2616,,3031,,6547,,4000,,5699,,1307,,2020,,81653,,10634,,1078,,1139,,58465,,2404,,2783,
2009-06,240427,,183008,,101792,,23871,,5605,,25260,,916112,,69623,,66938,,313424,,175764,,140170,,540583,,591673,,25435,,1293,,2592,,445518,,114481,,217069,,42875,,279,,917,,45907,,1484,,3097,,2347,,2654,,3410,,7491,,4261,,6020,,1419,,2407,,82602,,11556,,1090,,1392,,69989,,2229,,4190,
2009-07,226909,,184056,,101908,,24569,,5645,,25363,,917097,,67652,,67786,,314054,,165586,,142007,,543439,,599922,,28372,,2077,,2947,,450019,,115616,,222639,,46924,,356,,1713,,44140,,1242,,3184,,2607,,3374,,3747,,8321,,4424,,6809,,1468,,2800,,76756,,11383,,1398,,1680,,70243,,3615,,4734,
2009-08,211060,,185213,,102191,,25351,,5590,,25464,,919814,,67276,,68042,,313033,,163648,,141683,,544743,,609242,,21694,,1393,,2866,,454401,,116343,,228457,,34238,,326,,792,,43846,,1187,,2401,,1958,,2931,,2812,,6269,,3767,,5529,,1119,,1825,,77358,,8654,,990,,1155,,54832,,1771,,3281,
2009-09,196660,,186698,,99264,,25666,,5673,,25577,,920700,,69214,,68844,,312404,,161898,,142071,,543286,,617597,,19325,,1584,,2779,,457521,,117556,,234141,,38890,,325,,565,,45022,,1322,,2294,,2007,,2256,,2587,,5904,,4060,,6690,,1043,,2043,,76050,,11592,,986,,1283,,59657,,2479,,3334,
2009-10,182143,,188911,,93477,,25921,,5595,,25654,,922448,,67502,,69092,,312654,,156313,,140861,,543616,,629015,,19145,,1868,,3393,,461657,,119952,,244464,,40077,,229,,513,,43311,,1651,,2386,,2018,,2956,,2707,,6512,,3780,,6626,,1208,,2480,,72593,,11279,,1133,,1403,,58565,,2149,,3158,
2009-11,170152,,191395,,92010,,26499,,5539,,25787,,923431,,66509,,69197,,312357,,153764,,140032,,548475,,646360,,17401,,1801,,3572,,464488,,120775,,249011,,41382,,301,,559,,41858,,2065,,2242,,1733,,2214,,2462,,5363,,3681,,5102,,1225,,1859,,72412,,8729,,965,,1252,,51190,,1858,,3859,
2009-12,161018,,196621,,88785,,26227,,5548,,25772,,922976,,67067,,70264,,311652,,141561,,142530,,546197,,651570,,19427,,1704,,3516,,474429,,119702,,249139,,37933,,460,,844,,43670,,2385,,2027,,1789,,2530,,2741,,5547,,3668,,6198,,1495,,2902,,67483,,9502,,1426,,1719,,67036,,3644,,5099,
2010-01,148065,,199231,,87339,,25855,,5331,,25666,,920643,,65616,,69802,,310796,,142271,,140859,,546597,,667262,,20151,,1645,,3755,,479240,,118141,,245835,,36579,,256,,539,,42165,,2233,,1775,,1889,,2978,,2512,,5293,,3006,,5417,,1422,,1894,,69286,,7819,,1047,,1124,,49385,,2333,,3270,
2010-02,141541,,201737,,86509,,24504,,5265,,25617,,919593,,64995,,69605,,310644,,141524,,141429,,548373,,675402,,17884,,1287,,2873,,485075,,117491,,238889,,30650,,200,,294,,41795,,2127,,1759,,1834,,2057,,2096,,4389,,3354,,4795,,977,,1634,,68416,,7546,,943,,940,,37997,,1840,,3029,
2010-03,138799,,203418,,86535,,24304,,5409,,25698,,919692,,66781,,69966,,310437,,140807,,137030,,545207,,670474,,18487,,1418,,2485,,486809,,117551,,243829,,34452,,344,,473,,43281,,2685,,2385,,2179,,2660,,2470,,5889,,4291,,7183,,1205,,2487,,66593,,11490,,1076,,1337,,50429,,1629,,6274,
2010-04,135398,,204546,,87161,,24331,,5308,,25751,,920319,,65796,,69811,,311280,,137156,,136365,,547853,,681563,,15049,,935,,1946,,488783,,115665,,248053,,34914,,334,,281,,41655,,2297,,2247,,1979,,2723,,2485,,5485,,4104,,6504,,1307,,2110,,64035,,9965,,1147,,1180,,50433,,1730,,3542,
2010-05,130925,,205790,,85444,,24284,,5432,,25886,,920465,,65885,,69991,,311976,,138377,,135173,,548913,,688068,,13756,,701,,2319,,490706,,113839,,249328,,32850,,185,,193,,41645,,2041,,2074,,1719,,2233,,2271,,5238,,4104,,5191,,1082,,2021,,63191,,10055,,897,,1304,,42240,,1102,,3990,
2010-06,129292,,207028,,83947,,22642,,5042,,25736,,920874,,69254,,69419,,312487,,138881,,134040,,550647,,691833,,13744,comment,608,comment,2409,comment,491359,,112572,,247745,,30960,comment,369,comment,168,comment,39362,,788,comment,2753,comment,3194,comment,2382,comment,2221,comment,5153,comment,4863,comment,4392,comment,1026,comment,2176,comment,70537,,6191,comment,1328,comment,1297,comment,49316,comment,2055,comment,4825,comment
2010-07,126987,,207585,,86081,,22755,,5045,,25877,,922891,,66944,,69924,,313413,,133762,,132856,,553359,,698095,,15413,,1070,,1524,,495008,,110429,,246466,,39821,,425,,172,,40207,,759,,2722,,3388,,3177,,2746,,6439,,5364,,4736,,1236,,2320,,66073,,6538,,1373,,1350,,48341,,2303,,4321,
2010-08,126748,,208128,,88667,,22595,,5504,,26087,,923549,,66986,,69869,,313826,,132001,,131938,,554692,,695737,,14555,,1174,,1269,,496668,,108681,,250809,,33299,,290,,167,,40545,,713,,2501,,3135,,2258,,2237,,5534,,4736,,3750,,819,,1951,,64337,,5173,,1123,,1216,,38199,,1409,,4044,
2010-09,123619,,208722,,90432,,22520,,5496,,26300,,925125,,68203,,69703,,313587,,134145,,132340,,552059,,697415,,14550,,1126,,1382,,499188,,106394,,250770,,36841,,442,,149,,41644,,713,,2591,,3272,,2128,,2238,,6017,,5497,,4267,,926,,2296,,65969,,6373,,1268,,1366,,44001,,1695,,4391,
2010-10,123550,,209255,,93815,,22535,,5454,,26375,,926848,,66395,,69962,,313932,,132919,,131976,,551899,,703734,,13276,,1331,,1682,,501900,,105025,,251184,,37319,,380,,284,,40404,,739,,2605,,3280,,2821,,2301,,6107,,5273,,4731,,969,,1932,,64108,,6453,,1335,,1300,,47066,,1942,,4466,
2010-11,123828,,209940,,93412,,22646,,5394,,26557,,927910,,66321,,70098,,314006,,133258,,132423,,555788,,711278,,14010,,1396,,1773,,503907,,105590,,257369,,39965,,302,,457,,39670,,741,,2589,,3122,,2153,,2257,,5998,,5472,,4099,,913,,2279,,63904,,6085,,1317,,1287,,38641,,2097,,5334,
2010-12,123875,,213208,,96284,,22637,,5369,,26562,,927179,,68317,,70041,,312601,,129292,,131645,,556135,,714112,,15541,,1023,,2100,,512222,,105583,,260801,,54866,,562,,897,,41264,,706,,2292,,2434,,2707,,2593,,6607,,5506,,5056,,1192,,3096,,62342,,6559,,1470,,1600,,53795,,3881,,7338,
2011-01,123263,,213962,,93539,,22856,,5251,,26420,,926229,,65458,,69809,,311915,,131136,,130549,,555968,,712891,,17882,,1387,,2196,,514833,,105207,,255910,,45262,,380,,345,,39415,,882,,2438,,3313,,3557,,2705,,6235,,4130,,5126,,1286,,2111,,64347,,6537,,1332,,1103,,45768,,2307,,4469,
2011-02,123712,,215243,,94028,,22983,,5036,,26475,,926672,,64482,,69107,,312164,,135073,,131094,,558605,,714176,,16117,,1783,,2268,,516856,,105268,,244336,,32655,,715,,888,,38548,,771,,2603,,3431,,2184,,2340,,5418,,4174,,3668,,880,,2162,,67580,,5728,,1267,,1078,,35476,,1570,,4072,
2011-03,123032,,216569,,96691,,23106,,5244,,26701,,926849,,65734,,69606,,311061,,136380,,131881,,556955,,714781,,13940,,2078,,2375,,517707,,105429,,247548,,37363,,478,,447,,39295,,883,,3200,,4282,,2890,,2653,,6343,,5160,,4659,,1199,,2535,,67799,,7311,,1551,,1297,,47769,,2242,,5246,
2011-04,125585,,217665,,97961,,23816,,5202,,26839,,927172,,63980,,69778,,312377,,135449,,129046,,558804,,720878,,15455,,1915,,2673,,517337,,104640,,245883,,34734,,697,,855,,37543,,933,,2884,,3744,,2915,,2435,,6184,,4626,,4339,,1066,,2173,,65901,,6587,,1325,,1155,,46290,,2293,,5887,
2011-05,127375,,219602,,100259,,23709,,5248,,27062,,928324,,64035,,70343,,313140,,135354,,128614,,559617,,721441,,15495,,1888,,3383,,515120,,104562,,248625,,38804,,456,,492,,37679,,765,,3136,,3974,,2692,,2375,,6161,,4699,,3675,,1034,,2201,,65099,,6394,,1425,,1262,,38097,,1082,,4073,
2011-06,128443,,220838,,98484,,23964,,5203,,27212,,929360,,66547,,69359,,312070,,138671,,126223,,561574,,723542,,15092,,1793,,2319,,513314,,104371,,245634,,37607,,463,,531,,39450,,827,,2739,,3289,,2334,,1929,,5070,,4184,,3956,,960,,1997,,69071,,6606,,1279,,1111,,45097,,2655,,4133,
2011-07,131401,,221490,,100631,,24136,,5292,,27349,,930440,,63941,,69328,,312901,,138351,,126233,,562461,,729146,,18773,,2055,,2279,,512173,,104420,,246433,,41767,,911,,635,,37415,,946,,2796,,3615,,3193,,2252,,5791,,4265,,5039,,918,,2220,,67417,,7055,,1413,,1313,,49267,,3134,,5276,
2011-08,132093,,222091,,104430,,24181,,5315,,27537,,931970,,63856,,74147,,313505,,136378,,128269,,563632,,728134,,18328,,1703,,1933,,510749,,104307,,249188,,40111,,434,,614,,37638,,852,,2850,,3707,,2405,,2195,,5636,,4817,,3823,,1036,,1791,,65817,,6082,,1509,,1124,,36507,,1469,,4243,
2011-09,134117,,222719,,109607,,24053,,5284,,27816,,934057,,65649,,74384,,313748,,140207,,128072,,562053,,729249,,19536,,1242,,1538,,509809,,103815,,252851,,38172,,409,,516,,39701,,750,,2769,,4110,,2239,,2087,,5593,,5085,,4061,,1116,,2284,,70844,,6895,,1479,,1151,,45435,,2261,,4864,
2011-10,134147,,222983,,110904,,23951,,5240,,27897,,935360,,64981,,73804,,313742,,137986,,128882,,565182,,735055,,17785,,2306,,1761,,509641,,103670,,257807,,39495,,644,,2063,,38918,,898,,2760,,4330,,2812,,2204,,6002,,4890,,4675,,1001,,2106,,67720,,7118,,1419,,1134,,49397,,1782,,5024,
2011-11,137615,,223747,,108388,,23470,,5165,,28069,,937366,,63648,,73789,,315187,,139610,,128882,,566756,,748146,,17818,,2570,,1905,,510106,,101829,,260684,,42669,,559,,583,,37586,,884,,2740,,3156,,2069,,2273,,6173,,5370,,3484,,938,,1986,,68016,,6537,,1469,,1221,,38030,,2072,,5635,
2011-12,139689,,227255,,104838,,23384,,5300,,28122,,937763,,64522,,73322,,313944,,133627,,128385,,567781,,747612,,18044,,2341,,1982,,515587,,101085,,267881,,44446,,768,,1077,,38538,,871,,2435,,2346,,2377,,2349,,6249,,5434,,4345,,1235,,2848,,64484,,7019,,1771,,1611,,48764,,3040,,7661,
2012-01,140362,,227974,,104023,,22576,,5137,,28154,,936543,,63374,,73596,,313820,,136423,,127581,,569546,,751235,,19069,,1786,,2486,,517814,,100172,,259477,,40908,,541,,1044,,39955,,903,,2493,,3481,,2674,,2343,,6120,,4063,,4667,,1053,,2076,,68690,,6998,,1516,,1157,,44039,,1908,,4535,
2012-02,140215,,228654,,102697,,22973,,5054,,28188,,936749,,63122,,73581,,313827,,139689,,126323,,571604,,758730,,14567,,1794,,2191,,520675,,99932,,256443,,35304,,607,,741,,39877,,776,,2413,,3345,,2387,,1952,,5121,,4278,,3555,,936,,1776,,70603,,6357,,1357,,993,,38156,,1280,,3331,
2012-03,140842,,229012,,99012,,22835,,5100,,28402,,937726,,64286,,73527,,313149,,141139,,126677,,571433,,761183,,15800,,1233,,2308,,521107,,99132,,261558,,29910,,548,,673,,40976,,849,,3136,,4148,,2007,,2338,,6115,,5429,,3804,,1100,,2560,,71960,,7560,,1794,,1295,,44106,,1888,,4854,
2012-04,139793,,228848,,98127,,22741,,5069,,28290,,936775,,63838,,73758,,316663,,140151,,125928,,569972,,770703,,13007,,961,,1551,,520039,,98812,,264667,,25444,,455,,555,,41135,,776,,2898,,3839,,2439,,2246,,5988,,4515,,4254,,1099,,1882,,70471,,7240,,1600,,1096,,41566,,2299,,4301,
2012-05,139697,,229121,,96040,,22861,,5187,,28501,,938392,,63708,,74466,,317022,,140062,,126583,,572592,,775639,,14679,,956,,1370,,519995,,98036,,267293,,24380,,340,,744,,40840,,745,,2926,,3611,,2313,,2019,,6053,,4550,,3591,,1040,,1920,,70470,,6711,,1541,,1096,,36465,,1570,,4007,
2012-06,138295,,229269,,92613,,22722,,5206,,28620,,940699,,64670,,74576,,314970,,141449,,126567,,573352,,785236,,11318,,783,,1256,,519919,,97049,,270503,,24044,,324,,486,,41837,,623,,2884,,3128,,2248,,2009,,6132,,5816,,4028,,1034,,2453,,71876,,7149,,1574,,1213,,43807,,2364,,5767,
2012-07,136532,,229047,,93203,,22303,,5302,,28775,,942529,,63767,,75103,,315554,,140569,,126973,,576961,,791644,,14309,,1303,,1535,,520534,,96163,,280460,,22278,,668,,668,,40326,,593,,2984,,3892,,2830,,2360,,7464,,5868,,5266,,1202,,2717,,69432,,7481,,1613,,1341,,46909,,2756,,5994,
2012-08,133856,,229010,,93589,,22163,,5278,,28844,,945754,,62298,,75464,,316273,,138764,,126115,,578675,,801510,,11000,,1368,,1354,,521324,,94750,,288016,,18633,,437,,532,,39796,,580,,2723,,3244,,2421,,2046,,6838,,6031,,4027,,937,,2521,,68387,,6556,,1461,,1234,,38244,,1443,,4568,
2012-09,131046,,228970,,90793,,21373,,5351,,28910,,948590,,63666,,75456,,314885,,142543,,125674,,577371,,810487,,9989,,799,,1211,,521677,,93164,,289877,,15513,,555,,338,,41116,,493,,2421,,2801,,2002,,1911,,5697,,5287,,4030,,800,,2216,,70889,,6905,,1337,,1145,,43372,,1362,,4465,
2012-10,127314,,228315,,87278,,21082,,5351,,29062,,951931,,62816,,75715,,314779,,137982,,125803,,577814,,815493,,10871,,1073,,1542,,521818,,92409,,300920,,22997,,701,,576,,39918,,638,,2763,,3234,,2567,,2175,,6782,,5533,,5154,,1083,,2428,,67784,,7566,,1550,,1192,,48131,,1580,,4427,
2012-11,124114,,227048,,84081,,21367,,5334,,29210,,955995,,61696,,75919,,313967,,138994,,126756,,580329,,836097,,9506,,1608,,1822,,522244,,91114,,305458,,15304,,547,,531,,38345,,600,,2565,,2781,,2194,,2265,,6232,,5567,,4170,,928,,2306,,68968,,6507,,1586,,1158,,37705,,2288,,4838,
2012-12,121482,,228742,,81845,,21289,,5411,,29153,,957142,,63468,,75716,,310974,,134186,,126718,,579210,,841703,,9597,,1275,,1452,,528458,,89519,,311043,,21009,,582,,478,,40409,,455,,2029,,1894,,2326,,1690,,5578,,4473,,4338,,876,,2393,,69044,,6794,,1521,,1298,,45213,,4639,,7345,
2013-01,118094,,227465,,79925,,21296,,5441,,29130,,956829,,60580,,76521,,310092,,133611,,126056,,579904,,847786,,9920,,1931,,1742,,529365,,87663,,306757,,21000,,414,,338,,39081,,596,,2714,,3344,,3170,,2193,,7009,,4725,,4832,,1118,,2734,,68280,,7279,,1578,,1054,,44885,,1505,,5042,
2013-02,115772,,226984,,79483,,21367,,5358,,28985,,957811,,60776,,75576,,310001,,136265,,125664,,581316,,857813,,8751,,869,,1592,,530687,,86114,,301494,,16159,,408,,300,,38999,,463,,2471,,2869,,2209,,1760,,5899,,4389,,3916,,829,,2089,,70383,,6206,,1273,,860,,33191,,1141,,4545,
2013-03,112731,,226940,,79303,,21000,,5380,,28892,,959296,,61732,,75792,,308862,,138467,,125754,,580544,,862900,,8603,,574,,1504,,529260,,85257,,298710,,16194,,512,,428,,39869,,518,,2899,,3080,,2404,,1941,,6015,,5011,,4440,,867,,2404,,72031,,7343,,1411,,1066,,39339,,2143,,4377,
2013-04,110618,,226550,,80849,,20869,,5429,,28943,,960434,,60887,,76405,,309418,,135048,,125073,,582836,,869149,,8592,,710,,1461,,528646,,83717,,305231,,17022,,451,,637,,38827,,568,,3196,,3443,,2999,,2278,,7312,,5352,,5020,,1184,,2650,,68777,,7673,,1576,,1120,,39260,,1545,,4627,
2013-05,108839,,225847,,78814,,20652,,5513,,28887,,962645,,60234,,76791,,309610,,135366,,125949,,583258,,881098,,8179,,991,,1481,,528835,,81737,,308618,,14796,,463,,282,,38709,,562,,2818,,3159,,2344,,1923,,6295,,4933,,3845,,860,,2203,,68890,,6974,,1289,,1004,,34530,,1249,,3868,
2013-06,106091,,225027,,77887,,20352,,5484,,28964,,965019,,61368,,76634,,308931,,136903,,124651,,582718,,888922,,7522,,720,,1413,,528594,,80868,,300393,,14350,,407,,280,,39588,,477,,2801,,3677,,2433,,1980,,6479,,5591,,4210,,860,,2346,,69530,,7885,,918,,1154,,43087,,2210,,5625,
2013-07,103026,,224111,,79887,,20464,,5653,,28977,,968047,,59608,,77021,,309175,,133507,,125709,,583497,,895155,,10084,,745,,1452,,527971,,79828,,305708,,15983,,530,,610,,38381,,540,,3200,,4291,,3402,,2564,,8735,,6119,,5192,,1302,,3139,,66406,,8330,,1099,,1388,,45504,,2673,,6191,
2013-08,101003,,223993,,80986,,20406,,5525,,28947,,971598,,58961,,77302,,309848,,132912,,125631,,581882,,904740,,8763,,589,,1164,,528142,,78869,,312892,,17444,,561,,265,,37586,,462,,2691,,3417,,2402,,2055,,6854,,5204,,3849,,843,,2417,,66472,,6686,,796,,1213,,33971,,1382,,4680,
2013-09,99321,,223867,,79626,,20467,,5599,,29073,,973593,,60893,,77444,,308291,,135674,,123701,,580155,,905458,,8829,,665,,1177,,527842,,78103,,318355,,18528,,455,,341,,39542,,455,,2618,,3078,,2397,,1930,,6327,,4574,,4213,,869,,2201,,68982,,7670,,796,,1026,,39670,,1821,,4963,
