"",BBK01.WU3140,BBK01.WU3140_FLAGS,BBK01.WU3141,BBK01.WU3141_FLAGS,BBK01.WU001A,BBK01.WU001A_FLAGS,BBK01.WU018A,BBK01.WU018A_FLAGS,BBK01.WU035A,BBK01.WU035A_FLAGS,BBK01.WU046A,BBK01.WU046A_FLAGS,BBK01.WX3041,BBK01.WX3041_FLAGS,BBK01.WX9141,BBK01.WX9141_FLAGS
2001-07,4415.91,,5861.19,,355.94,,464.50,,112.89,,245.50,,93.99,,108.10,
2001-08,3908.38,,5188.17,,321.43,,419.73,,113.66,,248.33,,94.46,,109.11,
2001-09,3245.65,,4308.15,,272.65,,356.25,,114.23,,250.70,,94.71,,109.82,
2001-10,3434.73,,4559.13,,289.02,,377.64,,116.03,,255.22,,96.66,,112.53,
2001-11,3759.27,,4989.91,,311.71,,407.37,,114.87,,253.82,,95.67,,111.86,
2001-12,3887.48,,5160.10,,319.38,,417.40,,113.12,,250.91,,94.16,,110.58,
2002-01,3843.41,,5107.61,,321.06,,419.94,,112.77,,251.10,,94.08,,111.00,
2002-02,3791.84,,5039.08,,317.59,,415.43,,112.62,,251.99,,93.78,,111.08,
2002-03,4059.42,,5397.29,,334.21,,437.57,,111.22,,249.73,,92.27,,109.80,
2002-04,3778.81,,5041.20,,316.38,,415.32,,111.82,,252.14,,92.92,,111.02,
2002-05,3577.48,,4818.30,,302.56,,400.53,,111.81,,253.25,,92.64,,111.16,
2002-06,3245.86,,4382.56,,279.29,,371.20,,112.81,,256.50,,94.08,,113.25,
2002-07,2739.51,,3700.14,,237.79,,316.24,,113.75,,259.71,,94.93,,114.76,
2002-08,2749.01,,3712.94,,238.16,,316.74,,115.02,,263.68,,95.79,,116.23,
2002-09,2050.26,,2769.03,,181.34,,241.21,,116.61,,268.26,,97.31,,118.51,
2002-10,2334.46,,3152.85,,204.83,,272.44,,115.60,,267.01,,96.27,,117.75,
2002-11,2458.45,,3320.32,,214.18,,284.90,,115.65,,268.10,,96.30,,118.23,
2002-12,2141.78,,2892.63,,188.46,,250.69,,117.56,,273.54,,97.80,,120.51,
2003-01,2028.67,,2747.83,,179.89,,239.90,,118.54,,276.85,,98.60,,121.94,
2003-02,1879.17,,2547.05,,167.39,,223.36,,119.33,,279.54,,99.28,,123.20,
2003-03,1788.00,,2423.87,,160.20,,213.85,,118.59,,278.71,,98.49,,122.72,
2003-04,2150.62,,2942.04,,190.67,,256.65,,118.22,,278.90,,98.15,,122.77,
2003-05,2159.29,,2982.68,,192.07,,261.03,,120.83,,285.95,,100.00,,125.49,
2003-06,2321.19,,3220.58,,205.73,,280.90,,119.90,,284.58,,99.50,,125.35,
2003-07,2513.83,,3487.86,,221.81,,302.90,,118.76,,282.91,,97.59,,123.49,
2003-08,2511.46,,3484.58,,223.55,,305.32,,117.58,,281.05,,97.43,,123.74,
2003-09,2347.28,,3256.78,,210.34,,287.32,,118.79,,284.93,,98.57,,125.65,
2003-10,2635.01,,3655.99,,234.95,,320.93,,116.90,,281.51,,96.85,,123.98,
2003-11,2699.84,,3745.95,,240.05,,327.90,,116.48,,281.44,,96.20,,123.60,
2003-12,2857.84,,3965.16,,252.48,,344.89,,117.36,,284.72,,97.09,,125.21,
2004-01,2917.82,,4058.60,,259.30,,354.98,,117.68,,286.48,,97.33,,125.97,
2004-02,2889.00,,4018.16,,258.18,,353.41,,119.00,,290.62,,98.34,,127.68,
2004-03,2772.94,,3856.70,,248.60,,340.35,,119.55,,292.95,,98.93,,128.93,
2004-04,2835.83,,3985.21,,254.33,,351.43,,117.92,,290.03,,97.51,,127.58,
2004-05,2775.98,,3921.41,,249.22,,346.25,,117.30,,289.49,,96.88,,127.26,
2004-06,2861.10,,4052.73,,256.55,,357.49,,116.96,,289.68,,96.84,,127.66,
2004-07,2750.17,,3895.61,,246.85,,344.07,,117.54,,292.23,,97.33,,128.73,
2004-08,2672.23,,3785.21,,239.67,,334.07,,118.53,,295.70,,98.30,,130.48,
2004-09,2748.25,,3892.90,,246.50,,343.65,,118.72,,297.21,,98.34,,131.00,
2004-10,2795.80,,3960.25,,250.29,,348.94,,119.44,,299.96,,98.89,,132.15,
2004-11,2912.81,,4126.00,,260.53,,363.22,,120.11,,302.60,,99.61,,133.58,
2004-12,3004.65,,4256.08,,268.32,,374.09,,120.19,,303.80,,99.89,,134.40,
2005-01,2995.49,,4254.85,,269.10,,376.07,,120.97,,306.63,,100.80,,136.09,
2005-02,3063.09,,4350.49,,276.05,,385.75,,120.25,,305.64,,99.90,,135.32,
2005-03,3061.74,,4348.77,,275.69,,385.30,,120.25,,306.70,,100.14,,136.10,
2005-04,2901.76,,4184.84,,261.90,,370.89,,121.89,,311.74,,101.36,,138.17,
2005-05,3069.20,,4460.63,,277.14,,395.50,,122.43,,313.99,,102.18,,139.75,
2005-06,3154.44,,4586.28,,286.15,,408.76,,123.30,,317.11,,103.01,,141.31,
2005-07,3360.93,,4886.50,,304.73,,435.39,,122.52,,315.91,,102.14,,140.58,
2005-08,3321.85,,4829.69,,302.19,,431.78,,122.90,,317.78,,102.81,,141.99,
2005-09,3469.34,,5044.12,,315.92,,451.42,,122.50,,317.62,,102.33,,141.78,
2005-10,3390.21,,4929.07,,307.23,,438.99,,120.76,,313.92,,100.89,,140.31,
2005-11,3572.02,,5193.40,,322.86,,461.35,,120.55,,314.30,,100.47,,140.19,
2005-12,3719.79,,5408.26,,335.59,,479.59,,120.92,,316.20,,101.09,,141.50,
2006-01,3893.64,,5674.15,,354.28,,507.28,,120.02,,314.69,,100.09,,140.62,
2006-02,3977.27,,5796.04,,364.67,,522.20,,119.73,,314.77,,99.94,,140.84,
2006-03,4096.80,,5970.08,,376.00,,538.49,,118.09,,311.50,,98.21,,138.92,
2006-04,4104.55,,6009.89,,377.68,,543.12,,117.04,,309.69,,97.12,,137.83,
2006-05,3830.30,,5692.86,,351.74,,512.65,,117.46,,311.81,,97.11,,138.32,
2006-06,3815.63,,5683.31,,349.39,,510.40,,116.42,,310.13,,96.49,,137.91,
2006-07,3814.74,,5681.97,,348.99,,509.95,,117.23,,313.30,,97.18,,139.36,
2006-08,3933.97,,5859.57,,359.96,,526.07,,117.67,,315.58,,97.93,,140.88,
2006-09,4031.16,,6004.33,,369.87,,540.58,,118.39,,318.45,,98.19,,141.70,
2006-10,4208.80,,6268.92,,385.11,,562.87,,117.59,,317.27,,98.09,,142.06,
2006-11,4235.84,,6309.19,,388.03,,567.14,,118.17,,319.86,,98.26,,142.75,
2006-12,4429.01,,6596.92,,407.16,,595.11,,116.78,,317.05,,96.69,,140.98,
2007-01,4547.28,,6789.11,,419.85,,614.90,,115.94,,315.80,,96.04,,140.58,
2007-02,4498.22,,6715.44,,416.26,,609.66,,116.78,,319.06,,96.72,,141.99,
2007-03,4633.26,,6917.03,,431.48,,632.05,,116.24,,318.65,,96.03,,141.45,
2007-04,4916.03,,7408.87,,456.44,,674.14,,115.31,,317.17,,95.48,,141.16,
2007-05,5156.24,,7883.04,,476.83,,713.41,,114.44,,315.93,,94.10,,139.66,
2007-06,5237.97,,8007.32,,482.48,,722.14,,113.61,,314.75,,93.33,,139.01,
2007-07,4961.15,,7584.14,,459.72,,688.30,,114.42,,318.17,,94.45,,141.13,
2007-08,4996.50,,7638.17,,459.38,,687.80,,115.13,,321.38,,94.97,,142.40,
2007-09,5142.60,,7861.51,,471.60,,706.08,,114.71,,321.24,,94.63,,142.37,
2007-10,5245.77,,8019.22,,484.52,,725.43,,115.66,,325.07,,94.95,,143.37,
2007-11,5148.50,,7870.52,,469.62,,703.13,,116.85,,329.57,,95.41,,144.53,
2007-12,5277.23,,8067.32,,478.65,,716.65,,114.85,,325.02,,94.62,,143.83,
2008-01,4470.89,,6851.75,,406.94,,610.83,,117.45,,333.54,,96.69,,147.44,
2008-02,4402.65,,6748.13,,403.52,,605.77,,118.44,,337.41,,97.06,,148.48,
2008-03,4263.65,,6534.97,,391.13,,587.24,,118.80,,339.39,,96.19,,147.68,
2008-04,4474.54,,6948.82,,411.06,,624.02,,117.52,,336.84,,95.14,,146.61,
2008-05,4489.89,,7096.79,,414.20,,639.10,,115.30,,331.48,,93.62,,144.82,
2008-06,4058.45,,6418.32,,375.78,,580.40,,113.93,,328.66,,92.62,,143.82,
2008-07,4097.18,,6479.56,,374.48,,578.57,,114.26,,330.90,,93.93,,146.33,
2008-08,4060.97,,6422.30,,373.55,,577.15,,116.35,,338.04,,94.87,,148.26,
2008-09,3687.09,,5831.02,,332.07,,513.10,,116.87,,340.64,,95.63,,149.96,
2008-10,3154.01,,4987.97,,279.51,,431.88,,118.57,,346.77,,97.12,,152.77,
2008-11,2952.60,,4669.44,,257.34,,397.61,,120.91,,354.63,,100.64,,158.68,
2008-12,3041.60,,4810.20,,266.33,,411.51,,121.68,,357.99,,102.06,,161.42,
2009-01,2730.97,,4338.35,,239.60,,371.65,,120.77,,356.29,,100.67,,159.79,
2009-02,2419.31,,3843.74,,212.81,,330.22,,122.22,,361.56,,101.56,,161.66,
2009-03,2570.99,,4084.76,,224.85,,348.98,,123.41,,366.10,,101.72,,162.45,
2009-04,2955.33,,4769.45,,260.30,,409.86,,122.56,,364.52,,100.90,,161.68,
2009-05,2989.35,,4940.82,,263.71,,424.44,,121.12,,361.09,,99.07,,159.31,
2009-06,2909.05,,4808.64,,257.73,,415.07,,122.17,,365.20,,99.89,,161.14,
2009-07,3225.75,,5332.14,,283.77,,457.15,,121.69,,364.79,,100.65,,162.85,
2009-08,3305.88,,5464.61,,293.69,,473.16,,122.50,,368.15,,100.76,,163.54,
2009-09,3433.26,,5675.16,,306.86,,494.35,,122.68,,369.64,,101.01,,164.44,
2009-10,3275.85,,5414.96,,292.17,,470.69,,123.20,,372.19,,100.68,,164.41,
2009-11,3403.48,,5625.95,,303.22,,488.51,,124.43,,376.93,,101.39,,166.06,
2009-12,3604.02,,5957.43,,320.32,,516.05,,123.62,,375.62,,100.12,,164.54,
2010-01,3383.81,,5608.79,,303.33,,489.82,,123.86,,377.34,,101.31,,166.92,
2010-02,3377.82,,5598.46,,302.10,,487.81,,124.70,,380.90,,102.02,,168.54,
2010-03,3712.18,,6153.55,,331.65,,535.64,,124.93,,382.77,,102.01,,169.07,
2010-04,3667.73,,6135.70,,329.26,,536.20,,125.47,,385.20,,102.86,,170.94,
2010-05,3498.76,,5964.33,,313.44,,519.01,,127.57,,392.46,,105.13,,175.15,
2010-06,3497.52,,5965.52,,313.07,,518.87,,127.85,,394.19,,105.41,,176.09,
2010-07,3604.49,,6147.97,,322.99,,535.45,,125.75,,388.67,,104.43,,174.97,
2010-08,3473.90,,5925.22,,312.12,,517.45,,129.20,,400.19,,108.24,,181.79,
2010-09,3652.00,,6229.02,,329.00,,545.46,,128.37,,398.49,,106.61,,179.58,
2010-10,3870.31,,6601.37,,348.85,,578.36,,126.80,,394.42,,105.12,,177.56,
2010-11,3921.39,,6688.49,,353.66,,586.34,,127.06,,396.11,,104.58,,177.18,
2010-12,4053.71,,6914.19,,368.72,,611.30,,124.96,,390.67,,102.95,,174.97,
2011-01,4136.11,,7077.48,,375.09,,623.85,,122.48,,383.93,,101.19,,172.53,
2011-02,4249.07,,7272.32,,384.22,,639.16,,122.70,,385.67,,101.08,,172.79,
2011-03,4114.03,,7041.31,,374.45,,622.97,,121.46,,382.96,,99.73,,171.00,
2011-04,4360.07,,7514.46,,394.79,,660.86,,121.95,,385.59,,100.28,,172.39,
2011-05,4138.33,,7293.69,,377.73,,644.78,,123.54,,391.70,,101.53,,174.99,
2011-06,4184.30,,7376.24,,381.23,,651.43,,123.67,,393.18,,101.08,,174.70,
2011-07,4061.01,,7158.77,,368.64,,630.15,,125.79,,400.88,,103.94,,179.99,
2011-08,3281.65,,5784.85,,302.46,,517.06,,128.78,,411.27,,105.99,,184.02,
2011-09,3121.22,,5502.02,,285.00,,487.21,,129.54,,414.52,,108.24,,188.35,
2011-10,3483.90,,6141.34,,316.80,,541.57,,129.65,,415.61,,107.27,,187.17,
2011-11,3454.12,,6088.84,,313.93,,536.67,,128.90,,413.95,,106.38,,186.11,
2011-12,3346.06,,5898.35,,304.60,,520.73,,131.48,,423.06,,109.53,,191.98,
2012-01,3649.71,,6458.91,,332.18,,570.03,,131.37,,423.47,,109.30,,192.08,
2012-02,3874.59,,6856.08,,352.13,,604.24,,131.35,,424.14,,109.16,,192.28,
2012-03,3924.79,,6946.83,,356.61,,612.14,,131.43,,425.23,,109.00,,192.45,
2012-04,3765.65,,6761.19,,345.43,,600.43,,132.70,,430.04,,109.92,,194.52,
2012-05,3429.12,,6264.38,,315.64,,557.68,,134.80,,437.51,,113.33,,200.92,
2012-06,3507.44,,6416.28,,321.27,,568.84,,132.79,,431.56,,110.09,,195.71,
2012-07,3702.04,,6772.26,,338.31,,599.13,,134.55,,437.82,,112.15,,199.78,
2012-08,3810.56,,6970.79,,347.17,,614.82,,134.78,,439.23,,111.68,,199.41,
2012-09,3944.69,,7216.15,,358.75,,635.30,,134.28,,438.18,,110.85,,198.34,
2012-10,3969.01,,7260.63,,362.60,,642.25,,134.23,,438.64,,110.42,,198.07,
2012-11,4048.20,,7405.50,,370.32,,655.92,,134.96,,441.62,,110.68,,198.95,
2012-12,4161.30,,7612.39,,380.03,,673.11,,135.11,,442.69,,111.18,,200.27,
2013-01,4235.76,,7776.05,,388.70,,690.49,,133.12,,436.83,,108.99,,196.85,
2013-02,4217.21,,7741.70,,389.64,,692.13,,134.63,,442.38,,110.15,,199.31,
2013-03,4245.47,,7795.31,,391.56,,695.76,,135.85,,446.99,,110.99,,201.20,
2013-04,4251.86,,7913.71,,392.40,,705.55,,135.75,,447.19,,111.36,,202.34,
2013-05,4419.52,,8348.84,,407.33,,743.16,,134.63,,444.13,,109.44,,199.32,
2013-06,4209.43,,7959.22,,388.91,,710.59,,133.13,,439.78,,108.15,,197.39,
2013-07,4376.95,,8275.97,,404.77,,740.14,,133.63,,442.08,,108.21,,197.96,
2013-08,4285.55,,8103.15,,398.50,,728.73,,132.71,,439.74,,106.92,,196.03,
2013-09,4545.36,,8594.40,,421.41,,770.59,,133.66,,443.60,,107.48,,197.45,
2013-10,4777.81,,9033.92,,443.20,,810.48,,134.19,,446.12,,107.74,,198.36,
2013-11,4974.22,,9405.30,,460.21,,841.59,,133.97,,446.00,,107.47,,198.26,
2013-12,5051.89,,9552.16,,466.53,,853.14,,132.11,,440.54,,105.92,,195.87,
2014-01,4907.42,,9306.48,,455.15,,834.36,,134.32,,448.66,,108.06,,200.17,
2014-02,5110.05,,9692.08,,474.14,,869.31,,134.67,,450.42,,107.99,,200.42,
2014-03,5037.49,,9555.91,,467.04,,856.42,,134.70,,451.07,,108.16,,201.13,
2014-04,5030.34,,9603.23,,465.58,,858.51,,134.91,,452.44,,108.60,,202.34,
2014-05,5115.54,,9943.27,,474.47,,889.90,,136.00,,456.59,,109.49,,204.37,
2014-06,5058.86,,9833.07,,469.36,,881.17,,136.38,,458.36,,109.92,,205.58,
2014-07,4839.91,,9407.48,,447.74,,840.72,,136.83,,460.39,,110.37,,206.81,
2014-08,4872.16,,9470.17,,450.83,,846.53,,138.12,,465.12,,112.28,,210.75,
2014-09,4874.28,,9474.30,,449.76,,844.57,,137.92,,464.86,,111.89,,210.42,
2014-10,4798.44,,9326.87,,444.13,,833.99,,138.01,,465.55,,112.37,,211.73,
2014-11,5134.89,,9980.85,,474.80,,891.60,,138.40,,467.19,,113.23,,213.69,
2014-12,5044.71,,9805.55,,468.39,,879.54,,139.68,,471.82,,114.37,,216.25,
2015-01,5486.32,,10694.32,,509.65,,959.20,,140.04,,473.21,,116.78,,221.11,
2015-02,5847.48,,11401.66,,543.06,,1022.60,,140.18,,473.85,,116.47,,220.89,
2015-03,6137.77,,11966.17,,567.47,,1068.54,,140.52,,475.14,,118.05,,224.26,
2015-04,5847.84,,11454.38,,543.36,,1027.34,,139.85,,472.99,,116.16,,221.08,
2015-05,5726.71,,11413.82,,534.29,,1027.09,,139.56,,472.27,,114.65,,218.61,
2015-06,5491.63,,10944.97,,512.30,,985.54,,138.37,,468.58,,111.96,,213.93,
2015-07,5674.27,,11308.99,,530.65,,1020.93,,139.21,,471.80,,113.45,,217.12,
2015-08,5147.68,,10259.46,,486.17,,935.45,,139.19,,472.00,,112.18,,215.07,
2015-09,4847.12,,9660.44,,460.31,,885.74,,139.69,,473.99,,113.41,,217.77,
2015-10,5444.06,,10850.14,,512.31,,985.88,,140.17,,475.90,,113.79,,218.85,
2015-11,5711.03,,11382.23,,534.95,,1029.47,,140.48,,477.20,,113.82,,219.27,
2015-12,5390.31,,10743.01,,508.80,,979.19,,139.52,,474.24,,112.42,,216.98,
2016-01,4899.58,,9798.11,,464.93,,897.13,,141.46,,481.03,,115.09,,222.39,
2016-02,4746.42,,9495.40,,451.93,,872.56,,142.48,,484.61,,116.73,,225.90,
2016-03,4980.74,,9965.51,,473.69,,914.72,,142.21,,483.82,,116.20,,225.24,
2016-04,4985.22,,10038.97,,474.25,,920.96,,141.89,,482.81,,112.67,,223.19,
2016-05,5002.74,,10262.74,,478.01,,944.28,,142.19,,483.92,,113.75,,225.45,
2016-06,4713.91,,9680.09,,450.95,,892.55,,143.74,,489.26,,116.88,,231.64,
2016-07,5031.51,,10337.50,,481.02,,952.59,,144.06,,490.30,,116.16,,232.05,
2016-08,5155.93,,10592.69,,491.68,,973.72,,144.30,,491.11,,115.34,,230.68,
2016-09,5116.12,,10511.02,,490.14,,970.75,,144.47,,491.66,,115.53,,231.26,
2016-10,5191.07,,10665.01,,494.25,,978.89,,142.59,,485.28,,113.12,,226.52,
2016-11,5179.04,,10640.30,,490.37,,971.21,,142.37,,484.67,,112.33,,224.92,
2016-12,5588.27,,11481.06,,526.55,,1042.86,,142.50,,485.31,,112.72,,225.72,
2017-01,5614.30,,11535.31,,530.99,,1051.73,,141.33,,481.45,,110.45,,222.67,
2017-02,5740.60,,11834.41,,543.02,,1078.64,,143.32,,488.38,,112.08,,226.19,
2017-03,5953.44,,12312.87,,562.80,,1120.80,,141.93,,483.82,,110.93,,223.87,
2017-04,6004.37,,12438.01,,570.29,,1137.78,,141.87,,483.78,,111.03,,224.08,
2017-05,5990.58,,12615.06,,572.60,,1159.99,,141.95,,484.21,,110.90,,223.94,
2017-06,5841.44,,12325.12,,557.50,,1132.19,,140.79,,480.42,,109.60,,221.32,
2017-07,5743.40,,12118.25,,552.08,,1121.34,,140.78,,480.60,,108.71,,221.21,
2017-08,5713.82,,12055.84,,551.25,,1119.70,,141.85,,484.46,,110.01,,224.15,
2017-09,6080.19,,12828.86,,585.63,,1189.55,,141.21,,482.44,,109.06,,222.43,
2017-10,6270.10,,13229.57,,603.37,,1225.58,,141.63,,484.08,,109.70,,223.78,
2017-11,6172.66,,13023.98,,597.74,,1214.16,,141.23,,482.90,,109.62,,223.63,
2017-12,6122.26,,12917.64,,595.45,,1209.51,,140.53,,480.68,,109.03,,222.42,
2018-01,6250.68,,13189.48,,608.72,,1236.54,,139.19,,476.34,,107.24,,220.12,
2018-02,5875.60,,12435.85,,577.02,,1175.06,,139.24,,476.80,,107.33,,220.54,
2018-03,5715.45,,12096.73,,561.97,,1144.50,,140.36,,480.92,,108.53,,223.00,
2018-04,5916.24,,12612.11,,579.61,,1187.85,,139.85,,479.42,,108.02,,221.98,
2018-05,5804.98,,12604.89,,572.08,,1192.30,,141.11,,483.98,,109.76,,225.67,
2018-06,5668.60,,12306.00,,557.27,,1162.24,,141.29,,484.77,,109.87,,225.89,
2018-07,5898.69,,12805.50,,580.49,,1210.78,,140.83,,483.35,,108.50,,224.63,
2018-08,5695.34,,12364.06,,567.19,,1183.07,,141.24,,484.93,,109.06,,226.15,
2018-09,5641.29,,12246.73,,556.11,,1159.95,,140.34,,482.02,,108.01,,224.18,
2018-10,5273.14,,11447.51,,519.54,,1083.66,,141.11,,484.87,,108.69,,225.61,
2018-11,5185.50,,11257.24,,509.46,,1062.63,,141.47,,486.30,,109.14,,226.55,
2018-12,4862.74,,10558.96,,474.85,,990.45,,141.84,,487.68,,109.71,,227.73,
2019-01,5128.61,,11173.10,,505.55,,1057.30,,142.15,,488.86,,110.01,,229.54,
2019-02,5284.27,,11515.64,,517.62,,1083.17,,142.06,,488.60,,109.52,,228.75,
2019-03,5274.00,,11526.04,,516.84,,1083.74,,143.19,,492.53,,111.35,,232.58,
2019-04,5626.34,,12344.08,,552.28,,1162.42,,142.69,,490.85,,110.72,,231.26,
2019-05,5235.06,,11726.84,,510.79,,1097.08,,144.20,,496.03,,112.36,,234.80,
2019-06,5535.26,,12398.80,,535.23,,1151.35,,144.73,,497.76,,113.54,,237.27,
2019-07,5441.61,,12189.04,,528.16,,1136.26,,145.43,,500.03,,113.94,,239.49,
2019-08,5327.67,,11939.28,,518.10,,1114.63,,147.13,,505.60,,116.35,,244.97,
2019-09,5545.79,,12428.08,,535.82,,1152.86,,145.93,,501.23,,114.98,,242.30,
2019-10,5741.56,,12866.79,,554.98,,1194.09,,144.91,,497.53,,113.34,,238.84,
2019-11,5906.48,,13236.38,,571.40,,1229.42,,144.67,,496.58,,112.86,,237.84,
2019-12,5909.66,,13249.01,,575.80,,1238.89,,143.72,,493.22,,111.32,,234.59,
2020-01,5790.54,,12981.97,,565.28,,1216.25,,144.88,,497.10,,113.14,,239.46,
2020-02,5287.76,,11890.35,,516.08,,1113.36,,146.02,,500.85,,114.54,,242.68,
2020-03,4416.97,,9935.84,,429.84,,927.23,,145.13,,497.56,,113.12,,239.67,
2020-04,4804.60,,10861.64,,471.38,,1020.92,,144.99,,496.93,,114.35,,242.26,
2020-05,5079.39,,11586.85,,502.26,,1097.58,,144.54,,495.23,,112.80,,239.12,
2020-06,5357.17,,12310.93,,525.07,,1155.00,,145.24,,497.48,,113.18,,239.92,
2020-07,5346.62,,12313.36,,522.53,,1151.65,,145.85,,499.35,,113.27,,241.36,
2020-08,5610.72,,12945.38,,549.79,,1213.99,,145.81,,499.04,,111.72,,238.47,
2020-09,5528.17,,12760.73,,544.40,,1202.43,,145.96,,499.33,,112.79,,240.88,
2020-10,5001.72,,11556.48,,492.31,,1088.72,,146.56,,501.12,,113.81,,243.05,
2020-11,5752.60,,13291.16,,564.23,,1247.98,,146.22,,499.73,,113.19,,241.74,
2020-12,5935.22,,13718.78,,586.72,,1297.81,,146.15,,499.23,,113.14,,241.63,
2021-01,5811.52,,13432.87,,582.62,,1288.73,,146.06,,498.68,,112.19,,240.53,
2021-02,5948.94,,13786.29,,592.88,,1314.52,,144.36,,492.72,,109.90,,235.85,
2021-03,6473.46,,15008.34,,633.92,,1405.61,,144.70,,493.73,,109.88,,235.79,
2021-04,6465.50,,15135.91,,638.17,,1426.72,,144.29,,492.21,,109.11,,234.15,
2021-05,6528.32,,15421.13,,642.41,,1449.48,,144.19,,491.80,,108.88,,233.78,
2021-06,6569.55,,15531.04,,648.99,,1465.84,,144.74,,493.56,,109.42,,234.94,
2021-07,6570.29,,15544.39,,650.36,,1470.53,,146.34,,498.79,,111.03,,239.47,
2021-08,6693.35,,15835.09,,662.93,,1498.91,,145.90,,497.05,,110.25,,238.18,
2021-09,6448.35,,15260.69,,638.37,,1443.43,,144.41,,491.83,,108.60,,234.67,
