"",BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.C.D5._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D76._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D752W._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.D.D61._Z._Z._Z._T._X.N_FLAGS,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
1980-10,449.787,,2284.597,,-1834.810,,285.277,,186.023,,1374.057,,493.900,,285.276,,-1088.780,,164.510,,910.540,,600.000,,600.000,,21.830,,-746.030,
1980-11,362.537,,2187.280,,-1824.743,,221.261,,165.107,,1189.485,,497.800,,305.855,,-968.224,,141.276,,997.795,,600.000,,600.000,,23.181,,-856.519,
1980-12,425.815,,2588.392,,-2162.577,,252.346,,133.595,,1373.097,,365.100,,271.323,,-1120.751,,173.469,,1215.295,,800.000,,800.000,,22.564,,-1041.826,
1981-01,332.560,,2732.944,,-2400.384,,173.139,,107.001,,1807.226,,762.518,,319.839,,-1634.087,,159.421,,925.718,,550.000,,550.000,,22.111,,-766.297,
1981-02,287.979,,2949.012,,-2661.033,,133.910,,88.566,,2072.048,,1315.482,,273.562,,-1938.138,,154.069,,876.964,,550.000,,550.000,,21.590,,-722.895,
1981-03,349.816,,1565.683,,-1215.867,,202.980,,150.290,,690.047,,-,Nothing exists,288.386,,-487.067,,146.836,,875.636,,550.000,,550.000,,20.467,,-728.800,
1981-04,331.458,,2331.062,,-1999.604,,175.722,,94.755,,1375.561,,681.359,,288.769,,-1199.839,,155.736,,955.501,,600.000,,600.000,,22.062,,-799.765,
1981-05,329.835,,2364.498,,-2034.663,,165.209,,84.984,,1381.551,,679.766,,315.367,,-1216.342,,164.626,,982.947,,650.000,,650.000,,22.252,,-818.321,
1981-06,549.263,,2524.397,,-1975.134,,386.518,,331.094,,1519.953,,679.753,,311.428,,-1133.435,,162.745,,1004.444,,650.000,,650.000,,21.928,,-841.699,
1981-07,489.618,,2969.027,,-2479.409,,302.039,,237.404,,1664.448,,678.383,,296.590,,-1362.409,,187.579,,1304.579,,900.000,,900.000,,24.038,,-1117.000,
1981-08,257.758,,2945.310,,-2687.552,,95.796,,44.059,,1502.609,,804.225,,328.544,,-1406.813,,161.962,,1442.701,,1050.000,,1050.000,,24.941,,-1280.739,
1981-09,325.418,,2331.217,,-2005.799,,150.285,,96.837,,1292.998,,675.671,,267.013,,-1142.713,,175.133,,1038.219,,700.000,,700.000,,21.601,,-863.086,
1981-10,348.265,,2462.700,,-2114.435,,165.523,,106.468,,1417.874,,718.150,,271.567,,-1252.351,,182.742,,1044.826,,650.000,,650.000,,25.746,,-862.084,
1981-11,369.792,,2433.344,,-2063.552,,197.413,,130.325,,1389.872,,636.619,,326.307,,-1192.459,,172.379,,1043.472,,650.000,,650.000,,25.860,,-871.093,
1981-12,522.299,,2129.661,,-1607.362,,285.551,,229.275,,959.033,,-298.770,,291.062,,-673.482,,236.748,,1170.628,,750.000,,750.000,,24.465,,-933.880,
1982-01,380.985,,2555.704,,-2174.719,,204.327,,104.207,,1616.261,,668.985,,339.023,,-1411.934,,176.658,,939.443,,550.000,,550.000,,27.779,,-762.785,
1982-02,367.536,,2404.435,,-2036.899,,186.681,,135.712,,1447.185,,692.292,,274.345,,-1260.504,,180.855,,957.250,,550.000,,550.000,,25.688,,-776.395,
1982-03,425.697,,2480.586,,-2054.889,,219.205,,167.054,,1492.651,,682.050,,308.979,,-1273.446,,206.492,,987.935,,550.000,,550.000,,25.314,,-781.443,
1982-04,366.708,,2553.699,,-2186.991,,170.154,,101.245,,1537.311,,671.364,,306.795,,-1367.157,,196.554,,1016.388,,600.000,,600.000,,28.048,,-819.834,
1982-05,335.286,,2404.120,,-2068.834,,156.814,,96.348,,1353.976,,666.175,,317.848,,-1197.162,,178.472,,1050.144,,650.000,,650.000,,32.730,,-871.672,
1982-06,578.966,,2493.007,,-1914.041,,376.413,,323.335,,1471.520,,663.146,,278.290,,-1095.107,,202.553,,1021.487,,650.000,,650.000,,28.555,,-818.934,
1982-07,548.277,,2976.964,,-2428.687,,338.727,,256.389,,1616.622,,656.449,,352.924,,-1277.895,,209.550,,1360.342,,900.000,,900.000,,30.307,,-1150.792,
1982-08,261.582,,2819.231,,-2557.649,,72.386,,21.158,,1361.670,,640.497,,306.643,,-1289.284,,189.196,,1457.561,,1050.000,,1050.000,,29.559,,-1268.365,
1982-09,457.220,,2417.497,,-1960.277,,200.393,,120.561,,1363.400,,657.214,,351.464,,-1163.007,,256.827,,1054.097,,700.000,,700.000,,28.229,,-797.270,
1982-10,383.259,,3159.523,,-2776.264,,139.267,,70.291,,2144.771,,1309.543,,293.062,,-2005.504,,243.992,,1014.752,,650.000,,650.000,,33.609,,-770.760,
1982-11,404.480,,1897.787,,-1493.307,,208.192,,142.142,,831.254,,-,Nothing exists,330.042,,-623.062,,196.288,,1066.533,,650.000,,650.000,,29.119,,-870.245,
1982-12,531.997,,2850.871,,-2318.874,,319.583,,226.245,,1682.618,,651.085,,270.049,,-1363.035,,212.414,,1168.253,,750.000,,750.000,,30.098,,-955.839,
1983-01,376.773,,2583.055,,-2206.282,,174.476,,107.022,,1651.310,,564.058,,336.815,,-1476.834,,202.297,,931.745,,550.000,,550.000,,28.429,,-729.448,
1983-02,387.541,,2193.472,,-1805.931,,174.152,,120.945,,1279.893,,609.183,,284.607,,-1105.741,,213.389,,913.579,,550.000,,550.000,,26.311,,-700.190,
1983-03,440.301,,2364.600,,-1924.299,,214.815,,162.836,,1414.914,,673.843,,334.862,,-1200.099,,225.486,,949.686,,550.000,,550.000,,24.840,,-724.200,
1983-04,739.422,,2560.824,,-1821.402,,543.265,,45.278,,1533.683,,607.432,,309.009,,-990.418,,196.157,,1027.141,,600.000,,600.000,,37.524,,-830.984,
1983-05,360.666,,2333.760,,-1973.094,,186.215,,136.083,,1299.907,,606.247,,337.148,,-1113.692,,174.451,,1033.853,,650.000,,650.000,,30.351,,-859.402,
1983-06,492.135,,2789.443,,-2297.308,,311.591,,250.969,,1626.868,,606.108,,296.039,,-1315.277,,180.544,,1162.575,,700.000,,700.000,,31.561,,-982.031,
1983-07,391.483,,2911.336,,-2519.853,,173.303,,98.699,,1567.038,,608.718,,384.444,,-1393.735,,218.180,,1344.298,,900.000,,900.000,,33.624,,-1126.118,
1983-08,375.568,,2695.220,,-2319.652,,143.966,,80.957,,1285.446,,690.042,,293.829,,-1141.480,,231.602,,1409.774,,1050.000,,1050.000,,31.274,,-1178.172,
1983-09,395.907,,2457.821,,-2061.914,,172.755,,116.572,,1363.154,,610.640,,352.600,,-1190.399,,223.152,,1094.667,,700.000,,700.000,,31.702,,-871.515,
1983-10,297.625,,2549.868,,-2252.243,,79.274,,6.046,,1517.065,,609.425,,313.852,,-1437.791,,218.351,,1032.803,,650.000,,650.000,,32.944,,-814.452,
1983-11,501.448,,4168.637,,-3667.189,,269.492,,208.993,,3088.987,,2231.917,,358.425,,-2819.495,,231.956,,1079.650,,650.000,,650.000,,33.382,,-847.694,
1983-12,877.033,,3039.735,,-2162.702,,636.989,,356.823,,1780.467,,755.411,,324.403,,-1143.478,,240.044,,1259.268,,750.000,,750.000,,34.979,,-1019.224,
1984-01,315.599,,2787.624,,-2472.025,,91.812,,8.474,,1762.072,,759.926,,364.505,,-1670.260,,223.787,,1025.552,,600.000,,600.000,,30.527,,-801.765,
1984-02,472.791,,3489.319,,-3016.528,,278.212,,229.636,,2484.975,,1597.761,,350.979,,-2206.763,,194.579,,1004.344,,600.000,,600.000,,27.972,,-809.765,
1984-03,331.673,,2032.807,,-1701.134,,94.993,,48.807,,947.662,,-,Nothing exists,422.522,,-852.669,,236.680,,1085.145,,650.000,,650.000,,30.431,,-848.465,
1984-04,266.977,,2809.168,,-2542.191,,82.386,,18.607,,1735.886,,779.355,,394.349,,-1653.500,,184.591,,1073.282,,700.000,,700.000,,35.257,,-888.691,
1984-05,426.121,,2644.893,,-2218.772,,184.084,,134.666,,1545.598,,778.755,,391.820,,-1361.514,,242.037,,1099.295,,700.000,,700.000,,32.965,,-857.258,
1984-06,583.554,,3232.234,,-2648.680,,375.675,,326.799,,2071.103,,781.949,,426.282,,-1695.428,,207.879,,1161.131,,750.000,,750.000,,32.912,,-953.252,
1984-07,385.162,,3138.904,,-2753.742,,118.482,,68.415,,1814.662,,780.402,,527.178,,-1696.180,,266.680,,1324.242,,900.000,,900.000,,34.536,,-1057.562,
1984-08,384.131,,3128.969,,-2744.838,,110.128,,59.058,,1669.330,,847.183,,458.197,,-1559.202,,274.003,,1459.639,,1050.000,,1050.000,,33.622,,-1185.636,
1984-09,378.850,,3026.770,,-2647.920,,163.832,,104.633,,1844.024,,781.558,,591.312,,-1680.192,,215.018,,1182.746,,800.000,,800.000,,34.609,,-967.728,
1984-10,279.350,,3144.492,,-2865.142,,8.245,,-59.503,,1989.427,,783.938,,696.347,,-1981.182,,271.105,,1155.065,,750.000,,750.000,,34.970,,-883.960,
1984-11,879.127,,3293.214,,-2414.087,,632.572,,149.094,,2158.434,,806.659,,796.439,,-1525.862,,246.555,,1134.780,,700.000,,700.000,,36.017,,-888.225,
1984-12,557.086,,3668.805,,-3111.719,,327.888,,268.792,,2323.989,,780.997,,735.279,,-1996.101,,229.198,,1344.816,,800.000,,800.000,,36.819,,-1115.618,
1985-01,400.366,,3045.784,,-2645.418,,170.321,,28.671,,2050.631,,781.333,,591.897,,-1880.310,,230.045,,995.153,,550.000,,550.000,,36.591,,-765.108,
1985-02,347.262,,2805.656,,-2458.394,,91.498,,45.917,,1848.777,,778.179,,458.205,,-1757.279,,255.764,,956.879,,550.000,,550.000,,43.335,,-701.115,
1985-03,354.405,,2760.261,,-2405.856,,115.789,,62.609,,1725.301,,778.869,,446.687,,-1609.512,,238.616,,1034.960,,550.000,,550.000,,35.983,,-796.344,
1985-04,331.784,,2880.520,,-2548.736,,69.336,,19.693,,1819.043,,779.457,,412.812,,-1749.707,,262.448,,1061.477,,600.000,,600.000,,40.606,,-799.029,
1985-05,430.270,,2775.309,,-2345.039,,193.317,,136.705,,1599.048,,783.097,,386.355,,-1405.731,,236.953,,1176.261,,650.000,,650.000,,36.864,,-939.308,
1985-06,712.308,,3289.098,,-2576.790,,446.247,,391.877,,2135.395,,784.564,,417.253,,-1689.148,,266.061,,1153.703,,700.000,,700.000,,36.380,,-887.642,
1985-07,460.995,,3207.580,,-2746.585,,183.540,,117.325,,1919.311,,1112.913,,372.700,,-1735.771,,277.455,,1288.269,,850.000,,850.000,,37.657,,-1010.814,
1985-08,391.512,,2760.445,,-2368.933,,129.053,,75.546,,1534.124,,751.246,,392.566,,-1405.071,,262.459,,1226.321,,800.000,,800.000,,38.486,,-963.862,
1985-09,441.432,,2803.137,,-2361.705,,194.237,,43.691,,1672.518,,825.100,,436.370,,-1478.281,,247.195,,1130.619,,700.000,,700.000,,36.747,,-883.424,
1985-10,610.192,,2864.350,,-2254.158,,295.380,,210.646,,1750.482,,826.350,,410.482,,-1455.102,,314.812,,1113.868,,600.000,,600.000,,35.915,,-799.056,
1985-11,412.065,,2725.146,,-2313.081,,171.901,,72.229,,1694.812,,820.780,,378.604,,-1522.911,,240.164,,1030.334,,600.000,,600.000,,38.367,,-790.170,
1985-12,613.923,,3264.233,,-2650.310,,353.010,,247.202,,1868.642,,819.226,,378.661,,-1515.632,,260.913,,1395.591,,800.000,,800.000,,36.990,,-1134.678,
1986-01,306.244,,3384.520,,-3078.276,,69.607,,22.017,,2285.220,,1291.167,,366.664,,-2215.613,,236.637,,1099.300,,600.000,,600.000,,35.378,,-862.663,
1986-02,391.402,,2785.366,,-2393.964,,148.257,,101.318,,1743.794,,745.581,,360.588,,-1595.537,,243.145,,1041.572,,600.000,,600.000,,33.293,,-798.427,
1986-03,543.577,,2942.948,,-2399.371,,325.646,,264.832,,1813.565,,1006.743,,378.382,,-1487.919,,217.931,,1129.383,,650.000,,650.000,,32.009,,-911.452,
1986-04,319.535,,2919.098,,-2599.563,,49.411,,-7.209,,1875.638,,887.943,,350.872,,-1826.227,,270.124,,1043.460,,550.000,,550.000,,41.362,,-773.336,
1986-05,470.996,,2919.618,,-2448.622,,236.759,,163.693,,1768.176,,973.456,,413.016,,-1531.417,,234.237,,1151.442,,650.000,,650.000,,39.128,,-917.205,
1986-06,1093.305,,3108.678,,-2015.373,,792.423,,630.798,,2016.204,,971.787,,380.657,,-1223.781,,300.882,,1092.474,,600.000,,600.000,,39.746,,-791.592,
1986-07,489.649,,3212.906,,-2723.257,,255.004,,121.181,,1992.536,,970.512,,411.455,,-1737.532,,234.645,,1220.370,,700.000,,700.000,,41.287,,-985.725,
1986-08,396.687,,3370.062,,-2973.375,,129.457,,78.436,,2115.106,,1432.191,,333.687,,-1985.649,,267.230,,1254.956,,750.000,,750.000,,39.348,,-987.726,
1986-09,493.289,,2989.965,,-2496.676,,176.014,,120.903,,1798.027,,1081.514,,367.243,,-1622.013,,317.275,,1191.938,,600.000,,600.000,,38.322,,-874.663,
1986-10,293.584,,3043.817,,-2750.233,,16.489,,-48.900,,2010.328,,1076.704,,412.109,,-1993.839,,277.095,,1033.489,,600.000,,600.000,,41.287,,-756.394,
1986-11,448.736,,2973.119,,-2524.383,,191.612,,118.138,,1998.052,,1067.139,,404.030,,-1806.440,,257.124,,975.067,,500.000,,500.000,,42.287,,-717.943,
1986-12,788.163,,3197.911,,-2409.748,,558.177,,410.312,,2074.055,,1072.906,,323.973,,-1515.878,,229.986,,1123.856,,650.000,,650.000,,40.162,,-893.870,
1987-01,437.160,,3386.517,,-2949.357,,210.586,,77.854,,2372.571,,1069.437,,423.418,,-2161.985,,226.574,,1013.946,,600.000,,600.000,,41.372,,-787.372,
1987-02,301.748,,4091.597,,-3789.849,,94.845,,50.912,,3096.839,,2180.116,,344.699,,-3001.994,,206.903,,994.758,,600.000,,600.000,,35.721,,-787.855,
1987-03,364.294,,1895.237,,-1530.943,,145.256,,98.348,,836.060,,-,Nothing exists,380.015,,-690.804,,219.038,,1059.177,,650.000,,650.000,,38.447,,-840.139,
1987-04,304.281,,2925.055,,-2620.774,,113.391,,53.332,,1993.622,,1085.743,,378.514,,-1880.231,,190.890,,931.433,,550.000,,550.000,,42.737,,-740.543,
1987-05,474.561,,3016.718,,-2542.157,,275.665,,225.461,,1924.863,,1087.627,,393.197,,-1649.198,,198.896,,1091.855,,650.000,,650.000,,43.764,,-892.959,
1987-06,897.021,,3056.131,,-2159.110,,687.393,,486.126,,1997.700,,1086.758,,353.610,,-1310.307,,209.628,,1058.431,,650.000,,650.000,,44.144,,-848.803,
1987-07,598.955,,3459.336,,-2860.381,,368.350,,311.705,,2281.365,,1086.879,,453.061,,-1913.015,,230.605,,1177.971,,700.000,,700.000,,45.227,,-947.366,
1987-08,260.349,,2619.374,,-2359.025,,66.984,,14.766,,1553.469,,756.448,,357.764,,-1486.485,,193.365,,1065.905,,650.000,,650.000,,44.227,,-872.540,
1987-09,283.722,,2950.370,,-2666.648,,72.231,,15.627,,1925.061,,1115.216,,404.523,,-1852.830,,211.491,,1025.309,,600.000,,600.000,,43.446,,-813.818,
1987-10,568.469,,3103.771,,-2535.302,,329.514,,263.534,,2097.875,,1115.952,,406.860,,-1768.361,,238.955,,1005.896,,550.000,,550.000,,46.901,,-766.941,
1987-11,478.804,,3062.792,,-2583.988,,272.306,,182.253,,2045.592,,1116.237,,378.201,,-1773.286,,206.498,,1017.200,,550.000,,550.000,,45.375,,-810.702,
1987-12,549.217,,3342.253,,-2793.036,,295.574,,232.028,,2233.431,,1104.690,,419.292,,-1937.857,,253.643,,1108.822,,600.000,,600.000,,45.982,,-855.179,
1988-01,752.269,,3231.787,,-2479.518,,575.156,,485.700,,2199.107,,1109.060,,452.148,,-1623.951,,177.113,,1032.680,,600.000,,600.000,,43.662,,-855.567,
1988-02,281.839,,3045.567,,-2763.728,,84.942,,34.476,,2031.080,,1111.291,,367.380,,-1946.138,,196.897,,1014.487,,600.000,,600.000,,45.994,,-817.590,
1988-03,261.345,,3132.775,,-2871.430,,38.783,,-8.603,,1933.455,,1110.737,,404.850,,-1894.672,,222.562,,1199.320,,650.000,,650.000,,41.481,,-976.758,
1988-04,420.871,,3139.031,,-2718.160,,219.788,,165.669,,2046.759,,1112.893,,395.735,,-1826.971,,201.083,,1092.272,,600.000,,600.000,,50.077,,-891.189,
1988-05,396.225,,3053.097,,-2656.872,,195.567,,131.044,,1963.441,,1116.092,,391.843,,-1767.874,,200.658,,1089.656,,650.000,,650.000,,49.704,,-888.998,
1988-06,1047.058,,3179.387,,-2132.329,,841.000,,653.304,,1940.654,,1118.533,,389.032,,-1099.654,,206.058,,1238.733,,650.000,,650.000,,49.535,,-1032.675,
1988-07,1189.161,,3866.899,,-2677.738,,954.946,,673.413,,2664.433,,1175.420,,467.924,,-1709.487,,234.215,,1202.466,,650.000,,650.000,,47.781,,-968.251,
1988-08,262.715,,3679.397,,-3416.682,,37.735,,-37.040,,2533.993,,1718.036,,397.825,,-2496.258,,224.980,,1145.404,,650.000,,650.000,,48.769,,-920.424,
1988-09,248.883,,3047.953,,-2799.070,,70.497,,17.276,,1978.282,,1189.662,,408.285,,-1907.785,,178.386,,1069.671,,600.000,,600.000,,49.102,,-891.285,
1988-10,548.639,,4512.255,,-3963.616,,323.708,,253.658,,3372.592,,2369.229,,429.086,,-3048.884,,224.931,,1139.663,,550.000,,550.000,,49.878,,-914.732,
1988-11,362.039,,4824.952,,-4462.913,,175.782,,117.810,,3786.942,,2776.821,,407.383,,-3611.160,,186.257,,1038.010,,550.000,,550.000,,51.745,,-851.753,
1988-12,1071.159,,4260.532,,-3189.373,,813.414,,668.747,,2829.030,,1434.881,,412.080,,-2015.616,,257.745,,1431.502,,700.000,,700.000,,52.591,,-1173.757,
1989-01,481.698,,3612.084,,-3130.386,,291.742,,48.169,,2425.752,,1220.659,,425.052,,-2134.010,,189.956,,1186.332,,650.000,,650.000,,46.173,,-996.376,
1989-02,367.037,,3782.003,,-3414.966,,118.921,,71.551,,2530.743,,1466.538,,390.239,,-2411.822,,248.116,,1251.260,,650.000,,650.000,,49.587,,-1003.144,
1989-03,697.692,,3554.012,,-2856.320,,264.368,,213.895,,2300.328,,1343.476,,412.637,,-2035.960,,433.324,,1253.684,,700.000,,700.000,,49.096,,-820.360,
1989-04,307.758,,3558.270,,-3250.512,,99.161,,46.343,,2331.383,,1343.476,,431.801,,-2232.222,,208.597,,1226.887,,600.000,,600.000,,55.391,,-1018.290,
1989-05,515.667,,3463.641,,-2947.974,,209.967,,155.604,,2231.805,,1344.027,,393.024,,-2021.838,,305.700,,1231.836,,650.000,,650.000,,53.802,,-926.136,
1989-06,1361.524,,3607.336,,-2245.812,,1101.721,,788.920,,2299.102,,1343.586,,423.386,,-1197.381,,259.803,,1308.234,,650.000,,650.000,,54.368,,-1048.431,
1989-07,589.264,,4050.845,,-3461.581,,320.553,,262.070,,2735.784,,1343.586,,457.436,,-2415.231,,268.711,,1315.061,,600.000,,600.000,,58.521,,-1046.350,
1989-08,328.447,,3397.511,,-3069.064,,112.891,,58.030,,2215.734,,1343.586,,428.369,,-2102.843,,215.556,,1181.777,,650.000,,650.000,,58.573,,-966.221,
1989-09,636.275,,3389.307,,-2753.032,,153.777,,99.218,,2253.067,,1343.586,,429.386,,-2099.290,,482.498,,1136.240,,600.000,,600.000,,54.818,,-653.742,
1989-10,816.290,,3636.404,,-2820.114,,109.718,,36.730,,2475.737,,1344.848,,450.962,,-2366.019,,706.572,,1160.667,,550.000,,550.000,,57.449,,-454.095,
1989-11,343.834,,3576.219,,-3232.385,,105.513,,44.582,,2416.591,,1343.586,,439.071,,-2311.078,,238.321,,1159.628,,500.000,,500.000,,57.269,,-921.307,
1989-12,710.696,,3882.895,,-3172.199,,420.388,,302.884,,2423.304,,1221.967,,435.887,,-2002.916,,290.308,,1459.591,,700.000,,700.000,,56.968,,-1169.283,
1990-01,979.021,,4085.873,,-3106.852,,502.189,,307.322,,2853.671,,1239.434,,448.133,,-2351.482,,476.832,,1232.202,,520.000,,520.000,,66.231,,-755.370,
1990-02,613.097,,3461.367,,-2848.270,,394.436,,318.869,,2273.482,,1284.728,,411.055,,-1879.046,,218.661,,1187.885,,570.000,,570.000,,62.922,,-969.224,
1990-03,758.800,,3735.267,,-2976.467,,427.900,,352.769,,2350.056,,1262.082,,447.306,,-1922.156,,330.900,,1385.211,,620.000,,620.000,,71.029,,-1054.311,
1990-04,483.798,,3602.167,,-3118.369,,232.583,,150.130,,2325.122,,1270.485,,442.339,,-2092.539,,251.215,,1277.045,,566.000,,566.000,,66.874,,-1025.830,
1990-05,603.685,,3585.587,,-2981.902,,288.819,,207.208,,2268.219,,1262.081,,439.799,,-1979.400,,314.866,,1317.368,,616.000,,616.000,,65.597,,-1002.502,
1990-06,1244.669,,3965.957,,-2721.288,,922.210,,840.836,,2677.281,,1262.081,,455.608,,-1755.071,,322.459,,1288.676,,616.000,,616.000,,66.802,,-966.217,
1990-07,1078.517,,4112.568,,-3034.051,,782.215,,686.936,,2764.778,,1262.081,,483.279,,-1982.563,,296.302,,1347.790,,623.000,,623.000,,68.669,,-1051.488,
1990-08,452.039,,3062.612,,-2610.573,,153.846,,58.927,,1791.289,,683.056,,474.377,,-1637.443,,298.193,,1271.323,,573.000,,573.000,,67.898,,-973.130,
1990-09,489.439,,3599.024,,-3109.585,,197.619,,102.701,,2300.181,,1189.600,,449.832,,-2102.562,,291.820,,1298.843,,623.000,,623.000,,68.336,,-1007.023,
1990-10,568.945,,3769.755,,-3200.810,,244.367,,86.138,,2359.387,,1141.395,,457.849,,-2115.020,,324.578,,1410.368,,611.000,,611.000,,78.930,,-1085.790,
1990-11,639.576,,4184.075,,-3544.499,,337.131,,216.566,,2994.648,,1189.600,,489.928,,-2657.517,,302.445,,1189.427,,511.000,,511.000,,80.817,,-886.982,
1990-12,820.352,,4250.079,,-3429.727,,542.552,,394.641,,2829.234,,1174.389,,498.232,,-2286.682,,277.800,,1420.845,,611.000,,611.000,,79.714,,-1143.045,
1991-01,2343.150,,6302.930,,-3959.780,,548.025,,178.246,,3841.749,,1805.980,,493.844,,-3293.724,,1795.125,,2461.181,,327.000,,327.000,,74.796,,-666.056,
1991-02,1894.585,,9851.211,,-7956.626,,154.881,,7.057,,7336.066,,1842.427,,454.236,,-7181.185,,1739.704,,2515.145,,427.000,,427.000,,73.247,,-775.441,
1991-03,2051.876,,12352.071,,-10300.195,,273.570,,177.538,,9738.815,,1824.203,,470.825,,-9465.245,,1778.306,,2613.256,,477.000,,477.000,,69.107,,-834.950,
1991-04,2037.379,,5941.947,,-3904.568,,263.899,,127.356,,3213.507,,1824.203,,468.047,,-2949.608,,1773.480,,2728.440,,574.000,,574.000,,75.190,,-954.960,
1991-05,2182.269,,5783.205,,-3600.936,,389.270,,251.965,,3003.823,,1824.204,,442.611,,-2614.553,,1792.999,,2779.382,,574.000,,574.000,,76.087,,-986.383,
1991-06,2528.256,,5895.563,,-3367.307,,790.567,,612.876,,3130.161,,1817.968,,505.651,,-2339.594,,1737.689,,2765.402,,574.000,,574.000,,71.292,,-1027.713,
1991-07,2422.079,,6483.990,,-4061.911,,592.852,,387.388,,3497.550,,1823.165,,519.258,,-2904.698,,1829.227,,2986.440,,639.000,,639.000,,69.796,,-1157.213,
1991-08,2075.900,,6362.515,,-4286.615,,250.972,,59.283,,3578.087,,1823.165,,487.546,,-3327.115,,1824.928,,2784.428,,539.000,,539.000,,73.572,,-959.500,
1991-09,2059.105,,5882.785,,-3823.680,,304.532,,-135.738,,3042.100,,1823.165,,492.257,,-2737.568,,1754.573,,2840.685,,589.000,,589.000,,68.568,,-1086.112,
1991-10,1979.253,,6384.444,,-4405.191,,157.896,,13.060,,3447.168,,1823.164,,514.289,,-3289.272,,1821.357,,2937.276,,603.000,,603.000,,79.198,,-1115.919,
1991-11,2074.808,,5925.863,,-3851.055,,276.549,,128.519,,3086.537,,1823.164,,508.693,,-2809.988,,1798.259,,2839.326,,553.000,,553.000,,79.386,,-1041.067,
1991-12,2491.389,,7954.124,,-5462.735,,668.313,,415.004,,5005.059,,3132.871,,451.530,,-4336.746,,1823.076,,2949.065,,553.000,,553.000,,91.640,,-1125.989,
1992-01,2534.675,,6936.104,,-4401.429,,667.145,,286.233,,4038.268,,2229.505,,511.974,,-3371.123,,1867.530,,2897.836,,504.000,,504.000,,81.582,,-1030.306,
1992-02,1674.443,,7188.754,,-5514.311,,-173.960,,-318.557,,4287.179,,2370.525,,499.824,,-4461.139,,1848.403,,2901.575,,504.000,,504.000,,82.005,,-1053.172,
1992-03,2304.668,,6636.301,,-4331.633,,440.879,,138.062,,3634.565,,2316.807,,500.808,,-3193.686,,1863.789,,3001.736,,604.000,,604.000,,79.349,,-1137.947,
1992-04,2382.857,,6800.798,,-4417.941,,495.586,,78.039,,3759.524,,2300.015,,499.294,,-3263.938,,1887.271,,3041.274,,554.000,,554.000,,77.672,,-1154.003,
1992-05,2539.557,,5906.398,,-3366.841,,615.733,,381.850,,2973.631,,1704.211,,524.654,,-2357.898,,1923.824,,2932.767,,504.000,,504.000,,82.681,,-1008.943,
