2015=100
Exp or Imp,Year,Indexes Area,Commodity,,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Summary Indexes,,,,,,,,,,,,,,,,,
1,2013,WORLD," Lifts,Elevators,Hoist",Quantum Index,98.62,75.94,88.07,107.96,103.09,107.68,107.54,100.69,88.89,92.3,102.39,108.25,100.64
1,2013,WORLD," Bearings",Value Index,88.55,66.42,77.92,91.47,88.25,87.14,96.16,95.45,88.31,89.38,94.32,93.98,93.73
1,2013,WORLD," Bearings",Unit Index,95.53,90.04,91.97,96.75,95.35,97.96,99.41,97.27,96.71,96.62,94.26,94.01,95.31
1,2013,WORLD," Bearings",Quantum Index,92.68,73.76,84.72,94.54,92.55,88.95,96.73,98.13,91.31,92.5,100.06,99.97,98.34
1,2013,WORLD," Semicon Machinery etc.",Value Index,77.9,54.23,64.8,75.38,64.95,79.38,86.87,91.83,79.93,71.01,72.49,85.02,108.95
1,2013,WORLD," Semicon Machinery etc.",Unit Index,88.99,93.93,97.21,84.56,75.71,78.98,84.91,84.3,88.96,107.52,94.33,89.33,94.85
1,2013,WORLD," Semicon Machinery etc.",Quantum Index,87.54,57.74,66.66,89.15,85.79,100.51,102.3,108.92,89.85,66.03,76.85,95.17,114.87
1,2013,WORLD," Electrical Machinery",Value Index,90.69,70.39,77.29,96.62,89.48,88.69,95.07,92.32,95.4,97.06,98.39,92.5,95.04
1,2013,WORLD," Electrical Machinery",Unit Index,89.04,84.87,87.62,87.59,87.23,88.63,92.74,88.26,89.24,91.54,90.02,89.22,90.91
1,2013,WORLD," Electrical Machinery",Quantum Index,101.85,82.93,88.21,110.3,102.58,100.07,102.51,104.59,106.89,106.02,109.29,103.66,104.53
1,2013,WORLD," Electric Power Machinery",Value Index,91.83,71.06,77.4,100.52,92.47,86.15,94.46,92.03,91.3,96.88,105.61,94.76,99.29
1,2013,WORLD," Electric Power Machinery",Unit Index,98.86,94.24,100.74,97.31,89.37,96.62,100.75,102.36,100.74,108.4,104.45,95.06,96.51
1,2013,WORLD," Electric Power Machinery",Quantum Index,92.88,75.4,76.83,103.3,103.47,89.16,93.75,89.91,90.62,89.37,101.1,99.67,102.87
1,2013,WORLD," Electrical Apparatus",Value Index,92.98,70.88,79.79,103.03,93.46,90.19,95.55,96.92,94.77,93.85,101.16,96.07,100.03
1,2013,WORLD," Electrical Apparatus",Unit Index,90.42,88.63,86.24,87.56,86.57,89.18,90.32,91.32,94.16,93.67,92.72,92.34,92.03
1,2013,WORLD," Electrical Apparatus",Quantum Index,102.82,79.97,92.52,117.67,107.96,101.12,105.78,106.13,100.64,100.2,109.09,104.04,108.69
1,2013,WORLD," Switches,Relays,Fuses etc.",Value Index,89.1,69.36,76.05,92.45,87.69,85.58,88.63,92.48,93.76,92.71,99.2,93.89,97.41
1,2013,WORLD," Switches,Relays,Fuses etc.",Unit Index,91.45,87.85,85.3,88.49,88.51,91.9,92.35,94.91,94.1,94.35,93.6,92.72,92.54
1,2013,WORLD," Switches,Relays,Fuses etc.",Quantum Index,97.43,78.95,89.15,104.46,99.07,93.11,95.97,97.43,99.63,98.26,105.97,101.26,105.26
1,2013,WORLD," Insulated Wire,Cable",Value Index,107.19,74.27,92.55,136.65,110.78,97.3,108.03,108.93,101.61,112.6,103.01,126.63,113.94
