Date;2947 - Exports (Fob) - Primary products - US$;2974 - Exports (Fob) - Semimanufactured products - US$;3001 - Exports (Fob) - Manufactured products - US$;3546 - International reserves - Total - monthly - US$ (million);3695 - Exchange rate - Free - United States dollar (purchase) - end of period - 3695 - c.m.u./US$;3698 - Exchange rate - Free - United States dollar (sale) - period average - 3698 - c.m.u./US$
12/1991;543,714,794 ;375,267,827 ;1,569,659,347 ;9,406 ;1,068.7000 ;957.8740
01/1992;552,591,670 ;419,170,772 ;1,505,220,287 ;11,866 ;1,319.4000 ;1,197.3770
02/1992;476,888,296 ;506,163,467 ;1,385,997,105 ;14,378 ;1,630.7500 ;1,478.6550
03/1992;519,026,435 ;445,610,805 ;1,889,246,156 ;17,063 ;1,987.9000 ;1,814.5180
04/1992;674,802,436 ;367,821,289 ;1,613,160,561 ;18,518 ;2,396.0000 ;2,196.7840
05/1992;744,539,192 ;369,423,764 ;1,702,359,267 ;20,512 ;2,849.0000 ;2,628.6420
06/1992;853,968,833 ;392,544,745 ;1,684,023,712 ;21,703 ;3,446.6000 ;3,149.7670
07/1992;889,461,758 ;458,501,123 ;2,065,711,903 ;22,705 ;4,204.5000 ;3,829.1960
08/1992;758,011,256 ;458,369,473 ;1,778,965,585 ;23,109 ;5,130.0000 ;4,672.1430
09/1992;748,980,958 ;433,529,193 ;1,805,050,757 ;21,964 ;6,398.0000 ;5,771.5240
10/1992;709,643,762 ;473,725,033 ;2,005,802,021 ;24,124 ;8,034.0000 ;7,214.9000
11/1992;823,932,861 ;521,950,575 ;1,905,540,727 ;24,481 ;9,949.8000 ;9,046.7970
12/1992;903,734,970 ;498,357,883 ;1,992,677,496 ;23,754 ;12,387.0000 ;11,150.8750
01/1993;540,712,119 ;409,562,212 ;1,844,250,721 ;23,313 ;15,719.0000 ;14,059.1420
02/1993;564,691,263 ;526,303,173 ;1,785,353,963 ;22,890 ;19,857.0000 ;17,868.5920
03/1993;766,019,206 ;541,482,411 ;2,175,063,082 ;22,309 ;25,120.0000 ;22,469.2460
04/1993;895,010,582 ;391,062,780 ;1,729,127,030 ;22,737 ;32,267.0000 ;28,728.9420
05/1993;787,763,220 ;438,030,786 ;1,635,803,556 ;23,981 ;41,699.0000 ;37,040.3100
06/1993;859,209,597 ;444,139,909 ;1,913,981,523 ;24,476 ;54,335.0000 ;48,106.4600
07/1993;889,270,321 ;511,982,743 ;1,996,830,270 ;25,937 ;71,152.0000 ;62,773.2360
08/1993;840,552,945 ;418,582,326 ;2,221,882,807 ;27,086 ;94.6500 ;82.7400
09/1993;878,818,415 ;496,569,748 ;2,033,855,973 ;26,948 ;128.0650 ;111.1890
10/1993;698,877,778 ;492,134,059 ;2,021,089,869 ;29,019 ;173.9950 ;151.2250
11/1993;665,156,631 ;504,827,139 ;1,946,815,674 ;31,011 ;235.9700 ;205.8010
12/1993;746,970,993 ;480,913,657 ;2,149,749,631 ;32,211 ;326.0950 ;279.3850
01/1994;518,596,390 ;461,100,277 ;1,719,110,098 ;35,390 ;458.6500 ;390.8445
02/1994;580,685,355 ;391,329,517 ;1,775,365,409 ;36,542 ;637.2500 ;550.8067
03/1994;685,944,222 ;496,849,606 ;2,130,862,578 ;38,282 ;913.3350 ;768.1203
04/1994;945,291,541 ;533,204,382 ;2,131,061,983 ;38,289 ;1,302.2600 ;1,109.5644
05/1994;1,074,911,074 ;610,290,005 ;2,131,656,920 ;41,408 ;1,875.2500 ;1,585.4750
06/1994;1,018,494,881 ;579,694,839 ;2,023,451,448 ;42,881 ;2,612.5000 ;2,296.2562
07/1994;1,027,682,569 ;604,059,828 ;2,045,925,843 ;43,090 ;0.9380 ;0.9333
08/1994;1,126,627,328 ;736,248,974 ;2,356,859,635 ;42,981 ;0.8870 ;0.8986
09/1994;1,125,911,520 ;680,228,648 ;2,293,437,075 ;43,455 ;0.8510 ;0.8652
10/1994;997,890,657 ;674,497,274 ;2,114,084,126 ;42,845 ;0.8440 ;0.8460
11/1994;882,563,869 ;615,192,942 ;2,163,755,036 ;41,937 ;0.8430 ;0.8418
12/1994;850,815,257 ;687,153,637 ;2,119,094,177 ;38,806 ;0.8440 ;0.8501
01/1995;551,386,778 ;663,773,770 ;1,724,720,767 ;38,278 ;0.8400 ;0.8471
02/1995;574,011,100 ;561,852,883 ;1,755,767,330 ;37,998 ;0.8495 ;0.8408
03/1995;813,400,177 ;674,657,222 ;2,252,826,622 ;33,742 ;0.8940 ;0.8894
04/1995;873,183,203 ;598,715,785 ;1,829,955,161 ;31,887 ;0.9110 ;0.9075
05/1995;1,100,889,160 ;792,702,378 ;2,240,511,907 ;33,731 ;0.9040 ;0.8974
06/1995;1,080,540,649 ;753,052,599 ;2,158,235,731 ;33,512 ;0.9200 ;0.9140
07/1995;1,014,006,433 ;901,906,416 ;1,994,578,032 ;41,823 ;0.9340 ;0.9288
08/1995;1,072,300,307 ;1,015,468,917 ;2,411,439,058 ;47,660 ;0.9490 ;0.9420
09/1995;950,248,105 ;804,388,715 ;2,360,442,713 ;48,713 ;0.9520 ;0.9528
10/1995;928,176,116 ;1,015,360,698 ;2,399,123,165 ;49,694 ;0.9609 ;0.9597
11/1995;776,375,915 ;948,629,162 ;2,262,405,779 ;51,257 ;0.9656 ;0.9634
12/1995;777,824,129 ;834,561,332 ;2,212,535,253 ;51,840 ;0.9715 ;0.9683
01/1996;665,454,971 ;766,457,284 ;1,932,149,178 ;53,540 ;0.9776 ;0.9745
02/1996;652,868,833 ;632,048,042 ;2,070,494,747 ;55,794 ;0.9832 ;0.9811
03/1996;678,939,969 ;555,984,550 ;2,071,038,492 ;55,753 ;0.9872 ;0.9861
04/1996;1,195,306,679 ;720,418,685 ;2,290,376,783 ;56,769 ;0.9917 ;0.9902
05/1996;1,251,280,885 ;741,024,966 ;2,421,661,522 ;59,394 ;0.9976 ;0.9953
06/1996;1,135,715,066 ;668,443,099 ;1,984,087,010 ;59,997 ;1.0036 ;1.0013
07/1996;1,228,351,113 ;804,005,165 ;2,363,329,143 ;59,521 ;1.0104 ;1.0069
08/1996;1,200,334,155 ;792,712,169 ;2,340,567,938 ;59,643 ;1.0161 ;1.0134
09/1996;1,077,364,919 ;782,908,574 ;2,201,760,037 ;58,775 ;1.0207 ;1.0193
10/1996;1,107,801,087 ;764,357,254 ;2,266,911,285 ;58,600 ;1.0268 ;1.0251
11/1996;914,843,900 ;735,619,003 ;2,184,644,548 ;60,471 ;1.0324 ;1.0304
12/1996;790,505,957 ;650,533,461 ;2,284,227,728 ;60,110 ;1.0386 ;1.0373
01/1997;834,048,027 ;766,519,855 ;2,019,753,408 ;58,951 ;1.0453 ;1.0429
02/1997;645,965,299 ;518,293,464 ;1,905,388,589 ;59,405 ;1.0507 ;1.0493
03/1997;1,110,771,895 ;563,593,377 ;2,076,772,833 ;58,980 ;1.0585 ;1.0567
04/1997;1,609,666,961 ;718,943,847 ;2,238,280,439 ;56,171 ;1.0630 ;1.0609
05/1997;1,676,375,503 ;646,025,547 ;2,260,770,913 ;59,279 ;1.0709 ;1.0683
06/1997;1,637,907,555 ;701,176,212 ;2,430,242,818 ;57,615 ;1.0761 ;1.0746
07/1997;1,732,925,257 ;805,963,967 ;2,638,116,515 ;60,331 ;1.0826 ;1.0807
08/1997;1,408,356,562 ;794,210,314 ;2,794,922,990 ;63,056 ;1.0908 ;1.0879
09/1997;1,123,655,175 ;766,950,786 ;2,619,939,470 ;61,931 ;1.0956 ;1.0936
10/1997;1,052,573,025 ;750,121,977 ;2,927,394,356 ;53,690 ;1.1023 ;1.1001
11/1997;807,714,315 ;632,419,517 ;2,477,010,009 ;52,035 ;1.1090 ;1.1073
12/1997;828,670,630 ;813,388,842 ;2,804,079,382 ;52,173 ;1.1156 ;1.1136
01/1998;896,575,996 ;796,034,730 ;2,149,917,184 ;53,103 ;1.1229 ;1.1199
02/1998;701,283,100 ;586,311,783 ;2,383,927,874 ;58,782 ;1.1296 ;1.1271
03/1998;954,406,949 ;654,851,119 ;2,609,992,091 ;68,594 ;1.1366 ;1.1337
04/1998;1,332,289,904 ;697,563,859 ;2,483,035,124 ;74,656 ;1.1435 ;1.1412
05/1998;1,397,667,722 ;610,836,824 ;2,537,484,222 ;72,826 ;1.1497 ;1.1481
06/1998;1,421,414,243 ;779,629,211 ;2,618,757,603 ;70,898 ;1.1561 ;1.1546
07/1998;1,365,632,582 ;801,650,374 ;2,751,567,583 ;70,210 ;1.1626 ;1.1615
08/1998;1,107,970,127 ;564,144,435 ;2,266,799,093 ;67,333 ;1.1761 ;1.1717
09/1998;1,211,113,328 ;702,452,163 ;2,574,050,883 ;45,811 ;1.1848 ;1.1809
10/1998;953,877,466 ;666,946,198 ;2,345,352,776 ;42,385 ;1.1924 ;1.1884
11/1998;793,456,950 ;593,612,818 ;2,266,693,495 ;41,189 ;1.2004 ;1.1937
12/1998;840,941,272 ;666,057,746 ;2,399,181,535 ;44,556 ;1.2079 ;1.2054
01/1999;666,856,391 ;574,924,989 ;1,654,429,391 ;36,136 ;1.9824 ;1.5019
02/1999;741,303,269 ;573,355,508 ;1,913,795,754 ;35,457 ;2.0640 ;1.9137
03/1999;860,827,050 ;631,985,336 ;2,234,434,453 ;33,848 ;1.7212 ;1.8968
04/1999;988,851,228 ;557,385,400 ;2,094,489,846 ;44,315 ;1.6599 ;1.6941
05/1999;1,295,168,316 ;688,208,819 ;2,319,693,824 ;44,310 ;1.7232 ;1.6835
06/1999;1,149,459,018 ;702,079,345 ;2,392,669,769 ;41,346 ;1.7687 ;1.7654
07/1999;1,137,649,734 ;644,509,518 ;2,248,132,916 ;42,156 ;1.7884 ;1.8003
08/1999;1,105,455,061 ;649,325,912 ;2,453,017,492 ;41,918 ;1.9151 ;1.8807
09/1999;1,054,173,273 ;684,410,506 ;2,391,302,170 ;42,562 ;1.9215 ;1.8981
10/1999;987,637,726 ;746,714,561 ;2,502,244,220 ;40,053 ;1.9522 ;1.9695
11/1999;882,158,393 ;663,221,548 ;2,364,382,710 ;42,175 ;1.9219 ;1.9299
12/1999;958,174,980 ;865,695,179 ;2,762,523,916 ;36,342 ;1.7882 ;1.8428
01/2000;709,079,233 ;654,221,653 ;2,026,920,657 ;37,560 ;1.8016 ;1.8037
02/2000;706,007,587 ;748,023,334 ;2,574,408,391 ;38,364 ;1.7677 ;1.7753
03/2000;883,623,560 ;696,588,911 ;2,827,478,595 ;39,200 ;1.7465 ;1.7420
04/2000;1,084,762,840 ;602,912,066 ;2,420,484,376 ;28,721 ;1.8059 ;1.7682
05/2000;1,327,990,770 ;684,661,354 ;2,749,388,475 ;28,570 ;1.8258 ;1.8279
06/2000;1,250,863,632 ;669,433,272 ;2,813,816,454 ;28,265 ;1.7992 ;1.8083
07/2000;1,290,632,266 ;749,141,878 ;2,866,870,807 ;29,214 ;1.7740 ;1.7978
08/2000;1,406,965,407 ;793,406,432 ;3,041,138,245 ;31,385 ;1.8226 ;1.8092
09/2000;998,948,330 ;718,035,951 ;2,918,404,863 ;31,431 ;1.8429 ;1.8392
10/2000;1,057,195,051 ;694,061,976 ;2,812,596,789 ;30,393 ;1.9082 ;1.8796
11/2000;1,027,796,594 ;732,737,964 ;2,542,158,795 ;32,533 ;1.9588 ;1.9480
12/2000;820,348,383 ;755,918,714 ;2,965,142,749 ;33,011 ;1.9546 ;1.9633
01/2001;1,006,572,940 ;851,595,796 ;2,442,359,200 ;35,598 ;1.9703 ;1.9545
02/2001;845,355,826 ;599,991,988 ;2,458,039,300 ;35,413 ;2.0444 ;2.0019
03/2001;1,106,399,945 ;723,215,987 ;3,133,850,442 ;34,407 ;2.1608 ;2.0890
04/2001;1,288,282,183 ;560,341,445 ;2,760,778,072 ;34,653 ;2.1839 ;2.1925
05/2001;1,600,187,340 ;634,936,465 ;3,032,083,570 ;35,459 ;2.3592 ;2.2972
06/2001;1,583,970,589 ;561,743,927 ;2,800,766,364 ;37,318 ;2.3041 ;2.3758
07/2001;1,490,638,444 ;664,616,781 ;2,741,147,416 ;35,552 ;2.4305 ;2.4660
08/2001;1,593,583,761 ;841,084,436 ;2,985,297,643 ;36,299 ;2.5509 ;2.5106
09/2001;1,383,254,084 ;647,819,356 ;2,580,162,823 ;40,054 ;2.6705 ;2.6717
10/2001;1,361,832,159 ;782,799,236 ;2,781,242,642 ;37,492 ;2.7063 ;2.7402
11/2001;1,061,455,634 ;697,686,644 ;2,655,034,881 ;37,234 ;2.5279 ;2.5431
12/2001;1,027,624,268 ;677,887,439 ;2,586,469,908 ;35,866 ;2.3196 ;2.3627
01/2002;863,379,455 ;652,297,155 ;2,064,080,581 ;36,167 ;2.4175 ;2.3779
02/2002;823,064,931 ;557,784,554 ;2,202,974,543 ;35,906 ;2.3474 ;2.4196
03/2002;1,058,473,397 ;572,079,913 ;2,531,706,977 ;36,721 ;2.3228 ;2.3466
04/2002;1,305,342,440 ;588,329,694 ;2,662,070,348 ;33,008 ;2.3617 ;2.3204
05/2002;1,226,962,019 ;544,546,058 ;2,585,484,872 ;32,889 ;2.5212 ;2.4804
06/2002;977,682,499 ;511,727,827 ;2,496,544,488 ;41,999 ;2.8436 ;2.7140
07/2002;2,069,143,595 ;943,964,818 ;3,113,114,383 ;39,060 ;3.4277 ;2.9346
08/2002;1,721,393,007 ;877,880,104 ;3,070,405,282 ;37,643 ;3.0215 ;3.1101
09/2002;2,371,521,854 ;998,491,941 ;3,017,299,870 ;38,381 ;3.8941 ;3.3420
10/2002;1,913,547,729 ;1,076,792,315 ;3,380,612,147 ;35,855 ;3.6442 ;3.8059
11/2002;1,357,118,755 ;855,283,728 ;2,835,549,822 ;35,592 ;3.6357 ;3.5764
12/2002;1,271,507,885 ;786,296,459 ;3,108,609,492 ;37,823 ;3.5325 ;3.6259
01/2003;1,211,201,248 ;948,355,818 ;2,554,442,979 ;38,772 ;3.5250 ;3.4384
02/2003;1,271,127,783 ;804,305,125 ;2,833,539,804 ;38,530 ;3.5624 ;3.5908
03/2003;1,496,853,050 ;723,013,727 ;2,890,194,135 ;42,335 ;3.3523 ;3.4469
04/2003;1,785,201,636 ;697,796,624 ;3,097,084,269 ;41,500 ;2.8890 ;3.1187
05/2003;2,026,180,182 ;914,264,073 ;3,340,431,503 ;43,373 ;2.9648 ;2.9557
06/2003;1,833,388,114 ;879,402,599 ;3,048,179,483 ;47,956 ;2.8712 ;2.8832
07/2003;1,694,033,069 ;980,783,814 ;3,380,386,342 ;47,645 ;2.9647 ;2.8798
08/2003;1,929,375,933 ;1,014,357,923 ;3,360,611,136 ;47,793 ;2.9657 ;3.0025
09/2003;2,281,230,393 ;1,033,818,785 ;3,848,074,778 ;52,675 ;2.9226 ;2.9228
10/2003;2,387,892,283 ;1,058,087,800 ;4,025,682,917 ;54,093 ;2.8554 ;2.8615
11/2003;1,616,832,752 ;816,573,658 ;3,468,203,622 ;54,427 ;2.9486 ;2.9138
12/2003;1,652,964,187 ;1,074,189,115 ;3,916,871,162 ;49,296 ;2.8884 ;2.9253
01/2004;1,740,539,129 ;985,731,738 ;2,978,527,530 ;53,261 ;2.9401 ;2.8518
02/2004;1,618,078,336 ;881,333,210 ;3,148,654,403 ;52,960 ;2.9130 ;2.9303
03/2004;2,452,782,643 ;1,070,027,189 ;4,284,992,907 ;51,612 ;2.9078 ;2.9055
04/2004;1,898,813,260 ;790,874,715 ;3,823,521,892 ;50,498 ;2.9439 ;2.9060
05/2004;2,577,222,857 ;1,009,688,695 ;4,261,516,012 ;50,540 ;3.1283 ;3.1004
06/2004;3,381,306,049 ;1,213,030,358 ;4,613,619,933 ;49,805 ;3.1067 ;3.1291
07/2004;2,778,036,865 ;1,348,030,516 ;4,765,905,521 ;49,666 ;3.0260 ;3.0368
08/2004;2,966,368,149 ;1,215,139,269 ;4,711,743,506 ;49,594 ;2.9330 ;3.0029
09/2004;2,654,271,767 ;1,285,027,979 ;4,840,345,963 ;49,496 ;2.8578 ;2.8911
10/2004;2,303,633,733 ;1,120,669,881 ;5,301,900,383 ;49,416 ;2.8557 ;2.8529
11/2004;2,102,279,477 ;1,267,465,686 ;4,683,532,684 ;50,133 ;2.7299 ;2.7860
12/2004;2,055,238,416 ;1,245,810,483 ;5,723,193,419 ;52,935 ;2.6536 ;2.7182
01/2005;1,770,694,951 ;1,166,489,055 ;4,353,000,539 ;54,022 ;2.6240 ;2.6930
02/2005;1,860,239,778 ;1,225,184,227 ;4,551,099,373 ;59,017 ;2.5942 ;2.5978
03/2005;2,280,389,067 ;1,411,417,796 ;5,404,675,563 ;61,960 ;2.6654 ;2.7047
04/2005;2,833,865,712 ;1,238,867,597 ;4,980,453,237 ;61,591 ;2.5305 ;2.5792
05/2005;3,006,334,510 ;1,323,392,589 ;5,317,648,078 ;60,709 ;2.4030 ;2.4528
06/2005;3,069,683,886 ;1,450,683,576 ;5,511,544,015 ;59,885 ;2.3496 ;2.4135
07/2005;3,846,177,116 ;1,412,664,777 ;5,617,195,324 ;54,688 ;2.3897 ;2.3735
08/2005;3,839,732,323 ;1,234,738,235 ;5,980,600,371 ;55,076 ;2.3629 ;2.3606
09/2005;3,258,764,396 ;1,245,798,165 ;5,900,085,073 ;57,008 ;2.2214 ;2.2944
10/2005;2,857,233,384 ;1,272,450,187 ;5,563,719,198 ;60,245 ;2.2535 ;2.2565
11/2005;3,162,990,086 ;1,478,258,606 ;5,916,774,823 ;64,277 ;2.2062 ;2.2108
12/2005;2,945,462,956 ;1,502,585,867 ;6,256,011,349 ;53,799 ;2.3399 ;2.2855
01/2006;2,741,580,593 ;1,275,415,041 ;5,032,873,374 ;56,924 ;2.2152 ;2.2739
02/2006;2,089,394,866 ;1,238,636,341 ;5,212,216,533 ;57,415 ;2.1347 ;2.1619
03/2006;3,159,264,246 ;1,541,890,139 ;6,442,524,068 ;59,824 ;2.1716 ;2.1520
04/2006;2,828,176,876 ;1,258,787,908 ;5,462,626,558 ;56,552 ;2.0884 ;2.1293
05/2006;2,922,455,395 ;1,273,125,359 ;5,864,135,123 ;63,381 ;2.2997 ;2.1781
06/2006;3,308,984,653 ;1,758,591,628 ;6,189,292,109 ;62,670 ;2.1635 ;2.2483
07/2006;4,655,373,680 ;1,887,581,928 ;6,811,903,183 ;66,819 ;2.1754 ;2.1893
08/2006;4,254,738,207 ;1,985,302,035 ;7,130,592,015 ;71,478 ;2.1380 ;2.1559
09/2006;4,003,769,348 ;1,741,951,550 ;6,589,206,762 ;73,393 ;2.1734 ;2.1687
10/2006;3,715,206,200 ;1,864,200,182 ;6,888,335,814 ;78,171 ;2.1422 ;2.1483
11/2006;3,413,388,625 ;1,804,488,332 ;6,427,336,352 ;83,114 ;2.1660 ;2.1579
12/2006;3,192,794,943 ;1,892,687,341 ;6,967,270,592 ;85,839 ;2.1372 ;2.1499
01/2007;3,194,486,170 ;1,738,625,934 ;5,800,889,653 ;91,086 ;2.1239 ;2.1385
02/2007;2,904,834,757 ;1,507,514,898 ;5,503,752,727 ;101,070 ;2.1174 ;2.0963
03/2007;3,731,706,718 ;1,632,658,293 ;7,291,006,820 ;109,531 ;2.0496 ;2.0887
04/2007;4,178,447,747 ;1,595,186,328 ;6,417,618,572 ;121,830 ;2.0331 ;2.0320
05/2007;4,374,212,012 ;1,870,138,391 ;7,145,154,825 ;136,419 ;1.9281 ;1.9816
06/2007;3,995,434,823 ;1,841,643,542 ;7,014,859,673 ;147,101 ;1.9254 ;1.9319
07/2007;4,877,459,144 ;1,903,968,491 ;7,077,937,666 ;155,910 ;1.8768 ;1.8828
08/2007;5,125,723,383 ;2,049,829,705 ;7,590,316,123 ;161,097 ;1.9612 ;1.9660
09/2007;4,444,011,893 ;1,801,278,739 ;7,649,158,213 ;162,962 ;1.8381 ;1.8996
10/2007;5,616,782,920 ;2,128,595,858 ;7,703,077,427 ;167,867 ;1.7432 ;1.8010
11/2007;4,275,043,440 ;1,938,008,109 ;7,528,100,527 ;177,060 ;1.7829 ;1.7699
12/2007;4,877,491,513 ;1,792,422,873 ;7,221,022,143 ;180,334 ;1.7705 ;1.7860
01/2008;3,992,542,773 ;2,015,694,464 ;6,864,214,634 ;187,507 ;1.7595 ;1.7743
02/2008;3,791,708,108 ;1,925,449,156 ;6,688,566,817 ;192,902 ;1.6825 ;1.7277
03/2008;3,664,273,877 ;1,645,121,998 ;6,987,933,345 ;195,232 ;1.7483 ;1.7076
04/2008;4,610,412,160 ;1,818,583,321 ;7,287,256,635 ;195,767 ;1.6864 ;1.6889
05/2008;8,358,912,750 ;2,603,126,274 ;7,858,767,975 ;197,906 ;1.6286 ;1.6605
06/2008;7,585,843,414 ;2,190,418,383 ;8,317,230,177 ;200,827 ;1.5911 ;1.6189
07/2008;8,317,789,770 ;2,966,801,863 ;8,652,365,290 ;203,562 ;1.5658 ;1.5914
08/2008;8,183,189,443 ;2,788,142,928 ;8,286,218,794 ;205,116 ;1.6336 ;1.6123
09/2008;7,426,652,788 ;2,746,270,365 ;9,290,315,371 ;206,494 ;1.9135 ;1.7996
10/2008;7,180,107,030 ;2,777,266,400 ;7,975,998,238 ;197,229 ;2.1145 ;2.1729
11/2008;5,174,602,867 ;2,048,167,021 ;7,210,673,151 ;194,668 ;2.3323 ;2.2663
12/2008;4,741,624,971 ;1,548,118,877 ;7,263,072,398 ;193,783 ;2.3362 ;2.3944
01/2009;3,558,542,689 ;1,659,868,679 ;4,325,881,604 ;188,102 ;2.3154 ;2.3074
02/2009;3,489,181,535 ;1,303,976,933 ;4,628,859,714 ;186,880 ;2.3776 ;2.3127
03/2009;4,601,160,849 ;1,343,038,016 ;5,599,789,466 ;190,388 ;2.3144 ;2.3138
04/2009;5,594,067,276 ;1,433,670,151 ;5,041,298,743 ;190,546 ;2.1775 ;2.2059
05/2009;5,369,692,948 ;1,428,890,547 ;4,966,129,384 ;195,264 ;1.9722 ;2.0609
06/2009;6,775,868,177 ;1,671,439,236 ;5,737,685,970 ;201,467 ;1.9508 ;1.9576
07/2009;6,398,490,666 ;1,735,830,756 ;5,744,725,421 ;207,363 ;1.8718 ;1.9328
08/2009;6,089,500,818 ;1,862,741,308 ;5,585,019,036 ;215,744 ;1.8856 ;1.8452
09/2009;5,502,411,041 ;1,881,696,930 ;6,161,765,340 ;221,629 ;1.7773 ;1.8198
10/2009;5,454,002,141 ;2,142,575,852 ;6,221,708,675 ;231,123 ;1.7432 ;1.7384
11/2009;4,394,394,872 ;2,041,975,168 ;5,897,713,033 ;236,660 ;1.7497 ;1.7262
12/2009;4,730,137,128 ;1,993,488,769 ;7,438,484,042 ;238,520 ;1.7404 ;1.7503
01/2010;4,072,559,852 ;1,716,509,929 ;5,193,858,114 ;240,484 ;1.8740 ;1.7798
02/2010;4,752,101,334 ;1,794,324,183 ;5,319,037,782 ;241,082 ;1.8102 ;1.8416
03/2010;6,635,512,816 ;2,070,785,666 ;6,645,842,512 ;243,762 ;1.7802 ;1.7858
04/2010;7,015,893,315 ;1,918,672,971 ;5,939,557,691 ;247,292 ;1.7298 ;1.7566
05/2010;8,569,992,905 ;2,330,000,644 ;6,487,996,648 ;249,846 ;1.8159 ;1.8132
06/2010;7,625,827,432 ;2,539,128,352 ;6,529,779,025 ;253,114 ;1.8007 ;1.8065
07/2010;7,952,980,495 ;2,566,805,046 ;6,825,190,092 ;257,299 ;1.7564 ;1.7696
08/2010;9,168,736,466 ;2,475,815,154 ;7,134,852,848 ;261,320 ;1.7552 ;1.7596
09/2010;8,904,418,562 ;2,447,550,612 ;7,148,356,301 ;275,206 ;1.6934 ;1.7187
10/2010;8,206,689,713 ;2,690,771,834 ;7,178,942,551 ;284,930 ;1.7006 ;1.6835
11/2010;7,430,883,965 ;2,970,191,360 ;6,980,951,522 ;285,461 ;1.7153 ;1.7133
12/2010;9,598,523,899 ;2,677,288,263 ;8,133,011,331 ;288,575 ;1.6654 ;1.6934
01/2011;6,683,222,783 ;2,332,198,916 ;5,920,191,816 ;297,696 ;1.6726 ;1.6749
02/2011;7,359,393,106 ;2,274,966,652 ;6,647,655,166 ;307,516 ;1.6604 ;1.6680
03/2011;8,758,757,691 ;2,709,027,392 ;7,426,860,608 ;317,146 ;1.6279 ;1.6591
04/2011;10,306,853,266 ;2,587,998,171 ;6,778,103,989 ;328,062 ;1.5725 ;1.5864
05/2011;12,099,152,423 ;2,970,635,122 ;7,604,059,156 ;333,017 ;1.5791 ;1.6135
06/2011;10,946,484,288 ;3,296,762,325 ;8,984,751,568 ;335,775 ;1.5603 ;1.5870
07/2011;10,675,657,018 ;3,321,583,629 ;7,788,800,971 ;346,144 ;1.5555 ;1.5639
08/2011;12,761,694,441 ;3,935,308,655 ;8,945,256,966 ;353,397 ;1.5864 ;1.5970
09/2011;11,351,676,167 ;3,449,272,946 ;8,030,462,218 ;349,708 ;1.8536 ;1.7498
10/2011;10,921,982,388 ;3,011,369,649 ;7,752,475,943 ;352,928 ;1.6878 ;1.7726
11/2011;10,056,898,106 ;3,389,697,624 ;7,860,532,128 ;352,073 ;1.8102 ;1.7905
12/2011;10,492,452,466 ;2,745,293,498 ;8,494,594,788 ;352,012 ;1.8751 ;1.8369
01/2012;6,939,924,807 ;2,502,172,475 ;6,139,421,820 ;355,075 ;1.7385 ;1.7897
02/2012;7,434,520,136 ;2,700,692,612 ;7,437,046,711 ;356,330 ;1.7086 ;1.7184
03/2012;10,137,195,704 ;2,400,510,677 ;7,845,886,939 ;365,216 ;1.8215 ;1.7953
04/2012;10,066,316,923 ;2,201,046,790 ;6,843,640,662 ;374,272 ;1.8912 ;1.8548
05/2012;11,841,789,247 ;2,988,839,343 ;7,813,724,343 ;372,409 ;2.0217 ;1.9860
06/2012;9,364,495,925 ;2,440,179,439 ;7,079,898,211 ;373,910 ;2.0207 ;2.0492
07/2012;9,992,016,384 ;3,044,413,257 ;7,519,922,333 ;376,154 ;2.0494 ;2.0287
08/2012;10,783,311,916 ;3,006,140,506 ;8,171,582,770 ;377,221 ;2.0366 ;2.0294
09/2012;9,457,665,586 ;2,634,836,063 ;7,461,289,387 ;378,726 ;2.0300 ;2.0281
10/2012;9,234,068,625 ;3,460,787,811 ;8,586,360,310 ;377,753 ;2.0308 ;2.0298
11/2012;8,853,548,436 ;2,914,880,742 ;8,255,673,599 ;378,560 ;2.1068 ;2.0678
12/2012;9,273,956,086 ;2,740,081,900 ;7,335,453,893 ;373,147 ;2.0429 ;2.0778
01/2013;6,542,313,368 ;2,667,977,590 ;6,258,339,553 ;373,417 ;1.9877 ;2.0311
02/2013;7,050,645,985 ;2,126,665,182 ;6,031,144,881 ;373,742 ;1.9749 ;1.9733
03/2013;8,876,819,512 ;2,556,362,465 ;7,457,738,429 ;376,934 ;2.0132 ;1.9828
04/2013;10,470,707,425 ;2,456,672,224 ;7,242,116,282 ;378,665 ;2.0011 ;2.0022
05/2013;11,502,337,723 ;2,468,004,746 ;7,393,572,809 ;374,417 ;2.1314 ;2.0348
06/2013;9,917,283,951 ;2,384,785,822 ;8,353,002,361 ;369,402 ;2.2150 ;2.1730
07/2013;9,982,574,158 ;2,402,155,282 ;7,925,193,445 ;371,966 ;2.2897 ;2.2522
08/2013;10,616,027,059 ;2,732,693,416 ;7,547,996,778 ;367,002 ;2.3719 ;2.3422
09/2013;10,491,896,547 ;2,672,882,647 ;7,207,176,404 ;368,654 ;2.2294 ;2.2705
10/2013;9,626,124,018 ;2,831,658,682 ;9,828,672,883 ;364,505 ;2.2020 ;2.1886
11/2013;9,125,673,751 ;2,482,880,915 ;8,775,912,428 ;362,410 ;2.3243 ;2.2954
12/2013;8,796,539,236 ;2,740,738,338 ;8,885,440,734 ;358,808 ;2.3420 ;2.3455
01/2014;6,891,088,636 ;2,512,635,945 ;6,093,029,700 ;360,936 ;2.4257 ;2.3822
02/2014;7,169,022,912 ;2,156,202,769 ;6,082,991,238 ;362,691 ;2.3327 ;2.3837
