"",BBK01.OU0115,BBK01.OU0115_FLAGS,BBK01.OU0116,BBK01.OU0116_FLAGS,BBK01.OU0123,BBK01.OU0123_FLAGS,BBK01.OU0175,BBK01.OU0175_FLAGS,BBK01.OU0176,BBK01.OU0176_FLAGS,BBK01.OU0355,BBK01.OU0355_FLAGS,BBK01.OU0138,BBK01.OU0138_FLAGS,BBK01.OU0139,BBK01.OU0139_FLAGS,BBK01.OU0142,BBK01.OU0142_FLAGS,BBK01.OUA185,BBK01.OUA185_FLAGS,BBK01.OUA186,BBK01.OUA186_FLAGS,BBK01.OV0115,BBK01.OV0115_FLAGS,BBK01.OV0116,BBK01.OV0116_FLAGS,BBK01.OV0123,BBK01.OV0123_FLAGS,BBK01.OV0175,BBK01.OV0175_FLAGS,BBK01.OV0176,BBK01.OV0176_FLAGS,BBK01.OV0355,BBK01.OV0355_FLAGS,BBK01.OV0138,BBK01.OV0138_FLAGS,BBK01.OV0139,BBK01.OV0139_FLAGS,BBK01.OV0142,BBK01.OV0142_FLAGS,BBK01.OVA185,BBK01.OVA185_FLAGS,BBK01.OVA186,BBK01.OVA186_FLAGS,BBK01.OUA187,BBK01.OUA187_FLAGS,BBK01.OU0184,BBK01.OU0184_FLAGS,BBK01.OU0178,BBK01.OU0178_FLAGS,BBK01.OUA188,BBK01.OUA188_FLAGS,BBK01.OU0179,BBK01.OU0179_FLAGS,BBK01.OUA189,BBK01.OUA189_FLAGS,BBK01.OUA190,BBK01.OUA190_FLAGS,BBK01.OU0144,BBK01.OU0144_FLAGS,BBK01.OU0149,BBK01.OU0149_FLAGS,BBK01.OU0337,BBK01.OU0337_FLAGS,BBK01.OU0307,BBK01.OU0307_FLAGS,BBK01.OU0150,BBK01.OU0150_FLAGS,BBK01.OVA187,BBK01.OVA187_FLAGS,BBK01.OV0184,BBK01.OV0184_FLAGS,BBK01.OV0178,BBK01.OV0178_FLAGS,BBK01.OVA188,BBK01.OVA188_FLAGS,BBK01.OV0179,BBK01.OV0179_FLAGS,BBK01.OVA189,BBK01.OVA189_FLAGS,BBK01.OVA190,BBK01.OVA190_FLAGS,BBK01.OV0144,BBK01.OV0144_FLAGS,BBK01.OV0149,BBK01.OV0149_FLAGS,BBK01.OV0337,BBK01.OV0337_FLAGS,BBK01.OV0307,BBK01.OV0307_FLAGS,BBK01.OV0150,BBK01.OV0150_FLAGS
1971-07,542.237,,512.047,,123.652,,120.194,,119.187,,1.007,,3.458,,1.752,,1.706,,418.585,,335.941,,4.370,,4.522,,-0.148,,-0.254,,-0.274,,0.020,,0.106,,0.019,,0.087,,4.518,,3.721,,293.867,,51.461,,243.470,,12.654,,27.292,,83.708,,66.739,,4.715,,62.087,,7.173,,7.650,,2.083,,3.657,,0.765,,2.848,,0.010,,0.142,,0.753,,0.986,,0.146,,0.852,,-0.082,,-0.187,,0.024,
1971-08,548.622,,518.032,,123.752,,120.642,,119.680,,0.962,,3.110,,1.490,,1.620,,424.870,,341.136,,6.335,,5.935,,0.080,,0.428,,0.473,,-0.045,,-0.348,,-0.262,,-0.086,,6.255,,5.165,,298.662,,53.267,,246.446,,13.007,,27.365,,84.785,,67.578,,4.801,,62.860,,7.348,,7.653,,2.123,,4.765,,1.806,,2.946,,0.353,,0.073,,1.077,,0.839,,0.086,,0.773,,0.175,,0.003,,0.040,
1971-09,556.794,,526.362,,126.755,,123.783,,122.931,,0.852,,2.972,,1.645,,1.327,,430.039,,345.431,,8.132,,8.290,,2.993,,3.131,,3.241,,-0.110,,-0.138,,0.155,,-0.293,,5.139,,4.265,,302.878,,54.678,,249.205,,13.128,,27.415,,85.613,,68.230,,4.980,,63.350,,7.467,,7.658,,2.158,,4.186,,1.411,,2.729,,0.121,,0.050,,0.828,,0.652,,0.179,,0.490,,0.119,,0.005,,0.035,
1971-10,563.482,,532.365,,128.460,,125.114,,124.279,,0.835,,3.346,,1.719,,1.627,,435.022,,349.658,,6.658,,5.973,,1.695,,1.321,,1.338,,-0.017,,0.374,,0.074,,0.300,,4.963,,4.207,,306.612,,55.887,,251.699,,13.559,,27.539,,86.338,,68.866,,4.895,,64.077,,7.436,,7.660,,2.270,,3.714,,1.209,,2.474,,0.431,,0.124,,0.725,,0.636,,-0.085,,0.727,,-0.031,,0.002,,0.112,
1971-11,569.994,,538.725,,130.510,,127.248,,126.303,,0.945,,3.262,,1.635,,1.627,,439.484,,352.617,,6.492,,6.340,,2.050,,2.134,,2.024,,0.110,,-0.084,,-0.084,,-,Nothing exists,4.442,,2.939,,309.677,,56.248,,254.323,,13.482,,27.670,,87.761,,70.157,,5.021,,65.231,,7.547,,7.668,,2.294,,3.045,,0.361,,2.604,,-0.077,,0.131,,1.423,,1.291,,0.126,,1.154,,0.111,,0.008,,0.024,
1971-12,583.198,,552.375,,135.223,,131.734,,130.862,,0.872,,3.489,,1.887,,1.602,,447.975,,360.243,,13.098,,13.544,,4.703,,4.476,,4.549,,-0.073,,0.227,,0.252,,-0.025,,8.395,,7.530,,316.062,,58.671,,258.801,,13.405,,27.956,,89.142,,71.840,,4.926,,66.938,,7.441,,7.503,,2.334,,6.355,,2.423,,4.448,,-0.077,,0.220,,1.381,,1.683,,-0.095,,1.707,,-0.106,,-0.165,,0.040,
1972-01,584.531,,552.767,,133.202,,129.528,,128.600,,0.928,,3.674,,2.072,,1.602,,451.329,,362.411,,1.283,,0.342,,-2.041,,-2.226,,-2.282,,0.056,,0.185,,0.185,,-,Nothing exists,3.324,,2.138,,318.535,,58.135,,261.520,,13.983,,27.653,,90.038,,72.462,,5.114,,67.384,,7.743,,7.508,,2.289,,2.443,,-0.536,,2.689,,0.578,,-0.303,,0.896,,0.622,,0.188,,0.446,,0.302,,0.005,,-0.045,
1972-02,589.734,,557.923,,134.315,,130.727,,129.795,,0.932,,3.588,,1.986,,1.602,,455.419,,365.717,,5.203,,5.156,,1.113,,1.199,,1.195,,0.004,,-0.086,,-0.086,,-,Nothing exists,4.090,,3.306,,321.769,,58.426,,264.457,,13.896,,27.824,,90.816,,73.087,,5.036,,68.093,,7.874,,7.507,,2.306,,3.234,,0.291,,2.937,,-0.087,,0.171,,0.778,,0.625,,-0.078,,0.709,,0.131,,-0.001,,0.017,
1972-03,598.459,,566.577,,138.475,,134.979,,134.017,,0.962,,3.496,,1.994,,1.502,,459.984,,369.523,,8.705,,8.634,,4.160,,4.252,,4.222,,0.030,,-0.092,,0.008,,-0.100,,4.545,,3.786,,325.506,,59.075,,267.516,,13.952,,27.895,,91.546,,73.664,,4.879,,68.826,,7.942,,7.524,,2.375,,3.717,,0.649,,3.039,,0.056,,0.071,,0.730,,0.577,,-0.157,,0.733,,0.068,,0.017,,0.069,
1972-04,605.482,,573.851,,141.181,,137.837,,136.843,,0.994,,3.344,,1.942,,1.402,,464.301,,372.860,,6.993,,7.244,,2.696,,2.848,,2.816,,0.032,,-0.152,,-0.052,,-0.100,,4.297,,3.317,,329.153,,59.775,,270.360,,13.899,,27.844,,92.423,,74.649,,4.942,,69.751,,7.811,,7.525,,2.394,,3.627,,0.700,,2.824,,-0.053,,-0.051,,0.877,,0.985,,0.063,,0.925,,-0.131,,0.001,,0.019,
1972-05,612.501,,580.632,,142.714,,139.747,,138.689,,1.058,,2.967,,1.565,,1.402,,469.787,,377.336,,6.989,,6.751,,1.523,,1.900,,1.836,,0.064,,-0.377,,-0.377,,-,Nothing exists,5.466,,4.456,,333.341,,60.730,,273.613,,14.071,,27.920,,93.453,,75.661,,5.079,,70.626,,7.810,,7.528,,2.410,,4.168,,0.955,,3.233,,0.172,,0.076,,1.030,,1.012,,0.137,,0.875,,-0.001,,0.003,,0.016,
1972-06,622.015,,590.996,,148.515,,145.167,,144.108,,1.059,,3.348,,1.946,,1.402,,473.500,,380.135,,9.384,,10.234,,5.761,,5.380,,5.379,,0.001,,0.381,,0.381,,-,Nothing exists,3.623,,2.709,,336.768,,61.575,,276.163,,13.486,,27.941,,94.335,,76.780,,5.198,,71.617,,7.661,,7.411,,2.448,,3.337,,0.845,,2.460,,-0.585,,0.021,,0.882,,1.119,,0.119,,0.991,,-0.149,,-0.117,,0.038,
1972-07,625.086,,594.129,,146.105,,142.953,,141.903,,1.050,,3.152,,1.750,,1.402,,478.981,,384.594,,2.941,,3.003,,-2.450,,-2.254,,-2.245,,-0.009,,-0.196,,-0.196,,-,Nothing exists,5.391,,4.369,,340.818,,62.272,,279.621,,13.575,,28.051,,95.462,,78.034,,5.350,,72.725,,7.666,,7.264,,2.457,,3.960,,0.697,,3.368,,0.089,,0.110,,1.127,,1.254,,0.152,,1.108,,0.005,,-0.147,,0.009,
1972-08,629.522,,598.822,,144.444,,141.352,,140.331,,1.021,,3.092,,1.690,,1.402,,485.078,,389.822,,4.416,,4.673,,-1.661,,-1.601,,-1.572,,-0.029,,-0.060,,-0.060,,-,Nothing exists,6.077,,5.208,,346.011,,63.370,,283.677,,13.587,,28.152,,96.292,,79.138,,5.486,,73.705,,7.426,,7.264,,2.411,,5.173,,1.098,,4.036,,0.012,,0.101,,0.830,,1.104,,0.136,,0.980,,-0.240,,-,Nothing exists,-0.046,
1972-09,639.875,,609.404,,149.513,,146.302,,145.495,,0.807,,3.211,,1.809,,1.402,,490.362,,394.264,,10.333,,10.562,,5.069,,4.950,,5.164,,-0.214,,0.119,,0.119,,-,Nothing exists,5.264,,4.422,,350.551,,64.843,,286.735,,13.480,,28.179,,97.125,,79.835,,5.563,,74.316,,7.521,,7.261,,2.464,,4.520,,1.473,,3.038,,-0.107,,0.027,,0.833,,0.697,,0.077,,0.611,,0.095,,-0.003,,0.053,
1972-10,645.629,,615.130,,149.461,,146.390,,145.603,,0.787,,3.071,,1.669,,1.402,,496.168,,398.821,,5.724,,5.696,,-0.062,,0.078,,0.098,,-0.020,,-0.140,,-0.140,,-,Nothing exists,5.786,,4.537,,355.082,,66.118,,289.970,,13.449,,28.278,,98.353,,80.996,,5.690,,75.346,,7.599,,7.262,,2.456,,4.511,,1.275,,3.215,,-0.031,,0.099,,1.228,,1.161,,0.127,,1.030,,0.078,,0.001,,-0.008,
1972-11,655.426,,625.090,,153.227,,150.006,,149.311,,0.695,,3.221,,1.819,,1.402,,502.199,,404.570,,9.757,,9.920,,3.756,,3.606,,3.698,,-0.092,,0.150,,0.150,,-,Nothing exists,6.001,,5.719,,360.563,,66.983,,294.606,,13.603,,28.352,,98.655,,81.541,,5.610,,75.967,,7.373,,7.263,,2.442,,5.451,,0.865,,4.606,,0.154,,0.074,,0.302,,0.545,,-0.080,,0.621,,-0.226,,0.001,,-0.014,
1972-12,672.190,,641.984,,159.128,,155.941,,155.260,,0.681,,3.187,,1.785,,1.402,,513.062,,414.384,,16.754,,16.824,,5.881,,5.915,,5.929,,-0.014,,-0.034,,-0.034,,-,Nothing exists,10.873,,9.794,,370.153,,69.965,,301.184,,13.728,,28.511,,99.674,,82.770,,5.762,,77.054,,7.280,,7.115,,2.463,,9.540,,2.982,,6.528,,0.155,,0.159,,1.049,,1.229,,0.152,,1.087,,-0.063,,-0.148,,0.021,
1973-01,673.374,,643.531,,155.754,,152.525,,151.870,,0.655,,3.229,,1.827,,1.402,,517.620,,418.139,,1.144,,1.447,,-3.414,,-3.456,,-3.430,,-0.026,,0.042,,0.042,,-,Nothing exists,4.558,,3.715,,373.898,,70.275,,304.698,,13.453,,28.638,,100.556,,83.684,,5.771,,77.961,,7.204,,7.129,,2.491,,3.685,,0.310,,3.454,,-0.255,,0.127,,0.922,,0.914,,0.009,,0.907,,-0.036,,0.014,,0.028,
1973-02,683.057,,653.135,,157.108,,154.079,,153.444,,0.635,,3.029,,1.627,,1.402,,525.949,,425.178,,6.683,,6.604,,1.354,,1.554,,1.574,,-0.020,,-0.200,,-0.200,,-,Nothing exists,5.329,,4.039,,380.914,,71.019,,310.936,,13.504,,28.678,,101.812,,84.827,,5.852,,79.040,,7.254,,7.127,,2.539,,4.016,,0.744,,3.238,,0.051,,0.040,,1.256,,1.143,,0.081,,1.079,,0.050,,-0.002,,0.048,
1973-03,690.907,,660.316,,158.122,,154.948,,154.323,,0.625,,3.174,,1.772,,1.402,,532.785,,431.212,,7.840,,7.171,,1.014,,0.869,,0.879,,-0.010,,0.145,,0.145,,-,Nothing exists,6.826,,6.024,,386.366,,73.272,,314.130,,14.050,,28.724,,102.609,,85.455,,5.820,,79.681,,7.375,,7.139,,2.594,,5.442,,2.243,,3.194,,0.546,,0.046,,0.797,,0.628,,-0.032,,0.641,,0.121,,0.012,,0.055,
1973-04,694.972,,664.849,,157.171,,154.177,,153.580,,0.597,,2.994,,1.592,,1.402,,537.801,,436.095,,4.065,,4.533,,-0.951,,-0.771,,-0.743,,-0.028,,-0.180,,-0.180,,-,Nothing exists,5.016,,4.883,,391.041,,74.940,,317.306,,13.865,,28.779,,102.911,,85.979,,5.698,,80.323,,7.142,,7.117,,2.631,,4.675,,1.668,,3.176,,-0.185,,0.055,,0.302,,0.524,,-0.122,,0.642,,-0.233,,-0.022,,0.037,
1973-05,699.289,,669.759,,157.350,,154.903,,154.515,,0.388,,2.447,,1.445,,1.002,,541.939,,439.676,,4.297,,4.890,,0.179,,0.726,,0.935,,-0.209,,-0.547,,-0.147,,-0.400,,4.118,,3.561,,394.442,,75.503,,320.163,,13.906,,28.880,,103.487,,86.541,,5.601,,80.985,,7.118,,7.116,,2.667,,3.381,,0.543,,2.857,,0.041,,0.101,,0.576,,0.562,,-0.097,,0.662,,-0.024,,-0.001,,0.036,
1973-06,708.614,,679.309,,162.452,,159.621,,159.205,,0.416,,2.831,,1.829,,1.002,,546.162,,443.414,,9.225,,9.450,,5.062,,4.678,,4.650,,0.028,,0.384,,0.384,,-,Nothing exists,4.163,,3.678,,398.285,,77.004,,322.493,,13.760,,28.945,,103.960,,87.066,,5.708,,81.400,,7.149,,6.978,,2.725,,3.783,,1.501,,2.270,,-0.146,,0.065,,0.473,,0.525,,0.107,,0.415,,0.031,,-0.138,,0.058,
1973-07,709.716,,680.574,,159.848,,157.177,,156.771,,0.406,,2.671,,1.669,,1.002,,549.868,,446.673,,1.042,,1.205,,-2.624,,-2.464,,-2.454,,-0.010,,-0.160,,-0.160,,-,Nothing exists,3.666,,3.219,,401.429,,76.944,,325.682,,13.795,,29.055,,104.392,,87.684,,5.778,,81.949,,7.173,,6.766,,2.726,,3.104,,-0.060,,3.149,,0.035,,0.110,,0.432,,0.618,,0.070,,0.549,,0.024,,-0.212,,0.001,
1973-08,714.544,,685.200,,160.069,,157.693,,157.287,,0.406,,2.376,,1.365,,1.011,,554.475,,450.613,,4.818,,4.616,,0.221,,0.516,,0.516,,-,Nothing exists,-0.295,,-0.304,,0.009,,4.597,,3.930,,405.171,,76.675,,329.692,,14.019,,29.031,,105.058,,88.334,,5.685,,82.693,,7.140,,6.768,,2.772,,3.732,,-0.279,,4.010,,0.224,,-0.024,,0.666,,0.650,,-0.093,,0.744,,-0.033,,0.002,,0.046,
1973-09,722.541,,693.292,,165.662,,163.082,,162.696,,0.386,,2.580,,1.579,,1.001,,556.879,,452.478,,7.997,,8.092,,5.593,,5.389,,5.409,,-0.020,,0.204,,0.214,,-0.010,,2.404,,1.865,,407.283,,76.377,,332.080,,13.790,,29.057,,105.575,,88.627,,5.715,,82.977,,7.309,,6.763,,2.811,,2.112,,-0.298,,2.388,,-0.229,,0.026,,0.517,,0.293,,0.030,,0.284,,0.169,,-0.005,,0.039,
1973-10,725.068,,695.113,,163.015,,160.475,,159.999,,0.476,,2.540,,1.539,,1.001,,562.053,,456.164,,2.527,,1.821,,-2.647,,-2.607,,-2.697,,0.090,,-0.040,,-0.040,,-,Nothing exists,5.174,,3.686,,410.544,,76.583,,335.101,,14.135,,29.205,,107.029,,89.800,,5.608,,84.276,,7.580,,6.763,,2.802,,3.261,,0.206,,3.021,,0.345,,0.148,,1.454,,1.173,,-0.107,,1.299,,0.271,,-,Nothing exists,-0.009,
1973-11,731.780,,701.217,,163.791,,161.276,,160.731,,0.545,,2.515,,1.514,,1.001,,567.989,,460.235,,6.712,,6.104,,0.776,,0.801,,0.732,,0.069,,-0.025,,-0.025,,-,Nothing exists,5.936,,4.071,,414.153,,76.610,,338.656,,14.558,,29.298,,108.867,,91.498,,5.819,,85.779,,7.699,,6.760,,2.810,,3.609,,0.027,,3.555,,0.423,,0.093,,1.838,,1.698,,0.211,,1.503,,0.119,,-0.003,,0.008,
1973-12,745.124,,714.618,,169.695,,166.951,,166.426,,0.525,,2.744,,1.723,,1.021,,575.429,,465.499,,8.830,,8.986,,4.555,,4.356,,4.376,,-0.020,,0.199,,0.179,,0.020,,4.275,,2.506,,419.037,,77.003,,343.208,,14.628,,29.486,,111.104,,93.852,,5.729,,88.211,,7.656,,6.676,,2.832,,2.196,,-0.121,,2.377,,0.045,,0.145,,1.829,,2.020,,-0.119,,2.127,,-0.063,,-0.138,,0.022,
1974-01,744.495,,713.623,,167.965,,165.032,,164.507,,0.525,,2.933,,1.853,,1.080,,576.530,,465.735,,-0.569,,-1.025,,-1.740,,-1.929,,-1.929,,-,Nothing exists,0.189,,0.130,,0.059,,1.171,,0.256,,418.998,,76.207,,343.914,,14.802,,29.689,,111.918,,94.434,,5.683,,88.801,,7.808,,6.657,,2.969,,-0.059,,-0.796,,0.686,,0.214,,0.203,,0.864,,0.582,,-0.046,,0.590,,0.202,,-0.019,,0.137,
1974-02,748.019,,716.894,,170.580,,167.122,,166.597,,0.525,,3.458,,1.812,,1.646,,577.439,,466.790,,3.524,,3.271,,2.615,,2.090,,2.090,,-,Nothing exists,0.525,,-0.041,,0.566,,0.909,,1.055,,420.179,,74.863,,346.413,,14.634,,29.783,,111.746,,94.324,,5.700,,88.702,,7.663,,6.657,,3.024,,1.181,,-1.344,,2.499,,-0.168,,0.094,,-0.172,,-0.110,,0.017,,-0.099,,-0.145,,-,Nothing exists,0.055,
1974-03,751.995,,721.470,,172.583,,169.066,,168.572,,0.494,,3.517,,1.949,,1.568,,579.412,,469.055,,4.386,,4.986,,1.993,,1.934,,1.965,,-0.031,,0.059,,0.137,,-0.078,,2.393,,2.255,,423.004,,76.125,,347.976,,14.057,,29.800,,111.454,,94.006,,5.589,,88.478,,7.746,,6.660,,2.981,,2.805,,1.262,,1.543,,-0.577,,0.027,,0.138,,0.112,,-0.141,,0.236,,0.083,,0.003,,-0.043,
1974-04,753.942,,723.308,,172.871,,168.814,,168.320,,0.494,,4.057,,2.085,,1.972,,581.071,,470.099,,2.187,,2.078,,0.278,,-0.262,,-0.262,,-,Nothing exists,0.540,,0.136,,0.404,,1.909,,1.034,,424.127,,75.775,,349.462,,13.876,,29.876,,112.082,,94.742,,5.709,,89.076,,7.633,,6.659,,3.005,,1.113,,-0.350,,1.476,,-0.181,,0.076,,0.888,,0.996,,0.140,,0.838,,-0.113,,-0.001,,0.024,
1974-05,758.098,,726.883,,172.782,,168.496,,168.002,,0.494,,4.286,,1.909,,2.377,,585.316,,472.991,,5.166,,4.555,,-0.059,,-0.318,,-0.318,,-,Nothing exists,0.259,,-0.126,,0.385,,5.225,,3.372,,427.325,,76.683,,351.747,,13.921,,29.535,,113.430,,95.949,,6.301,,89.698,,7.768,,6.655,,3.008,,3.198,,0.908,,2.285,,0.045,,0.139,,1.848,,1.657,,0.632,,1.032,,0.185,,-0.004,,0.003,
1974-06,769.317,,737.990,,181.675,,176.735,,176.236,,0.499,,4.940,,2.451,,2.489,,587.642,,474.504,,11.029,,10.917,,8.863,,8.209,,8.204,,0.005,,0.654,,0.542,,0.112,,2.166,,1.483,,428.742,,77.241,,352.531,,14.047,,29.655,,114.168,,96.816,,6.376,,90.478,,7.727,,6.565,,3.022,,1.387,,0.548,,0.764,,0.126,,0.120,,0.608,,0.737,,0.075,,0.650,,-0.041,,-0.090,,0.014,
1974-07,771.558,,740.603,,179.055,,174.422,,173.903,,0.519,,4.633,,2.261,,2.372,,592.503,,477.677,,2.601,,2.973,,-2.630,,-2.323,,-2.343,,0.020,,-0.307,,-0.190,,-0.117,,5.231,,3.153,,431.972,,78.179,,354.826,,13.895,,29.744,,115.859,,98.623,,7.198,,91.462,,7.803,,6.366,,3.030,,3.210,,0.928,,2.285,,-0.152,,0.089,,2.081,,2.197,,0.822,,1.374,,0.076,,-0.199,,0.008,
1974-08,776.802,,745.536,,179.085,,174.661,,174.141,,0.520,,4.424,,2.073,,2.351,,597.717,,480.447,,5.244,,4.933,,0.030,,0.239,,0.238,,0.001,,-0.209,,-0.188,,-0.021,,5.214,,2.770,,434.658,,78.436,,357.204,,13.980,,29.845,,118.252,,100.735,,8.128,,92.651,,8.042,,6.373,,3.058,,2.686,,0.257,,2.378,,0.085,,0.101,,2.393,,2.112,,0.930,,1.189,,0.239,,0.007,,0.028,
1974-09,783.746,,751.307,,182.744,,177.852,,176.749,,1.103,,4.892,,1.962,,2.930,,601.002,,482.816,,6.944,,5.771,,3.659,,3.191,,2.608,,0.583,,0.468,,-0.111,,0.579,,3.285,,2.369,,436.834,,78.782,,359.099,,13.967,,29.921,,119.233,,101.655,,8.367,,93.326,,8.067,,6.372,,3.101,,2.176,,0.346,,1.895,,-0.013,,0.076,,0.981,,0.920,,0.239,,0.675,,0.025,,-0.001,,0.043,
1974-10,785.803,,752.544,,180.016,,174.572,,173.469,,1.103,,5.444,,1.842,,3.602,,605.787,,485.659,,2.057,,1.237,,-2.728,,-3.280,,-3.280,,-,Nothing exists,0.552,,-0.120,,0.672,,4.785,,2.843,,439.569,,78.927,,361.606,,13.955,,30.207,,121.092,,103.406,,8.805,,94.633,,8.223,,6.376,,3.055,,2.735,,0.145,,2.507,,-0.012,,0.286,,1.859,,1.751,,0.438,,1.307,,0.156,,0.004,,-0.046,
1974-11,793.653,,759.634,,182.454,,176.311,,175.282,,1.029,,6.143,,1.959,,4.184,,611.199,,488.531,,7.830,,7.070,,2.428,,1.729,,1.803,,-0.074,,0.699,,0.117,,0.582,,5.402,,2.862,,442.056,,78.735,,364.237,,14.345,,30.298,,123.584,,106.056,,9.474,,96.623,,8.087,,6.374,,3.026,,2.477,,-0.192,,2.621,,0.390,,0.091,,2.492,,2.650,,0.669,,1.990,,-0.136,,-0.002,,-0.029,
1974-12,804.510,,769.502,,186.132,,179.667,,178.638,,1.029,,6.465,,2.121,,4.344,,618.378,,493.363,,10.847,,9.858,,3.648,,3.326,,3.326,,-,Nothing exists,0.322,,0.162,,0.160,,7.199,,4.852,,446.048,,79.465,,367.491,,14.639,,30.860,,125.923,,107.936,,9.684,,98.271,,8.774,,6.222,,2.972,,4.352,,0.730,,3.614,,0.294,,0.222,,2.339,,1.880,,0.210,,1.648,,0.687,,-0.152,,-0.054,
1975-01,801.102,,765.925,,180.739,,174.036,,172.918,,1.118,,6.703,,2.316,,4.387,,620.363,,493.309,,-3.438,,-3.607,,-5.233,,-5.651,,-5.740,,0.089,,0.418,,0.195,,0.223,,1.795,,-0.064,,446.243,,78.220,,368.915,,14.355,,30.927,,127.946,,109.603,,9.506,,100.114,,9.103,,6.214,,3.009,,0.185,,-1.245,,1.414,,-0.284,,0.067,,1.843,,1.667,,-0.178,,1.843,,0.149,,-0.008,,0.037,
1975-02,802.186,,766.546,,179.661,,172.737,,171.619,,1.118,,6.924,,2.501,,4.423,,622.525,,493.746,,1.084,,0.621,,-1.078,,-1.299,,-1.299,,-,Nothing exists,0.221,,0.185,,0.036,,2.162,,0.437,,446.720,,76.229,,371.385,,14.398,,30.840,,129.673,,110.906,,9.229,,101.710,,9.491,,6.210,,3.033,,0.477,,-1.991,,2.470,,0.043,,-0.087,,1.727,,1.303,,-0.277,,1.596,,0.388,,-0.004,,0.024,
1975-03,808.163,,772.348,,182.092,,174.971,,173.870,,1.101,,7.121,,2.675,,4.446,,626.071,,496.350,,5.977,,5.802,,2.431,,2.234,,2.251,,-0.017,,0.197,,0.174,,0.023,,3.546,,2.604,,449.339,,75.931,,374.263,,14.313,,30.988,,130.576,,111.536,,9.206,,102.354,,9.748,,6.207,,3.061,,2.619,,-0.298,,2.878,,-0.085,,0.148,,0.903,,0.630,,-0.023,,0.644,,0.257,,-0.003,,0.028,
1975-04,809.503,,772.169,,176.759,,169.076,,167.984,,1.092,,7.683,,3.207,,4.476,,632.744,,499.511,,1.340,,-0.179,,-5.333,,-5.895,,-5.886,,-0.009,,0.562,,0.532,,0.030,,6.673,,3.161,,451.913,,75.440,,377.321,,14.772,,31.130,,134.081,,113.968,,9.223,,104.765,,10.789,,6.205,,3.099,,2.574,,-0.491,,3.058,,0.459,,0.142,,3.505,,2.432,,0.017,,2.411,,1.041,,-0.002,,0.038,
1975-05,816.718,,778.039,,177.202,,169.466,,168.375,,1.091,,7.736,,2.861,,4.875,,639.516,,502.766,,7.215,,5.870,,0.443,,0.390,,0.391,,-0.001,,0.053,,-0.346,,0.399,,6.772,,3.255,,454.732,,74.972,,380.596,,15.098,,31.264,,137.586,,116.859,,9.351,,107.527,,11.416,,6.199,,3.093,,2.819,,-0.468,,3.275,,0.326,,0.134,,3.505,,2.891,,0.128,,2.762,,0.627,,-0.006,,-0.006,
1975-06,825.065,,786.462,,181.753,,173.415,,172.329,,1.086,,8.338,,3.544,,4.794,,643.312,,504.519,,8.297,,8.373,,4.521,,3.919,,3.924,,-0.005,,0.602,,0.683,,-0.081,,3.776,,1.733,,456.721,,74.922,,382.615,,14.824,,31.342,,139.609,,118.572,,9.220,,109.373,,11.839,,6.060,,3.117,,1.969,,-0.050,,1.999,,-0.274,,0.078,,2.023,,1.713,,-0.131,,1.846,,0.423,,-0.139,,0.024,
1975-07,824.258,,785.829,,175.568,,166.630,,165.554,,1.076,,8.938,,3.340,,5.598,,648.690,,508.366,,-0.867,,-0.693,,-6.215,,-6.815,,-6.805,,-0.010,,0.600,,-0.204,,0.804,,5.348,,3.817,,461.121,,75.185,,386.692,,14.231,,31.502,,141.080,,120.395,,9.460,,110.957,,11.586,,5.938,,3.139,,4.370,,0.253,,4.057,,-0.593,,0.160,,1.471,,1.823,,0.240,,1.584,,-0.253,,-0.122,,0.022,
1975-08,834.846,,793.375,,176.945,,164.883,,163.727,,1.156,,12.062,,3.383,,8.679,,657.901,,511.254,,10.568,,7.526,,1.367,,-1.757,,-1.837,,0.080,,3.124,,0.043,,3.081,,9.201,,2.878,,464.035,,74.681,,390.114,,14.093,,31.606,,147.407,,126.680,,13.382,,113.326,,11.603,,5.940,,3.156,,2.904,,-0.504,,3.412,,-0.138,,0.104,,6.327,,6.285,,3.922,,2.369,,0.017,,0.002,,0.017,
1975-09,841.902,,801.472,,178.616,,166.601,,165.697,,0.904,,12.015,,3.261,,8.754,,663.286,,515.262,,7.036,,8.077,,1.661,,1.708,,1.960,,-0.252,,-0.047,,-0.122,,0.075,,5.375,,3.998,,468.294,,75.030,,393.985,,13.836,,31.690,,148.745,,128.541,,14.098,,114.482,,11.014,,5.922,,3.229,,4.249,,0.339,,3.871,,-0.257,,0.084,,1.338,,1.861,,0.716,,1.156,,-0.589,,-0.018,,0.073,
1975-10,853.774,,813.965,,180.071,,166.377,,165.413,,0.964,,13.694,,4.606,,9.088,,673.703,,519.893,,11.872,,12.493,,1.455,,-0.224,,-0.284,,0.060,,1.679,,1.345,,0.334,,10.417,,4.631,,473.521,,76.060,,398.168,,13.066,,31.892,,154.517,,134.546,,17.554,,117.040,,10.769,,5.922,,3.232,,5.227,,1.030,,4.183,,-0.770,,0.202,,5.772,,6.005,,3.456,,2.558,,-0.245,,-,Nothing exists,0.003,
